"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","3-Oct-25.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 "
76685,2556.133333333333,4.719332976549083,,,,-0.006088258032728738
76686,2556.1666666666665,4.719332976548244,,,,0.04863197161370966
76687,2556.2,4.719332976548244,,,,-0.07808050384233961
76688,2556.233333333333,4.448237347714454,,,,-0.01486306392573126
76689,2556.2666666666664,4.448237347714454,,,,0.021137450170077208
76690,2556.3,4.448237347714454,,,,-0.11171603687383443
76691,2556.3333333333335,4.448237347714454,,,,0.0060970180353851705
76692,2556.366666666667,4.448237347714454,,,,-0.09345550538883313
76693,2556.4,4.448237347714454,,,,0.009110947588729126
76694,2556.4333333333334,4.448237347714454,,,,0.009218900784902243
76695,2556.4666666666667,4.448237347714454,,,,-0.014075904133180705
76696,2556.5,4.448237347714454,-1.8524799653788973,,,-0.0210851735908975
76697,2556.5333333333333,4.448237347714454,-2.5158727803943686,,,-0.19113990926372887
76698,2556.5666666666666,4.448237347714454,-2.4489444788287673,,,0.06991702022646865
76699,2556.6,4.448237347714454,-2.2876494566158025,,,-0.10519284296483863
76700,2556.633333333333,4.448237347714454,-2.271412464427087,,,-0.10224157484291926
76701,2556.6666666666665,4.448237347714454,-2.167021389060508,,,-0.09691758753250966
76702,2556.7,4.448237347714454,-2.1418660847218556,,,0.15265451310046663
76703,2556.733333333333,4.448237347714454,-2.2475643492424364,,,-0.20896240634884145
76704,2556.7666666666664,4.448237347714454,-2.7103105251689055,,,-0.007926896676318353
76705,2556.8,4.448237347714454,-2.300891794909312,,,0.0024899555511870225
76706,2556.8333333333335,4.448237347714454,-2.2530785802535997,,,0.009111708723936724
76707,2556.866666666667,4.448237347714454,-2.1936992945750498,,,-0.10833303578459089
76708,2556.9,4.448237347714454,-2.6573370806540777,,,-0.0232021947090421
76709,2556.9333333333334,4.448237347714454,-2.5299149991636085,,,0.14160557321468062
76710,2556.9666666666667,4.448237347714454,-1.6406883049734642,,,-0.11370200347604137
76711,2557,4.448237347714454,-2.426563830241894,,,-0.1483823385559803
76712,2557.0333333333333,4.448237347714454,-1.8475158450007958,,,-0.10199063845294411
76713,2557.0666666666666,4.448237347714454,-0.8624615065720168,,,-0.07555663763768448
76714,2557.1,4.448237347714454,-2.3882800939392848,,,0.14931852663939058
76715,2557.133333333333,4.448237347714454,-1.7693762835204399,,,-0.03505283469357496
76716,2557.1666666666665,4.448237347714454,-2.10669070090231,,,-0.19078018748972286
76717,2557.2,4.448237347714454,-1.9282884207596072,,,0.18325383290908223
76718,2557.233333333333,4.448237347714454,-1.2747735371298012,,,0.19510883548813648
76719,2557.2666666666664,4.448237347714454,-2.432683080875605,,,0.06882891643845376
76720,2557.3,4.448237347714454,-2.2280237236171914,,,-0.03563746482208515
76721,2557.3333333333335,4.448237347714454,-1.94125023776897,,,0.05636596165052912
76722,2557.366666666667,4.448237347714454,-1.8596721845495368,,,0.09610224944655317
76723,2557.4,4.448237347714454,-1.0204273980339735,,,0.019759796623391484
76724,2557.4333333333334,4.448237347714454,-1.977161125700357,,,-0.028501156504154433
76725,2557.4666666666667,4.448237347714454,-0.9505270135507051,,,-0.011630795493118353
76726,2557.5,4.448237347714454,-2.087442840708423,,,0.045164405680217214
76727,2557.5333333333333,4.448237347714454,-0.9350863668259184,,,0.1356385079314738
76728,2557.5666666666666,4.448237347714454,-1.3070969963142391,,,0.06571171780247394
76729,2557.6,4.448237347714454,-1.0102402346026715,,,-0.1450057632112047
76730,2557.633333333333,4.448237347714454,-1.754315599087609,,,0.1326486016689178
76731,2557.6666666666665,4.448237347714454,-1.9954280509457614,,,-0.0753298242826004
76732,2557.7,4.448237347714454,-1.655498657160697,,,0.14660483025840373
76733,2557.733333333333,4.448237347714454,-1.8771716807607552,,,-0.06754491862823944
76734,2557.7666666666664,4.448237347714454,-1.8258913331407645,,,-0.0738002452477712
76735,2557.8,4.448237347714454,-1.8425901924553652,,,-0.08051362260092029
76736,2557.8333333333335,4.448237347714454,-1.6615141481282347,,,-0.24204535326614762
76737,2557.866666666667,4.448237347714454,-1.579178759877577,,,0.11719272585248389
76738,2557.9,4.448237347714454,-1.8898595441157469,,,-0.006306064842984471
76739,2557.9333333333334,4.448237347714454,-1.876604727627905,,,-0.13420688367911163
76740,2557.9666666666667,4.448237347714454,-1.2963747699384078,,,0.06523820752826248
76741,2558,4.448237347714454,-1.038645532024662,,,0.03466038068061732
76742,2558.0333333333333,4.448237347714454,-0.9919790914854023,,,-0.06594464917305552
76743,2558.0666666666666,6.917367867788447,0.026889429483796554,,,-0.08408604827964357
76744,2558.1,4.448237347714454,-0.19748971854305933,,,-0.08500867754443023
76745,2558.133333333333,6.917367867788447,0.9662357295893619,,,-0.1178015104530983
76746,2558.1666666666665,4.448237347714454,-0.19960055504639262,,,-0.08283940549555686
76747,2558.2,6.917367867788447,1.1815079453462263,,,0.1781373435465468
76748,2558.233333333333,4.448237347714454,0.5328408556368674,,,0.21452465308500993
76749,2558.2666666666664,6.917367867788447,1.3695513806384012,,,-0.014833745115873542
76750,2558.3,4.448237347714454,-0.4618551448543213,,,-0.196794579299215
76751,2558.3333333333335,6.917367867788447,1.2981916551830373,,,0.14663967401086728
76752,2558.366666666667,6.917367867788447,0.8898420924637195,,,0.13533507613285428
76753,2558.4,5.2163901262170675,1.6132500762871604,,,0.13395807163845108
76754,2558.4333333333334,5.2163901262170675,0.76816928796105,,,0.18430646477045343
76755,2558.4666666666667,5.2163901262170675,1.195605557044564,,,-0.1584176394759026
