"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 "
163420,5447.3,74.48422364116655
163421,5447.333333333333,71.36740714764603
163422,5447.366666666667,69.49713660715446
163423,5447.4,55.98412355640888
163424,5447.433333333333,45.37899846128098
163425,5447.466666666666,35.306882362782275
163426,5447.5,10.09973711359506
163427,5447.533333333333,12.915873789498841
163428,5447.566666666667,-21.204810766374177
163429,5447.6,-29.213299128401566
163430,5447.633333333333,,-52.645122804274955
163431,5447.666666666667,,-94.12649801500042
163432,5447.7,,-114.07163567858493
163433,5447.733333333334,,-123.67427821768622
163434,5447.766666666666,,-131.12092565729532
163435,5447.8,,-142.61336670258223
163436,5447.833333333333,,-132.91281089629823
163437,5447.866666666667,,-130.23911588034122
163438,5447.9,,-99.91690909962665
163439,5447.933333333333,,-97.9879474231351
163440,5447.966666666666,,-88.08940386277516
163441,5448,,-50.10022638818507
163442,5448.033333333333,,-30.143692948324585
163443,5448.066666666667,,-8.525934326539716
163444,5448.1,,8.592902045179049
163445,5448.133333333333,,20.117120168968736
163446,5448.166666666667,,31.81910325941347
163447,5448.2,,54.42269018356025
163448,5448.233333333334,,70.73354496453433
163449,5448.266666666666,,89.63326200259979
163450,5448.3,,100.89271000064406
163451,5448.333333333333,,104.21056596172824
163452,5448.366666666667,,87.47305207280806
163453,5448.4,,30.91511577935081
163454,5448.433333333333,,7.994536910049752
163455,5448.466666666666,,-32.97985769690962
163456,5448.5,,-54.107477024746316
163457,5448.533333333333,,-73.82176439220564
163458,5448.566666666667,,-95.13016313552971
163459,5448.6,,-114.04218848474113
163460,5448.633333333333,,-108.87808398781276
163461,5448.666666666667,,-96.48823540424252
163462,5448.7,,-57.36331360908908
163463,5448.733333333334,,2.2756457935345704
163464,5448.766666666666,,43.54275939932569
163465,5448.8,,68.94679508294654
163466,5448.833333333333,,87.53616901617964
163467,5448.866666666667,,102.20159909070263
163468,5448.9,,110.88500159568802
163469,5448.933333333333,,90.88014382853855
163470,5448.966666666666,,41.59540582752756
163471,5449,,-2.217996782906402
163472,5449.033333333333,,-38.00713366167296
163473,5449.066666666667,,-65.52205084842191
163474,5449.1,,-87.09570415120282
163475,5449.133333333333,,-96.74563589771732
163476,5449.166666666667,,-80.86907594100285
163477,5449.2,,-48.74138168979995
163478,5449.233333333334,,19.82412512158965
163479,5449.266666666666,,69.0454505103826
163480,5449.3,,104.81056512326424
163481,5449.333333333333,,115.82785091153082
163482,5449.366666666667,,124.78720367096437
163483,5449.4,,119.82099072275241
163484,5449.433333333333,,99.08757453326362
163485,5449.466666666666,,102.50835771643862
163486,5449.5,,105.39383342859792
163487,5449.533333333333,,,58.78993615850782
163488,5449.566666666667,,,78.12537055407701
163489,5449.6,,,83.36466160317715
163490,5449.633333333333,,,65.58967132042669
163491,5449.666666666667,,,28.82632128994603
163492,5449.7,,,-22.66292498075757
163493,5449.733333333334,,,-56.32301007808105
163494,5449.766666666666,,,-89.00152876776394
163495,5449.8,,,-105.09165719132639
163496,5449.833333333333,,,-104.4238136121773
163497,5449.866666666667,,,-79.24482340307082
163498,5449.9,,,-22.39847208688412
163499,5449.933333333333,,,7.50981250290388
163500,5449.966666666666,,,38.219748251457325
163501,5450,,,75.31059493111509
163502,5450.033333333333,,,87.63548243704646
163503,5450.066666666667,,,90.91938627542595
163504,5450.1,,,70.30831882464916
163505,5450.133333333333,,,33.13211901113577
163506,5450.166666666667,,,-15.645772429947721
163507,5450.2,,,-49.85482621651334
163508,5450.233333333334,,,-86.29883911309673
163509,5450.266666666666,,,-96.57385054558462
163510,5450.3,,,-94.77622552047681
163511,5450.333333333333,,,-58.79631272765924
163512,5450.366666666667,,,6.512780033010528
163513,5450.4,,,47.39486180423506
163514,5450.433333333333,,,93.5137999020472
163515,5450.466666666666,,,106.35247754038998
163516,5450.5,,,107.28605404601267
163517,5450.533333333333,,,92.48651862317398
163518,5450.566666666667,,,54.76039741726595
163519,5450.6,,,32.392767943980616
163520,5450.633333333333,,,-29.550305357921186
163521,5450.666666666667,,,-71.06471455930425
163522,5450.7,,,-94.55845002003281
163523,5450.733333333334,,,-103.33836083107462
163524,5450.766666666666,,,-82.17451671385031
163525,5450.8,,,-38.31160024990749
163526,5450.833333333333,,,-1.616588643454427
163527,5450.866666666667,,,31.91042699700322
163528,5450.9,,,68.60644990373446
163529,5450.933333333333,,,83.1863024301128
163530,5450.966666666666,,,78.89461513312165
163531,5451,,,52.23286591760963
163532,5451.033333333333,,,-3.812004023606745
163533,5451.066666666667,,,-60.08580414125946
163534,5451.1,,,-93.84793444222649
163535,5451.133333333333,,,-113.48848740035562
163536,5451.166666666667,,,-129.8960483465012
163537,5451.2,,,-108.75150372929643
163538,5451.233333333334,,,-39.8714732867069
163539,5451.266666666666,,,7.868786824995438
163540,5451.3,,,40.89072434580477
163541,5451.333333333333,,,69.69939351750314
163542,5451.366666666667,,,89.62736851941234
163543,5451.4,,,87.88766210914878
163544,5451.433333333333,,,62.321699524016715
163545,5451.466666666666,,,7.791424598054367
163546,5451.5,,,-39.51058505589906
163547,5451.533333333333,,,-76.06508021735353
163548,5451.566666666667,,,-101.85879202263092
163549,5451.6,,,-103.647641584066
163550,5451.633333333333,,,-75.66777117973983
163551,5451.666666666667,,,-13.694079837483658
163552,5451.7,,,14.203877932061431
163553,5451.733333333334,,,69.43327267518966
163554,5451.766666666666,,,81.4750544058123
163555,5451.8,,,85.60710718967825
