"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","9-Oct-25.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 "
13427,447.5333333333333,-165.72956299297874,2.836779328347759
13428,447.56666666666666,-157.75527337498116,2.7153625701188595
13429,447.59999999999997,-144.06900525053118,1.4828603165265979
13430,447.6333333333333,-151.12270371905137,1.6212795287858501
13431,447.6666666666667,-152.56531136857603,2.421968215438052
13432,447.7,-160.25876039489808,2.5161882423768427
13433,447.73333333333335,-160.129992877474,0.611114237770015
13434,447.76666666666665,-136.3651359579764,-1.440574109308037
13435,447.8,-145.02232202398372,0.21729973803922153
13436,447.8333333333333,-140.27404141098154,-2.502421127994431
13437,447.8666666666667,-142.7812410966793,-3.1268585564984774
13438,447.9,-142.8329154198472,-0.6270045408444794
13439,447.93333333333334,-142.8329154198472,-0.3465117499500867
13440,447.96666666666664,-144.5797032433865,-0.8346728298026712
13441,448,-122.17768529494661,-0.9270198294943484
13442,448.0333333333333,-145.37451980167643,2.2627043683502857
13443,448.06666666666666,-130.48732961123696,-1.1733268954261022
13444,448.09999999999997,-130.75795865927526,-0.6712269767050084
13445,448.1333333333333,-130.9996504889927,-0.7047512863665869
13446,448.1666666666667,-146.33212284210995,2.284535184705758
13447,448.2,-141.2854026362549,2.5042230491198816
13448,448.23333333333335,-144.5189122697504,-2.963773482846296
13449,448.26666666666665,-144.58818136576554,-0.6234137470586929
13450,448.3,-145.49239876365291,-3.2564740450201595
13451,448.3333333333333,-124.15882519008663,-0.7484283912134396
13452,448.3666666666667,-127.92400214243153,-0.5515893475252055
13453,448.4,-128.37106066174255,-1.1733268954261022
13454,448.43333333333334,-103.82281270171843,-0.6712269767050084
13455,448.46666666666664,-107.04134284158125,-0.7047512863665869
13456,448.5,-92.41931421884561,2.284535184705758
13457,448.5333333333333,-87.2202214832879,2.5042230491198816
13458,448.56666666666666,-80.76065569078968,0.13684539837571733
13459,448.59999999999997,-74.53832459339782,0.6611307608528637
13460,448.6333333333333,-74.53832459339782,-2.585694341138996
13461,448.6666666666667,-74.53832459339782,-0.43039784395269537
13462,448.7,-77.08451402437275,-0.8211609848715757
13463,448.73333333333335,-79.727143941844,-0.24350740303697335
13464,448.76666666666665,-81.14258368710553,-0.5207004165994596
13465,448.8,-81.4650350942145,-1.2100609832578417
13466,448.8333333333333,-84.44957203479318,-0.6334175797656666
13467,448.8666666666667,-85.31240534852664,2.6743904364400715
13468,448.9,-84.65972392421004,,5.630729919540335
13469,448.93333333333334,-86.08184510744141,,5.630729919540335
13470,448.96666666666664,-84.94926888399203,,4.161480884651387
13471,449,-87.51753082427355,,4.795259852216656
13472,449.0333333333333,-95.13027164448586,,5.984658776897832
13473,449.06666666666666,-98.64486916399495,,5.668093718933153
13474,449.09999999999997,-93.85266672257636,,6.24536545761077
13475,449.1333333333333,-97.73926443830544,,5.77121146301367
13476,449.1666666666667,-99.92401225004325,,5.856810131924871
13477,449.2,-103.89568018156544,,5.594566852160065
13478,449.23333333333335,-98.6658449393194,,6.329593215020917
13479,449.26666666666665,-99.17243857637614,,5.6168988543599605
13480,449.3,-101.08566753911671,,5.909345546317694
13481,449.3333333333333,-101.3423611606317,,5.7514205431395276
13482,449.3666666666667,-101.50670390011754,,5.270008823808498
13483,449.4,-97.54603571021507,,6.340093410015258
13484,449.43333333333334,-95.94211768186197,,5.285823290383413
13485,449.46666666666664,-98.49123283301981,,5.488591483435262
13486,449.5,-100.28702729223356,,5.870203529795869
13487,449.5333333333333,-106.19369739272102,,5.095212862806592
13488,449.56666666666666,-103.15572794464428,,5.592370347888622
13489,449.59999999999997,-102.62512157424933,,5.584292521182001
13490,449.6333333333333,-100.92040697153215,,6.074999052037557
13491,449.6666666666667,-86.02235731846851,,5.934885362137354
13492,449.7,-95.0831657381328,,5.107935848450284
13493,449.73333333333335,-96.08763159606157,,4.987941607141338
13494,449.76666666666665,-87.95093822580704,,5.344210779877259
13495,449.8,-79.95628642068066,,4.813538336014132
13496,449.8333333333333,-70.8246761833189,,5.688258562258142
13497,449.8666666666667,-72.40448515319933,,4.988007307836201
13498,449.9,-66.08294185988625,,5.697413028864648
13499,449.93333333333334,-63.45882616360193,,5.987154563831288
13500,449.96666666666664,-43.71750060799101,,5.704962034833877
13501,450,-47.23598605393268,,4.0301653891101274
13502,450.0333333333333,-47.000011715144325,,3.713831343179812
13503,450.06666666666666,-35.22673502836604,,3.6918900689996614
13504,450.09999999999997,-18.097816720730194,,4.336671385342933
13505,450.1333333333333,-15.695597476512484,,4.233353710132491
13506,450.1666666666667,4.237268503385913,,3.9968500599454884
13507,450.2,16.375029270428115,,3.7462972298507493
13508,450.23333333333335,18.900548144921064,,3.9842929100468667
13509,450.26666666666665,16.487208336705475,,4.586611691408322
13510,450.3,17.602457930796135,,4.31188916061981
13511,450.3333333333333,8.481554885062,,4.474780463927463
13512,450.3666666666667,17.65058128789275,,4.209562268671143
13513,450.4,20.315099458280653,,3.438317451618147
13514,450.43333333333334,41.98411753045909,,4.174219025062824
13515,450.46666666666664,44.930712301095426,,4.2962916474663
13516,450.5,53.09886580165748,,4.6573101736796785
13517,450.5333333333333,57.12955298159697,,4.576947319384509
13518,450.56666666666666,60.323576748672956,,4.751215055495295
13519,450.59999999999997,61.63705261174192,,4.419834937857972
13520,450.6333333333333,75.89883696755786,,4.251439387170725
13521,450.6666666666667,83.26716993296532,,4.685510347483703
13522,450.7,72.34156151618222,,3.984398349394195
13523,450.73333333333335,72.52000800451094,,5.456197999060008
