"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 "
127258,4241.9,-9.275209538828536
127259,4241.933333333333,-18.595846676629083
127260,4241.966666666666,-21.3627971690128
127261,4242,-56.89775497857272
127262,4242.033333333333,-72.61177511348075
127263,4242.066666666667,-69.96632746625747
127264,4242.1,-69.00369192781535
127265,4242.133333333333,-54.145297457478655
127266,4242.166666666667,-31.900279282137962
127267,4242.2,2.107662655181761
127268,4242.233333333334,26.12500208038815
127269,4242.266666666666,59.22087677397615
127270,4242.3,74.51244179975068
127271,4242.333333333333,94.44635677691213
127272,4242.366666666667,109.30268746541448
127273,4242.4,124.34937396884969
127274,4242.433333333333,120.09411473126762
127275,4242.466666666666,71.40787087634106
127276,4242.5,39.8997433239193
127277,4242.533333333333,24.50738681180902
127278,4242.566666666667,-8.852922678455679
127279,4242.6,-17.619441498421384
127280,4242.633333333333,-23.034499169436295
127281,4242.666666666667,-43.96902020844561
127282,4242.7,-60.95636496417897
127283,4242.733333333334,-71.79375377957287
127284,4242.766666666666,-64.2896145829415
127285,4242.8,-30.410445265532665
127286,4242.833333333333,-0.8390508711021949
127287,4242.866666666667,24.68095607276939
127288,4242.9,67.90031179213995
127289,4242.933333333333,78.93390683602465
127290,4242.966666666666,104.61057945475319
127291,4243,98.54340539257286
127292,4243.033333333333,,54.709551053167395
127293,4243.066666666667,,33.24581420766752
127294,4243.1,,12.699857302219938
127295,4243.133333333333,,-19.896862805282165
127296,4243.166666666667,,-33.96466459288475
127297,4243.2,,-56.80570065526685
127298,4243.233333333334,,-70.5879625595046
127299,4243.266666666666,,-68.31453160427716
127300,4243.3,,-42.4990650453578
127301,4243.333333333333,,-20.016997907271687
127302,4243.366666666667,,-5.92483304489827
127303,4243.4,,38.58154150127379
127304,4243.433333333333,,59.669854849321325
127305,4243.466666666666,,92.13527597544251
127306,4243.5,,107.50740132284983
127307,4243.533333333333,,95.58067330359255
127308,4243.566666666667,,68.98395428304964
127309,4243.6,,47.38945773650717
127310,4243.633333333333,,31.39509176267811
127311,4243.666666666667,,5.3552597151754515
127312,4243.7,,,,
127313,4243.733333333334,,,,
127314,4243.766666666666,,,,
127315,4243.8,,,,
127316,4243.833333333333,,,,
127317,4243.866666666667,,,,
127318,4243.9,,,,
127319,4243.933333333333,,,,
127320,4243.966666666666,,,,
127321,4244,,,,
127322,4244.033333333333,,,,
127323,4244.066666666667,,,,
127324,4244.1,,,,
127325,4244.133333333333,,,,
127326,4244.166666666667,,,,
127327,4244.2,,,,
127328,4244.233333333334,,,,
127329,4244.266666666666,,,,
127330,4244.3,,,,
127331,4244.333333333333,,,,
127332,4244.366666666667,,,,
127333,4244.4,,,,
127334,4244.433333333333,,,,
127335,4244.466666666666,,,,
127336,4244.5,,,,
127337,4244.533333333333,,,,
127338,4244.566666666667,,,,
127339,4244.6,,,,
127340,4244.633333333333,,,,
127341,4244.666666666667,,,,
127342,4244.7,,,,
127343,4244.733333333334,,,,
127344,4244.766666666666,,,,
127345,4244.8,,,,
127346,4244.833333333333,,,,
127347,4244.866666666667,,,,
127348,4244.9,,,,
127349,4244.933333333333,,,,
127350,4244.966666666666,,,,
127351,4245,,,,
127352,4245.033333333333,,,,
127353,4245.066666666667,,,,
127354,4245.1,,,,
127355,4245.133333333333,,,,
127356,4245.166666666667,,,,
127357,4245.2,,,,
127358,4245.233333333334,,,,
127359,4245.266666666666,,,,
127360,4245.3,,,,
127361,4245.333333333333,,,,
127362,4245.366666666667,,,,
127363,4245.4,,,,
127364,4245.433333333333,,,,
127365,4245.466666666666,,,,
127366,4245.5,,,,
127367,4245.533333333333,,,,
127368,4245.566666666667,,,,
127369,4245.6,,,,
127370,4245.633333333333,,,,
127371,4245.666666666667,,,,
127372,4245.7,,,,
127373,4245.733333333334,,,,
127374,4245.766666666666,,,,
127375,4245.8,,,,
127376,4245.833333333333,,,,
127377,4245.866666666667,,,,
127378,4245.9,,,,
127379,4245.933333333333,,,,
127380,4245.966666666666,,,,
127381,4246,,,,
127382,4246.033333333333,,,,
127383,4246.066666666667,,,,
127384,4246.1,,,,
127385,4246.133333333333,,,,
127386,4246.166666666667,,,,
127387,4246.2,,,,
127388,4246.233333333334,,,,
127389,4246.266666666666,,,,
127390,4246.3,,,,
127391,4246.333333333333,,,,
127392,4246.366666666667,,,,
127393,4246.4,,,,
127394,4246.433333333333,,,,
127395,4246.466666666666,,,,
127396,4246.5,,,,
127397,4246.533333333333,,,,
127398,4246.566666666667,,,,
127399,4246.6,,,,
127400,4246.633333333333,,,,
127401,4246.666666666667,,,,
127402,4246.7,,,,
127403,4246.733333333334,,,,
127404,4246.766666666666,,,,
127405,4246.8,,,,
127406,4246.833333333333,,,,
127407,4246.866666666667,,,,
127408,4246.9,,,,
127409,4246.933333333333,,,,
127410,4246.966666666666,,,,
127411,4247,,,,
127412,4247.033333333333,,,,
127413,4247.066666666667,,,,
127414,4247.1,,,,
127415,4247.133333333333,,,,
127416,4247.166666666667,,,,
127417,4247.2,,,,
127418,4247.233333333334,,,,
127419,4247.266666666666,,,,
127420,4247.3,,,,
127421,4247.333333333333,,,,
127422,4247.366666666667,,,,
127423,4247.4,,,,
127424,4247.433333333333,,,,
127425,4247.466666666666,,,,
127426,4247.5,,,,
127427,4247.533333333333,,,,
127428,4247.566666666667,,,,
127429,4247.6,,,,
127430,4247.633333333333,,,,
127431,4247.666666666667,,,,
127432,4247.7,,,,
127433,4247.733333333334,,,,
127434,4247.766666666666,,,,
127435,4247.8,,,,
127436,4247.833333333333,,,,
127437,4247.866666666667,,,,
127438,4247.9,,,,
127439,4247.933333333333,,,,
127440,4247.966666666666,,,,
127441,4248,,,,
127442,4248.033333333333,,,,
127443,4248.066666666667,,,,
127444,4248.1,,,,
127445,4248.133333333333,,,,
127446,4248.166666666667,,,,
127447,4248.2,,,,
127448,4248.233333333334,,,,
127449,4248.266666666666,,,,
127450,4248.3,,,,
127451,4248.333333333333,,,,
127452,4248.366666666667,,,,
127453,4248.4,,,,
127454,4248.433333333333,,,,
127455,4248.466666666666,,,,
127456,4248.5,,,,
127457,4248.533333333333,,,,
127458,4248.566666666667,,,,
127459,4248.6,,,,
127460,4248.633333333333,,,,
127461,4248.666666666667,,,,
127462,4248.7,,,,
127463,4248.733333333334,,,,
127464,4248.766666666666,,,,
127465,4248.8,,,,
127466,4248.833333333333,,,,
127467,4248.866666666667,,,,
127468,4248.9,,,,
127469,4248.933333333333,,,,
127470,4248.966666666666,,,,
127471,4249,,,,
127472,4249.033333333333,,,,
127473,4249.066666666667,,,,
127474,4249.1,,,,
127475,4249.133333333333,,,,
127476,4249.166666666667,,,,
127477,4249.2,,,,
127478,4249.233333333334,,,,
127479,4249.266666666666,,,,
127480,4249.3,,,,
127481,4249.333333333333,,,,
127482,4249.366666666667,,,,
127483,4249.4,,,,
127484,4249.433333333333,,,,
127485,4249.466666666666,,,,
127486,4249.5,,,,
127487,4249.533333333333,,,,
127488,4249.566666666667,,,,
127489,4249.6,,,,
127490,4249.633333333333,,,,
127491,4249.666666666667,,,,
127492,4249.7,,,,
127493,4249.733333333334,,,,
127494,4249.766666666666,,,,
127495,4249.8,,,,
127496,4249.833333333333,,,,
127497,4249.866666666667,,,,
127498,4249.9,,,,
127499,4249.933333333333,,,,
127500,4249.966666666666,,,,
127501,4250,,,,
127502,4250.033333333333,,,,
127503,4250.066666666667,,,,
127504,4250.1,,,,
127505,4250.133333333333,,,,
127506,4250.166666666667,,,,
127507,4250.2,,,,
127508,4250.233333333334,,,,
127509,4250.266666666666,,,,
127510,4250.3,,,,
127511,4250.333333333333,,,,
127512,4250.366666666667,,,,
127513,4250.4,,,,
127514,4250.433333333333,,,,
127515,4250.466666666666,,,,
127516,4250.5,,,,
127517,4250.533333333333,,,,
127518,4250.566666666667,,,,
127519,4250.6,,,,
127520,4250.633333333333,,,,
127521,4250.666666666667,,,,
127522,4250.7,,,,
127523,4250.733333333334,,,,
127524,4250.766666666666,,,,
127525,4250.8,,,,
127526,4250.833333333333,,,,
127527,4250.866666666667,,,,
127528,4250.9,,,,
127529,4250.933333333333,,,,
127530,4250.966666666666,,,,
127531,4251,,,,
127532,4251.033333333333,,,,
127533,4251.066666666667,,,,
127534,4251.1,,,,
127535,4251.133333333333,,,,
127536,4251.166666666667,,,,
127537,4251.2,,,,
127538,4251.233333333334,,,,
127539,4251.266666666666,,,,
127540,4251.3,,,,
127541,4251.333333333333,,,,
127542,4251.366666666667,,,,
127543,4251.4,,,,
127544,4251.433333333333,,,,
127545,4251.466666666666,,,,
127546,4251.5,,,,
127547,4251.533333333333,,,,
127548,4251.566666666667,,,,
127549,4251.6,,,,
127550,4251.633333333333,,,,
127551,4251.666666666667,,,,
127552,4251.7,,,,
127553,4251.733333333334,,,,
127554,4251.766666666666,,,,
127555,4251.8,,,,
127556,4251.833333333333,,,,
127557,4251.866666666667,,,,
127558,4251.9,,,,
127559,4251.933333333333,,,,
127560,4251.966666666666,,,,
127561,4252,,,,
127562,4252.033333333333,,,,
127563,4252.066666666667,,,,
127564,4252.1,,,,
127565,4252.133333333333,,,,
127566,4252.166666666667,,,,
127567,4252.2,,,,
127568,4252.233333333334,,,,
127569,4252.266666666666,,,,
127570,4252.3,,,,
127571,4252.333333333333,,,,
127572,4252.366666666667,,,,
127573,4252.4,,,,
127574,4252.433333333333,,,,
127575,4252.466666666666,,,,
127576,4252.5,,,,
127577,4252.533333333333,,,,
127578,4252.566666666667,,,,
127579,4252.6,,,,
127580,4252.633333333333,,,,
127581,4252.666666666667,,,,
127582,4252.7,,,,
127583,4252.733333333334,,,,
127584,4252.766666666666,,,,
127585,4252.8,,,,
127586,4252.833333333333,,,,
127587,4252.866666666667,,,,
127588,4252.9,,,,
127589,4252.933333333333,,,,
127590,4252.966666666666,,,,
127591,4253,,,,
127592,4253.033333333333,,,,
127593,4253.066666666667,,,,
127594,4253.1,,,,
127595,4253.133333333333,,,,
127596,4253.166666666667,,,,
127597,4253.2,,,,
127598,4253.233333333334,,,,
127599,4253.266666666666,,,,
127600,4253.3,,,,
127601,4253.333333333333,,,,
127602,4253.366666666667,,,,
127603,4253.4,,,,
127604,4253.433333333333,,,,
127605,4253.466666666666,,,,
127606,4253.5,,,,
127607,4253.533333333333,,,,
127608,4253.566666666667,,,,
127609,4253.6,,,,
127610,4253.633333333333,,,,
127611,4253.666666666667,,,,
127612,4253.7,,,,
127613,4253.733333333334,,,,
127614,4253.766666666666,,,,
127615,4253.8,,,,
127616,4253.833333333333,,,,
127617,4253.866666666667,,,,
127618,4253.9,,,,
127619,4253.933333333333,,,,
127620,4253.966666666666,,,,
127621,4254,,,,
127622,4254.033333333333,,,,
127623,4254.066666666667,,,,
127624,4254.1,,,,
127625,4254.133333333333,,,,
127626,4254.166666666667,,,,
127627,4254.2,,,,
127628,4254.233333333334,,,,
127629,4254.266666666666,,,,
127630,4254.3,,,,
127631,4254.333333333333,,,,
127632,4254.366666666667,,,,
127633,4254.4,,,,
127634,4254.433333333333,,,,
127635,4254.466666666666,,,,
127636,4254.5,,,,
127637,4254.533333333333,,,,
127638,4254.566666666667,,,,
127639,4254.6,,,,
127640,4254.633333333333,,,,
127641,4254.666666666667,,,,
127642,4254.7,,,,
127643,4254.733333333334,,,,
127644,4254.766666666666,,,,
127645,4254.8,,,,
127646,4254.833333333333,,,,
127647,4254.866666666667,,,,
127648,4254.9,,,,
127649,4254.933333333333,,,,
127650,4254.966666666666,,,,
127651,4255,,,,
127652,4255.033333333333,,,,
127653,4255.066666666667,,,,
127654,4255.1,,,,
127655,4255.133333333333,,,,
127656,4255.166666666667,,,,
127657,4255.2,,,,
127658,4255.233333333334,,,,
127659,4255.266666666666,,,,
127660,4255.3,,,,
127661,4255.333333333333,,,,
127662,4255.366666666667,,,,
127663,4255.4,,,,
127664,4255.433333333333,,,,
127665,4255.466666666666,,,,
127666,4255.5,,,,
127667,4255.533333333333,,,,
127668,4255.566666666667,,,,
127669,4255.6,,,,
127670,4255.633333333333,,,,
127671,4255.666666666667,,,,
127672,4255.7,,,,
127673,4255.733333333334,,,,
127674,4255.766666666666,,,,
127675,4255.8,,,,
127676,4255.833333333333,,,,
127677,4255.866666666667,,,,
127678,4255.9,,,,
127679,4255.933333333333,,,,
127680,4255.966666666666,,,,
127681,4256,,,,
127682,4256.033333333333,,,,
127683,4256.066666666667,,,,
127684,4256.1,,,,
127685,4256.133333333333,,,,
127686,4256.166666666667,,,,
127687,4256.2,,,,
127688,4256.233333333334,,,,
127689,4256.266666666666,,,,
127690,4256.3,,,,
127691,4256.333333333333,,,,
127692,4256.366666666667,,,,
127693,4256.4,,,,
127694,4256.433333333333,,,,
127695,4256.466666666666,,,,
127696,4256.5,,,,
127697,4256.533333333333,,,,
127698,4256.566666666667,,,,
127699,4256.6,,,,
127700,4256.633333333333,,,,
127701,4256.666666666667,,,,
127702,4256.7,,,,
127703,4256.733333333334,,,,
127704,4256.766666666666,,,,
127705,4256.8,,,,
127706,4256.833333333333,,,,
127707,4256.866666666667,,,,
127708,4256.9,,,-172.8189756246327
127709,4256.933333333333,,,-156.66429550800572
127710,4256.966666666666,,,-125.85529547155934
127711,4257,,,-88.06031373597732
127712,4257.033333333333,,,-40.89749960657474
127713,4257.066666666667,,,-32.21807763842001
127714,4257.1,,,-20.990169508827016
127715,4257.133333333333,,,-11.756069371983969
127716,4257.166666666667,,,-10.986141903648939
127717,4257.2,,,-7.679434666023788
127718,4257.233333333334,,,-3.2102640198519743
127719,4257.266666666666,,,-2.606540245634265
127720,4257.3,,,6.294766160964412
127721,4257.333333333333,,,19.52811477955479
127722,4257.366666666667,,,35.42207651187909
127723,4257.4,,,56.144571051456154
127724,4257.433333333333,,,72.143336378007
127725,4257.466666666666,,,52.777137753338046
127726,4257.5,,,10.974099885008439
127727,4257.533333333333,,,-1.6017867662492644
127728,4257.566666666667,,,-4.0498683336136665
127729,4257.6,,,-9.705753845728552
127730,4257.633333333333,,,-9.999672124171843
127731,4257.666666666667,,,-0.640253253095979
127732,4257.7,,,-3.2582904824531598
127733,4257.733333333334,,,0.2860390077653312
127734,4257.766666666666,,,0.1843336790774669
127735,4257.8,,,-1.2608432368242535
127736,4257.833333333333,,,-0.3225682355817334
127737,4257.866666666667,,,32.77743569569182
127738,4257.9,,,62.47035672175751
127739,4257.933333333333,,,55.13972034726228
127740,4257.966666666666,,,19.795242643025972
127741,4258,,,-1.2136440984150094
127742,4258.033333333333,,,-9.574309763926324
127743,4258.066666666667,,,-17.50471644206992
127744,4258.1,,,-29.23479159053064
127745,4258.133333333333,,,-41.711805482550965
127746,4258.166666666667,,,-47.96801856532169
127747,4258.2,,,-22.274392425277945
127748,4258.233333333334,,,3.79466578693473
127749,4258.266666666666,,,23.8371999253727
127750,4258.3,,,49.27723587984669
127751,4258.333333333333,,,61.554971799979995
127752,4258.366666666667,,,63.25628801190251
127753,4258.4,,,26.53662538360071
127754,4258.433333333333,,,1.850116305533041
127755,4258.466666666666,,,-10.66909326776358
127756,4258.5,,,-13.359139774530332
127757,4258.533333333333,,,-38.78300602638361
127758,4258.566666666667,,,-49.805951125957804
127759,4258.6,,,-57.247360021957306
127760,4258.633333333333,,,-57.07679189171967
127761,4258.666666666667,,,-18.98122446522508
127762,4258.7,,,-4.123813864468672
127763,4258.733333333334,,,-11.363568312439007
127764,4258.766666666666,,,-43.238635250358335
127765,4258.8,,,-55.47873367865178
127766,4258.833333333333,,,-52.26652508828112
127767,4258.866666666667,,,-26.49731457797048
127768,4258.9,,,-9.433555782742847
127769,4258.933333333333,,,0.29861353641324995
127770,4258.966666666666,,,28.73641148729163
127771,4259,,,64.41279151747912
127772,4259.033333333333,,,82.00113082318396
127773,4259.066666666667,,,78.06827396068597
127774,4259.1,,,64.00491824760891
127775,4259.133333333333,,,38.997498984744446
127776,4259.166666666667,,,20.375518087809553
127777,4259.2,,,-0.3515241666012069
127778,4259.233333333334,,,-40.37051942219674
127779,4259.266666666666,,,-61.749354463062886
127780,4259.3,,,-74.51300941879157
127781,4259.333333333333,,,-49.269001771985636
127782,4259.366666666667,,,-8.11021989993268
127783,4259.4,,,5.915740533012118
127784,4259.433333333333,,,54.64425447427171
127785,4259.466666666666,,,93.9179437972451
127786,4259.5,,,101.06259115477333
127787,4259.533333333333,,,94.13342233819992
