"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 ","17 ","18 ","19 ","20 ","21 ","22 ","23 ","24 ","25 "
72727,2424.2,69.3809521611284
72728,2424.233333333333,,63.05282269358433
72729,2424.2666666666664,,40.12338691352546
72730,2424.3,,6.036632249656751
72731,2424.3333333333335,,-10.772884223403478
72732,2424.366666666667,,-23.68638803408471
72733,2424.4,,-37.3767970960573,,,-2.187600630751413
72734,2424.4333333333334,,-53.601165507557475,,,-3.3249333111011845
72735,2424.4666666666667,,-76.203363452666,,,-0.6122259866571583
72736,2424.5,,-80.14251865581063,,,-1.0356135757975153
72737,2424.5333333333333,,-87.78361030697569,,,-0.7894768444233637
72738,2424.5666666666666,,-93.75625214886435,,,-0.8350919264996023
72739,2424.6,,,-79.48039275721041,,-0.2731137634186704
72740,2424.633333333333,,,-82.30241919082357,,4.920658335313817
72741,2424.6666666666665,,,-80.93477198109004,,5.105208847288748
72742,2424.7,,,-78.47530863825233,,4.151554817326363
72743,2424.733333333333,,,-82.80473030611698,,6.157336738594714
72744,2424.7666666666664,,,-82.98788048492504,,3.137015617718713
72745,2424.8,,,-80.88020204469916,,4.257481576467007
72746,2424.8333333333335,,,-86.07704482620537,,0.181693760348495
72747,2424.866666666667,,,-97.82719006345967,,-0.18985088569483444
72748,2424.9,,,,-119.4317195533053,-0.09064827094517441
72749,2424.9333333333334,,,,-129.38978716115867,2.292835081664012
72750,2424.9666666666667,,,,-121.26145015934604,-0.6539042863637275
72751,2425,,,,-142.38672238381844,3.082122780112212
72752,2425.0333333333333,,,,167.92335091312432,-0.9665252719954363
72753,2425.0666666666666,,,,164.83337562563247,4.301889185762712
72754,2425.1,,,,151.5821431519574,7.0139674837482
72755,2425.133333333333,,,,152.79298402270274,4.427302692928383
72756,2425.1666666666665,,,,155.1926736011775,5.8131935901859135
72757,2425.2,,,,157.50621101833823,2.6904547161104504
72758,2425.233333333333,,,,164.2777514515307,3.0426368604311085
72759,2425.2666666666664,,,,179.0212328692129,2.2647502561846458
72760,2425.3,,,,-173.54705274574133,1.7198675329411548
72761,2425.3333333333335,,,,179.61830403674995,0.7962987951420493
72762,2425.366666666667,,,,-177.90557511395735,-0.34556759217465294
72763,2425.4,,,,-172.45751864846451,2.807349252647686
72764,2425.4333333333334,,,,-173.24946996248593,1.9254441340229285
72765,2425.4666666666667,,,,-173.5396975514453,1.8548072240859876
72766,2425.5,,,,-171.87269934885967,1.5502020922851818
72767,2425.5333333333333,,,,-169.6480820055507,0.3569034329558556
72768,2425.5666666666666,,,,-169.2784128438002,1.8160305915260146
72769,2425.6,,,,-170.97224371019,2.166244717539166
72770,2425.633333333333,,,,-173.14676486419398,2.590877426223946
72771,2425.6666666666665,,,,-169.13888094633884,4.246086820979565
72772,2425.7,,,,-173.31766105569437,4.508280391423339
72773,2425.733333333333,,,,-176.3912442673279,2.3537739446969432
72774,2425.7666666666664,,,,-148.6494849868071,2.2194846090083096
72775,2425.8,,,,-131.10318431373605,1.668696561617011
72776,2425.8333333333335,,,,-120.93222367030545,1.5644882507020428
72777,2425.866666666667,,,,-113.35608817507496,1.3755477878977864
72778,2425.9,,,,-98.53382145634913,0.5114442386338446
72779,2425.9333333333334,,,,-88.3909456492688,2.240955676049766
72780,2425.9666666666667,,,,-78.31191451827665,2.3185038173826946
72781,2426,,,,-56.55922961192959,0.21460847126238175
72782,2426.0333333333333,,,,-49.08244899359048,-1.8142450708267719
72783,2426.0666666666666,,,,-44.07720966386693,4.810136516351572
72784,2426.1,,,,-71.3211998667016,4.759526818444723
72785,2426.133333333333,,,,-78.7764991579238,1.648692970903104
72786,2426.1666666666665,,,,-92.46542735983864,-2.3510533464773498
72787,2426.2,,,,-109.34419636988312,-0.6694507549617362
72788,2426.233333333333,,,,-120.2545189182978,-5.011458918076628
72789,2426.2666666666664,,,,-129.17903183017717,2.4710057115869137
72790,2426.3,,,,-132.3770784227312,3.4138077501938806
72791,2426.3333333333335,,,,-147.401524081465,-2.967778121404318
72792,2426.366666666667,,,,-151.49085101461287,-1.2742547667230701
72793,2426.4,,,,-154.43248301104,1.8841331487905333
72794,2426.4333333333334,,,,-145.7661713883935,1.5128097760092276
72795,2426.4666666666667,,,,-139.89517197114748,7.351032923845682
72796,2426.5,,,,-125.29989041677901,5.242178090011314
72797,2426.5333333333333,,,,-119.44460289012754,-5.957081868910846
72798,2426.5666666666666,,,,-86.42670498603597,,-0.8816563591156714
72799,2426.6,,,,-84.68373180381698,,6.488289175957127
72800,2426.633333333333,,,,-47.22701213829001,,5.366681988480527
72801,2426.6666666666665,,,,-33.941327797282355,,1.6067093880464418
72802,2426.7,,,,-4.2447844351001915,,2.7883186270752836
72803,2426.733333333333,,,,-10.049865830193214,,-1.1107322359258895
72804,2426.7666666666664,,,,13.271812562362184,,4.46180296024463
72805,2426.8,,,,7.062847150045783,,1.6749795995189525
72806,2426.8333333333335,,,,-14.514500455678435,,0.7308823363301797
72807,2426.866666666667,,,,-15.519298045504389,,2.2102072722179718
72808,2426.9,,,,-33.33943035034981,,-1.548889774034001
72809,2426.9333333333334,,,,-46.399808703206,,-0.39128000130934454
72810,2426.9666666666667,,,,-64.0534304758283,,-2.8203260141009223
72811,2427,,,,-74.57915005353124,,-0.9217352778805945
72812,2427.0333333333333,,,,-83.78318381664717,,3.253351624309219
72813,2427.0666666666666,,,,-86.10681777056075,,0.27706342493485114
72814,2427.1,,,,-81.3343483693252,,-8.264358367096525
72815,2427.133333333333,,,,-56.73532081290291,,-4.236320822887176
72816,2427.1666666666665,,,,-16.185146198348036,,-5.977407060435797
72817,2427.2,,,,9.010066753739135,,-3.786493575968273
72818,2427.233333333333,,,,29.67817542094514,,2.00087969436653
72819,2427.2666666666664,,,,40.49833389856612,,-0.2410190091761998
72820,2427.3,,,,50.69252553880849,,-5.21963693324858
72821,2427.3333333333335,,,,60.13982213772035,,-3.923717933457385
72822,2427.366666666667,,,,32.001163696921736,,-3.9061766976201504
72823,2427.4,,,,11.996786761865785,,0.42689746545597895
72824,2427.4333333333334,,,,-12.795553406027986,,-0.32810175032710026
72825,2427.4666666666667,,,,-33.42212570369385,,0.27619935497951115
72826,2427.5,,,,-36.20877531065433,,1.6239981879419374
72827,2427.5333333333333,,,,-55.85850728924464,,8.424154542414092
72828,2427.5666666666666,,,,-65.46152996905886,,1.4932859851284654
72829,2427.6,,,,-71.15599290284385,,-0.4748068323810754
72830,2427.633333333333,,,,-75.11647307717217,,-3.42343366898625
72831,2427.6666666666665,,,,-68.04149986612347,,0.11788601929615047
72832,2427.7,,,,-48.77184961401898,,0.12707214840408815
72833,2427.733333333333,,,,-21.771966620257427,,-0.5524928746265568
72834,2427.7666666666664,,,,2.4008226321751387,,0.1347829854693676
72835,2427.8,,,,23.626657192764583,,-1.7181877724458994
72836,2427.8333333333335,,,,51.35509774693295,,-1.5840750318222752
72837,2427.866666666667,,,,67.66581118486629,,-5.146710148875973
72838,2427.9,,,,72.50145738487589,,0.567209724170977
72839,2427.9333333333334,,,,77.20265882040091,,-3.2500966040908956
72840,2427.9666666666667,,,,40.52804178482698,,-1.6761384072328478
72841,2428,,,,12.240815210879127,,2.966576555176908
72842,2428.0333333333333,,,,-15.17454620587135,,3.3519312605802245
72843,2428.0666666666666,,,,-44.279169506407214,,5.291049919712557
72844,2428.1,,,,-57.26916554899912,,3.259832761186581
72845,2428.133333333333,,,,-102.30888640972097,,2.5727568731628696
72846,2428.1666666666665,,,,-86.21650186235676,,3.615357798316675
72847,2428.2,,,,-114.48644279835835,,1.4086936775891479
72848,2428.233333333333,,,,-85.67393357301962,,1.7475237976659868
72849,2428.2666666666664,,,,-84.59056222915622,,1.0106159072145509
72850,2428.3,,,,-71.61496441901865,,-0.8585228613332714
72851,2428.3333333333335,,,,-44.93698066970916,,-0.5573860608140997
72852,2428.366666666667,,,,-28.02936521320451,,-0.7124785855073029
72853,2428.4,,,,-14.515184049096026,,-1.321469741521671
72854,2428.4333333333334,,,,-7.489165809422343,,-2.4507170867583445
72855,2428.4666666666667,,,,-6.09900397751423,,-1.426451605232459
72856,2428.5,,,,-11.831755833966023,,-1.7914626789072812
72857,2428.5333333333333,,,,-31.739587088143384,,-2.195459134201267
