"Worm Data","Position (um) of Centroid"
"Sequence","capture-0011.avi"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y","5 x","5 y"
113706,3790.1666666666665,1555.1011372152188,1000.6273470556043
113707,3790.2,,,1554.7684554198547,1000.7755316376597
113708,3790.233333333333,,,1553.9702400507447,999.9480936181462
113709,3790.2666666666664,,,1554.1506566198009,999.8860768141205
113710,3790.2999999999997,,,1554.2366140058061,1000.2435439353926
113711,3790.3333333333335,,,1554.276051862169,999.7486973974451
113712,3790.366666666667,,,1553.9886518932917,999.5996228666174
113713,3790.4,,,1553.9196107454184,999.6792466813586
113714,3790.4333333333334,,,1553.7681214540735,999.756826969691
113715,3790.4666666666667,,,1553.5094052092304,999.974868937464
113716,3790.5,,,1553.1073487722792,999.0370963088299
113717,3790.5333333333333,,,,,1554.5529790541302,1000.2987411789504
113718,3790.5666666666666,,,,,1554.2749755159625,1000.0637378699423
113719,3790.6,,,,,1554.174705036805,1000.1377988981626
113720,3790.633333333333,,,,,1554.1007666942387,1000.1890149655783
113721,3790.6666666666665,,,,,1554.9992992124412,1001.2734146825044
113722,3790.7,,,,,1554.1264037176206,1000.1263495363858
113723,3790.733333333333,,,,,1555.7156022492247,1001.0487685695377
113724,3790.7666666666664,,,,,1555.1840109413467,1001.2482803254868
113725,3790.7999999999997,,,,,1554.8578768429497,1000.3447798912066
113726,3790.8333333333335,,,,,1556.3184101717354,1001.3413274969778
113727,3790.866666666667,,,,,1556.9438383372826,1001.2083514338408
113728,3790.9,,,,,,,1555.8993336038175,1000.7086510779145
113729,3790.9333333333334,,,,,,,1557.4101920455823,1000.5590246499441
113730,3790.9666666666667,,,,,,,1556.4909917514094,1000.3578006617679
113731,3791,,,,,,,1557.228677587725,1000.9059957454608
113732,3791.0333333333333,,,,,,,1557.375508094238,1000.5394304747263
113733,3791.0666666666666,,,,,,,1557.596076546841,1000.6324075133484
113734,3791.1,,,,,,,1559.3935803429547,1001.5697279284707
113735,3791.133333333333,,,,,,,1559.1758954841273,1001.3290179881376
113736,3791.1666666666665,,,,,,,1558.8781823061236,1001.8451425389189
113737,3791.2,,,,,,,,,1557.057018169764,1001.0713072630472
113738,3791.233333333333,,,,,,,,,1557.078729662671,1001.0771194010313
113739,3791.2666666666664,,,,,,,,,1556.942470060709,1000.9373768129221
113740,3791.2999999999997,,,,,,,,,1556.8312315493226,1001.1810085574639
113741,3791.3333333333335,,,,,,,,,1556.4950861199777,1001.0178564618016
113742,3791.366666666667,,,,,,,,,1555.9990517319175,1000.9237874237779
113743,3791.4,,,,,,,,,1556.9601043554537,1002.0848791135436
113744,3791.4333333333334,,,,,,,,,1555.933956563276,1000.9329189766188
113745,3791.4666666666667,,,,,,,,,1556.1829877542195,1001.3219943679583
113746,3791.5,,,,,,,,,1556.146823534882,1001.4434670968087
113747,3791.5333333333333,,,,,,,,,1555.7735726700748,1001.0462558397264
113748,3791.5666666666666,,,,,,,,,1556.0691133805215,1001.6890723414085
113749,3791.6,,,,,,,,,1555.8480844518924,1001.5725465441333
113750,3791.633333333333,,,,,,,,,1555.4657340056629,1001.2558671471047
113751,3791.6666666666665,,,,,,,,,1555.3348978800245,1000.7069968193293
113752,3791.7,,,,,,,,,1555.3429148514952,1000.6711698234719
113753,3791.733333333333,,,,,,,,,1555.3886340053657,1000.6859888445867
113754,3791.7666666666664,,,,,,,,,1555.392466889376,999.440583397145
113755,3791.7999999999997,,,,,,,,,1556.1466353518106,1001.191523493324
113756,3791.8333333333335,,,,,,,,,1556.4114527908514,1001.4093811545936
113757,3791.866666666667,,,,,,,,,1556.5652967202632,1001.4685456761072
113758,3791.9,,,,,,,,,1557.4424666999237,1002.7610632922904
113759,3791.9333333333334,,,,,,,,,1557.2155057979026,1001.0682795303846
113760,3791.9666666666667,,,,,,,,,1557.7789684398117,1001.0778510994103
113761,3792,,,,,,,,,1558.4622321480324,1002.4169263442711
113762,3792.0333333333333,,,,,,,,,1558.1480674168606,1000.7877658479665
113763,3792.0666666666666,,,,,,,,,1558.2105415186168,1000.7519532503095
113764,3792.1,,,,,,,,,1558.3095959172324,1001.0233227355495
113765,3792.133333333333,,,,,,,,,1558.6013429670982,1001.7698122332977
113766,3792.1666666666665,,,,,,,,,1558.4575904867079,1001.5270451270358
113767,3792.2,,,,,,,,,1558.1700198958183,1001.4886889889442
113768,3792.233333333333,,,,,,,,,1558.5608837563957,1002.6274838016059
113769,3792.2666666666664,,,,,,,,,1558.7089447160874,1002.6058044429453
