"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","capture-0011.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 ","17 ","18 ","19 ","20 ","21 ","22 ","23 ","24 ","25 ","26 ","27 ","28 ","29 ","30 ","31 ","32 ","33 ","34 ","35 ","36 ","37 ","38 ","39 ","40 ","41 ","42 ","43 ","44 ","45 ","46 ","47 ","48 ","49 ","50 ","51 ","52 ","53 ","54 ","55 ","56 ","57 ","58 ","59 ","60 ","61 ","62 ","63 ","64 ","65 ","66 ","67 ","68 ","69 ","70 ","71 ","72 ","73 ","74 ","75 ","76 ","77 ","78 ","79 ","80 ","81 ","82 ","83 ","84 ","85 ","86 ","87 ","88 ","89 ","90 ","91 ","92 ","93 ","94 ","95 ","96 ","97 ","98 ","99 ","100 ","101 ","102 ","103 ","104 ","105 ","106 ","107 ","108 ","109 ","110 "
130094,4336.433333333333,-47.9105191720742,-2.125856234701855
130095,4336.466666666666,-45.54419186437145,-2.122247597246538
130096,4336.5,-47.088903512102235,-2.1187108299039954
130097,4336.533333333333,-44.64725588721035,-2.059006749955757
130098,4336.566666666667,-47.47551629323182,-1.9396773226295545
130099,4336.6,-46.338596328590974,-1.6031648350030387
130100,4336.633333333333,-39.80464695838394,-1.9396773226295545
130101,4336.666666666667,-44.54188343570696,,4.744027973701
130102,4336.7,-42.90851896159052,,10.8343182504454
130103,4336.733333333334,-39.4324353064218,,10.8343182504454
130104,4336.766666666666,-43.26401626905821,,10.834318250446849
130105,4336.8,-43.510081169554844,,10.834318250446492
130106,4336.833333333333,-43.44231562622915,,10.834318250446849
130107,4336.866666666667,-43.29823705240419,,,-3.9744885671987453
130108,4336.9,-43.552020336300956,,,2.8887440312778256
130109,4336.933333333333,-43.29932320464582,,,-5.160019315255296
130110,4336.966666666666,-44.713430769441864,,,2.8887440312778256
130111,4337,-44.413365084500434,,,2.8887440312778256
130112,4337.033333333333,-40.89453039384224,,,2.8887440312778256
130113,4337.066666666667,-40.658537907439104,,,3.5439512583553743
130114,4337.1,-41.12552054619952,,,2.0694640844984
130115,4337.133333333333,-40.80627820514841,,,2.0694640844977386
130116,4337.166666666667,-41.16540933302713,,,,-3.119322725373665
130117,4337.2,-40.81142393247958,,,,-3.1429769902144016
130118,4337.233333333334,-39.114377527424566,,,,-3.258081290107551
130119,4337.266666666666,-40.01149682960365,,,,-3.1907334286684996
130120,4337.3,-39.46584938936642,,,,-2.6003371977134595
130121,4337.333333333333,-45.31357724471013,,,,2.003957744830669
130122,4337.366666666667,-43.913575850609746,,,,2.003957744830669
130123,4337.4,-39.25373802452833,,,,-4.969633263185837
130124,4337.433333333333,-38.92910587551658,,,,1.1319716742899222
130125,4337.466666666666,-38.92910587551592,,,,-3.3312954143689546
130126,4337.5,-42.78555371109724,,,,1.9517479173353722
130127,4337.533333333333,-38.55767108273327,,,,2.125856234702313
130128,4337.566666666667,-44.1188339415574,,,,1.9517479173353722
130129,4337.6,-39.114377527424566,,,,1.9517479173353722
130130,4337.633333333333,-45.00169696939009,,,,1.6588075745264823
130131,4337.666666666667,-45.056829865614404,,,,1.6588075745264823
130132,4337.7,-45.237162639131846,,,,1.9517479173353722
130133,4337.733333333334,-45.028011562367666,,,,1.8610033208337817
130134,4337.766666666666,-46.114613612386314,,,,1.8610033208342143
130135,4337.8,-44.87897800655497,,,,1.6588075745264823
130136,4337.833333333333,-45.02801156236773,,,,1.8610033208342143
130137,4337.866666666667,-40.9803891100639,,,,-2.2297035650672803
130138,4337.9,-40.873217365757874,,,,1.9517479173353722
130139,4337.933333333333,-45.06109956234015,,,,1.9517479173353722
130140,4337.966666666666,-45.96276511403758,,,,1.0917221708903118
130141,4338,-40.713100560860305,,,,-3.9202703749001615
130142,4338.033333333333,-39.41087845099727,,,,-3.1788238843813565
130143,4338.066666666667,-41.487712452484196,,,,-3.898268257784732
130144,4338.1,-41.00069325084825,,,,2.0966879115351937
130145,4338.133333333333,-41.41968373181759,,,,2.0966879115359065
130146,4338.166666666667,-41.690480561283,,,,2.0966879115351937
130147,4338.2,-41.6940009753609,,,,2.0966879115359065
130148,4338.233333333334,-40.67991351017478,,,,-2.4157782405811785
130149,4338.266666666666,-41.16540933302677,,,,-2.9704038134271773
130150,4338.3,-40.95829730939165,,,,-3.4053029914479693
130151,4338.333333333333,-42.30125500529317,,,,-2.746053014558112
130152,4338.366666666667,-41.757230064585976,,,,-3.1247359132691863
130153,4338.4,-41.716083886991775,,,,-2.308102543538793
130154,4338.433333333333,-41.757230064585976,,,,-3.1158809282677646
130155,4338.466666666666,-39.41087845099727,,,,-2.438558906980918
130156,4338.5,-39.41087845099727,,,,-3.1983537623323266
130157,4338.533333333333,-40.73150595594925,,,,-3.232625306026665
130158,4338.566666666667,-39.41087845099727,,,,-3.9044592918971497
130159,4338.6,-38.55076622448675,,,,-4.833179072241704
130160,4338.633333333333,-41.00069325084825,,,,2.125856234702313
130161,4338.666666666667,-38.93008414357929,,,,-3.5725981271483254
130162,4338.7,-42.86176182387869,,,,2.125856234702313
130163,4338.733333333334,-38.540910833560346,,,,1.9517479173353722
130164,4338.766666666666,-40.838049376579406,,,,-4.209183208242923
130165,4338.8,-40.593302576620225,,,,2.0966879115351684
130166,4338.833333333333,-40.119157110745796,,,,2.0966879115351684
130167,4338.866666666667,-40.119157110745796,,,,-2.0639751917597318
130168,4338.9,-38.35158003431248,,,,1.9128315995657863
