"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","capture-0001.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 ","17 ","18 ","19 ","20 ","21 ","22 ","23 ","24 "
91321,3044,1.6681266994492088,-15.273636794668013
91322,3044.0333333333333,,-23.711604278902318,5.316230481496065
91323,3044.0666666666666,,-68.20096500699495,3.64609472784534
91324,3044.1,,-75.17510586346816,3.597933994858221
91325,3044.133333333333,,-75.22651136652931,3.571313175613473
91326,3044.1666666666665,,-50.641924525952554,2.2830019897344678
91327,3044.2,,-27.260423524852516,2.598568044027152
91328,3044.233333333333,,3.5830776203814914,2.8204691345699073
91329,3044.2666666666664,,41.23442420094719,3.3307385155024116
91330,3044.3,,73.04159892011276,3.3307385155027167
91331,3044.3333333333335,,106.49770557230568,1.46963922256716
91332,3044.366666666667,,109.0615896064199,0.29410297225988646
91333,3044.4,,81.02762379506893,1.2126885852790519
91334,3044.4333333333334,,49.63281111415734,1.594225434990946
91335,3044.4666666666667,,27.374635096647786,2.6781613242844644
91336,3044.5,,10.861056709801767,2.10738402831285
91337,3044.5333333333333,,-11.344790753876211,2.321558189855439
91338,3044.5666666666666,,-49.49987191677845,2.8199588663355573
91339,3044.6,,-44.124828762426745,1.5315640420952357
91340,3044.633333333333,,-58.33146102225119,3.231512422292097
91341,3044.6666666666665,,-52.43515564262741,4.209632815259691
91342,3044.7,,-13.893462457704885,4.533259634545685
91343,3044.733333333333,,-2.087763525961314,5.980806741554233
91344,3044.7666666666664,,8.013151227658303,2.5277359595572393
91345,3044.8,,27.581237046896135,1.8468975689250353
91346,3044.8333333333335,,51.46515413135882,1.9439209487432405
91347,3044.866666666667,,75.60056597857383,4.705720399210312
91348,3044.9,,70.18173938213475,4.7389590199723015
91349,3044.9333333333334,,43.954251572209735,0.628623931003328
91350,3044.9666666666667,,20.66368425324226,0.628623931003328
91351,3045,,-2.7922058416974096,-1.317734619681786
91352,3045.0333333333333,,-20.454291444602394,-2.365920860542586
91353,3045.0666666666666,,-38.74540678763378,-3.5928028650641775
91354,3045.1,,-60.46777862314513,-2.9353730537372247
91355,3045.133333333333,,-62.61049309197715,-3.7875889262899127
91356,3045.1666666666665,,-44.498457704685876,-4.755756462559289
91357,3045.2,,-30.82828340924874,-5.059869632670148
91358,3045.233333333333,,-17.178160408843215,-5.104879621740883
91359,3045.2666666666664,,-13.477865193001854,-3.816789676604762
91360,3045.3,,-21.69723576444288,1.4950456676300905
91361,3045.3333333333335,,-36.80841688860543,2.4096443767251983
91362,3045.366666666667,,-55.668321398013106,2.668823141641338
91363,3045.4,,-59.112449275566235,2.0275332636123298
91364,3045.4333333333334,,-48.61634962678541,2.4361468577720164
91365,3045.4666666666667,,-31.17419814815365,-1.212387485686654
91366,3045.5,,-3.265730165199587,-1.4633356386838456
91367,3045.5333333333333,,18.54381226314166,0.28932514102160667
91368,3045.5666666666666,,34.64149005440204,-0.8268950231310672
91369,3045.6,,52.70680326442472,-1.06669569913917
91370,3045.633333333333,,73.82378768659152,-1.4441280216186632
91371,3045.6666666666665,,70.47475640726293,-1.881171694274769
91372,3045.7,,52.80299223337408,0.5499428649671038
91373,3045.733333333333,,22.513620133174538,-1.7897751150155423
91374,3045.7666666666664,,7.8741642378200485,-2.495641138346358
91375,3045.8,,-13.061509261924456,-0.9304463584235534
91376,3045.8333333333335,,-68.86201573892109,-0.861492451541816
91377,3045.866666666667,,-85.28004767715,-0.35097392594115356
91378,3045.9,,-100.5879940929733,-1.256648220679786
91379,3045.9333333333334,,-98.93566915480916,-0.9757531976742385
91380,3045.9666666666667,,-75.22814360749594,-0.8734381027974398
91381,3046,,-49.5667225053571,1.3120265551428354
91382,3046.0333333333333,,2.5956247883458192,1.0274701829054143
91383,3046.0666666666666,,35.53693857995382,0.4103455333070537
91384,3046.1,,57.95345701638588,2.7387077595808953
91385,3046.133333333333,,80.78295385629599,2.9599153160610485
91386,3046.1666666666665,,92.39866036257938,2.700377801390778
91387,3046.2,,107.25866793427244,3.344597346115551
91388,3046.233333333333,,90.09756088244721,0.7381288324178071
91389,3046.2666666666664,,64.15852257824253,0.37217188237025456
91390,3046.3,,35.337992404894074,3.22217544276225
91391,3046.3333333333335,,1.6223848759022619,3.498082189905972
91392,3046.366666666667,,-40.375524431794915,2.6036603863773067
91393,3046.4,,-61.13207802389413,0.5580592538975997
91394,3046.4333333333334,,-77.23354660171437,1.296710969736711
91395,3046.4666666666667,,-94.70174904089441,2.903962702127463
91396,3046.5,,-91.39462358937578,2.428168404684884
91397,3046.5333333333333,,-70.21618288951316,1.348940189536633
91398,3046.5666666666666,,-41.9355618083301,0.530156419071258
91399,3046.6,,2.137144859844741,0.7372462816570288
91400,3046.633333333333,,48.278434446075366,1.4922215297827683
91401,3046.6666666666665,,73.9379455623382,-0.05544121631011924
91402,3046.7,,88.32454961087724,-2.9753658350323313
91403,3046.733333333333,,100.27913846849124,-1.9357577635397065
91404,3046.7666666666664,,103.44669023656412,-2.023366835351777
91405,3046.8,,83.5832507042563,-2.690963176307183
91406,3046.8333333333335,,52.8548936682809,-2.385195099446672
91407,3046.866666666667,,41.303809265768194,-2.295872574684807
91408,3046.9,,-2.2019954349298665,-2.342824761057531
91409,3046.9333333333334,,-44.56545012907962,-2.1807277119114863
91410,3046.9666666666667,,-70.32521854282818,-2.4361920390697906
91411,3047,,-86.06433694167225,-2.662531109011092
