"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 "
127849,4261.6,-51.550598759350834
127850,4261.633333333333,-51.691890531704054
127851,4261.666666666667,-53.443321721839006
127852,4261.7,-53.839118280283394
127853,4261.733333333334,-52.0365018220602
127854,4261.766666666666,-51.93163517929848
127855,4261.8,-50.040586254574094
127856,4261.833333333333,-53.44442729187741
127857,4261.866666666667,-52.62153312671554
127858,4261.9,-52.87813906051146
127859,4261.933333333333,-52.6870394901735
127860,4261.966666666666,-52.956666587475226
127861,4262,-53.16801772358249
127862,4262.033333333333,-54.63295326185064
127863,4262.066666666667,-53.54308930741146
127864,4262.1,-51.950851422181756
127865,4262.133333333333,-51.950851422181756
127866,4262.166666666667,-50.493589935851254
127867,4262.2,-50.47803818891028
127868,4262.233333333334,-53.68132688383722
127869,4262.266666666666,-53.54308930741146
127870,4262.3,-51.870763505405016
127871,4262.333333333333,-53.414959541656636
127872,4262.366666666667,-53.852034869695125
127873,4262.4,-55.65740392354733
127874,4262.433333333333,-56.053154729020086
127875,4262.466666666666,-55.65740392354733
127876,4262.5,-55.65740392354733
127877,4262.533333333333,-55.642127731959015
127878,4262.566666666667,-54.60322252575102
127879,4262.6,-56.053154729020086
127880,4262.633333333333,-54.655239864394346
127881,4262.666666666667,-51.93163517929848
127882,4262.7,-52.43457518105074
127883,4262.733333333334,-51.93163517929848
127884,4262.766666666666,-51.93163517929848
127885,4262.8,-53.631049988188146
127886,4262.833333333333,-51.452115463656796
127887,4262.866666666667,-51.452115463656796
127888,4262.9,-53.1206300126909
127889,4262.933333333333,-49.3416912851553
127890,4262.966666666666,-50.36665945604033
127891,4263,-50.50332067763259
127892,4263.033333333333,-51.02798214260997
127893,4263.066666666667,-50.22188142343638
127894,4263.1,-50.040586254574094
127895,4263.133333333333,-48.09457911270042
127896,4263.166666666667,-48.3659537859084
127897,4263.2,-48.3659537859084
127898,4263.233333333334,-48.3659537859084
127899,4263.266666666666,-48.79367097913564
127900,4263.3,-47.77953232112207
127901,4263.333333333333,-50.922381517672676
127902,4263.366666666667,-48.86188954848723
127903,4263.4,-48.86188954848723
127904,4263.433333333333,-47.42834769368674
127905,4263.466666666666,-47.862035522743014
127906,4263.5,-49.193838959024816
127907,4263.533333333333,-45.62792358472802
127908,4263.566666666667,-48.27032869427721
127909,4263.6,-46.51286084399005
127910,4263.633333333333,-48.36383662374609
127911,4263.666666666667,-43.34556146517539
127912,4263.7,-45.993765708762595
127913,4263.733333333334,-42.683703049383304
127914,4263.766666666666,-43.61186018009655
127915,4263.8,-45.993765708762595
127916,4263.833333333333,-48.36383662374609
127917,4263.866666666667,-45.993765708762595
127918,4263.9,-45.83929285911425
127919,4263.933333333333,-47.64598183084446
127920,4263.966666666666,-43.62219180125229
127921,4264,-43.62219180125229
127922,4264.033333333333,-42.219778769803696
127923,4264.066666666667,-42.78267412312442
127924,4264.1,-42.56358752568444
127925,4264.133333333333,-43.48631185050212
127926,4264.166666666667,-43.540829725909546
127927,4264.2,-42.73632697262891
127928,4264.233333333334,-42.46950726602483
127929,4264.266666666666,-43.82008506058149
127930,4264.3,-43.58136068181681
127931,4264.333333333333,-47.41189841003662
127932,4264.366666666667,-43.65565816762154
127933,4264.4,-47.41189841003662
127934,4264.433333333333,-44.23271891592051
127935,4264.466666666666,-44.87838398547446
127936,4264.5,-44.72739149455516
127937,4264.533333333333,-44.270643172383025
127938,4264.566666666667,-44.270643172383025
127939,4264.6,-48.14479763328945
127940,4264.633333333333,-44.72739149455516
127941,4264.666666666667,-44.377581920290886
127942,4264.7,-44.42422786587758
127943,4264.733333333334,-43.00266229010967
