"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","capture-0001.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 "
5622,187.36666666666667,-8.453407515754323,-6.349792276622443
5623,187.4,-7.325784510111579,-6.534623450430973
5624,187.43333333333334,-8.119054759542172,,1.2674789600293126
5625,187.46666666666667,-8.11905475954305,,2.4888533371820203
5626,187.5,-8.633667198556509,,3.1567849118783
5627,187.53333333333333,-9.304442843833321,,8.065719071197883
5628,187.56666666666666,-9.304442843833321,,-0.695074026050405
5629,187.6,-8.54183696267625,,13.83169814052108
5630,187.63333333333333,-8.54183696267625,,14.732080765059639
5631,187.66666666666666,-8.54183696267625,,7.337077546100593
5632,187.7,-8.19905226007744,,11.411091063561924
5633,187.73333333333332,-8.19665462858979,,7.885819108693607
5634,187.76666666666665,-7.112279323733977,,7.807635921064519
5635,187.8,-8.404304336778218,,7.978317489440796
5636,187.83333333333334,-8.404304336778374,,8.156717247909294
5637,187.86666666666667,-8.683486649691385,,8.539372867926385
5638,187.9,-8.683486649690536,,9.658023065335477
5639,187.93333333333334,-8.683486649691385,,8.695747041415482
5640,187.96666666666667,-8.683486649690536,,5.482746126413157
5641,188,-8.633667198556509,,5.537799183321552
5642,188.03333333333333,-7.96603868753729,,9.002819357571632
5643,188.06666666666666,-9.18001927681021,,7.539952975792418
5644,188.1,-9.180019276810324,,10.628500620343548
5645,188.13333333333333,-8.657700176549582,,17.101035972945382
5646,188.16666666666666,-8.71959768867193,,21.55545776719212
5647,188.2,-8.715017413756069,,31.97514899241937
5648,188.23333333333332,-8.493425995185612,,37.073230456574905
5649,188.26666666666665,-10.126908826061376,,33.25220656122739
5650,188.3,-8.184565416422698,,9.853164510247062
5651,188.33333333333334,-6.240869488878993,,29.40780761706926
5652,188.36666666666667,-8.42908658157352,,25.442162288656004
5653,188.4,-8.535787261531015,,19.623684945112046
5654,188.43333333333334,-8.61587633036599,,21.301247102933374
5655,188.46666666666667,-8.106537947373356,,19.31949411399609
5656,188.5,-8.106537947374242,,12.274725357629615
5657,188.53333333333333,-8.106537947373356,,-4.584379592709163
5658,188.56666666666666,-8.98544354509741,,-11.007503723769872
5659,188.6,-8.86790747265381,,-23.29161048739239
5660,188.63333333333333,-6.5190305175987575,,-38.71173421317134
5661,188.66666666666666,-7.495674479158744,,-49.231163790677265
5662,188.7,-5.897577026347617,,-69.83798324816854
5663,188.73333333333332,-7.564791253120524,,-87.23208743900413
5664,188.76666666666665,-7.9660386875379805,,-88.08725195627936
5665,188.8,-9.239369567253812,,-85.33056668130789
5666,188.83333333333334,-6.265840108317146,,-82.28366409927476
5667,188.86666666666667,-8.018887945407442,,-64.2120627792327
5668,188.9,-7.835187355035263,,-58.3272943508036
5669,188.93333333333334,-8.778114297836906,,-58.22600077346614
5670,188.96666666666667,-7.835187355035263,,-67.40777442866217
5671,189,-7.195207055407838,,-59.96588965929703
5672,189.03333333333333,-7.195207055407838,,-49.20358417441497
5673,189.06666666666666,-7.195207055407838,,-58.707628026469436
5674,189.1,-7.195207055407679,,-57.28224908965301
5675,189.13333333333333,-7.195207055407838,,-71.00388898260468
5676,189.16666666666666,-7.195207055407679,,-48.58148942323753
5677,189.2,-7.949225830171299,,-45.432427385659004
5678,189.23333333333332,-7.195207055407679,,-47.3679461874406
5679,189.26666666666665,-7.195207055407838,,-40.36607625850055
5680,189.3,-7.195207055407679,,-56.82764029669677
5681,189.33333333333334,-8.633667198555825,,-41.51285306440259
5682,189.36666666666667,-8.633667198555825,,-39.521882869913256
5683,189.4,-8.633667198555825,,-44.62407581119125
5684,189.43333333333334,-8.633667198556509,,-48.95858867257984
5685,189.46666666666667,-8.633667198555825,,-66.79331032116002
5686,189.5,-8.080605376495175,,-47.439949775623845
5687,189.53333333333333,-7.835187355035263,,-41.56085268073141
5688,189.56666666666666,-7.833163728910952,,-75.39254905246263
5689,189.6,-7.3091101950700335,,-76.38126500854823
5690,189.63333333333333,-9.264966312622187,,-75.62799219917252
5691,189.66666666666666,-9.264966312622187,,-56.26925398673263
5692,189.7,-7.833163728910952,,-57.299645110383565
5693,189.73333333333332,-7.613754139605119,,-104.49973873025269
5694,189.76666666666665,-7.613754139605119,,-140.74631569027042
5695,189.8,-7.613754139605119,,-140.21291164065184
5696,189.83333333333334,-7.010645540866045,,-151.94110012031538
5697,189.86666666666667,-7.833163728910952,,-107.04311470159159
5698,189.9,-8.240568178028694,,-109.01176351427272
5699,189.93333333333334,-7.854922720864003,,-116.11147810845621
5700,189.96666666666667,-8.362437575929281,,-122.28636423141796
