"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 ","17 "
75077,2502.5333333333333,-7.824339594241516,-80.6100557163488
75078,2502.5666666666666,,-60.24899878290587,-1.6835526321449863
75079,2502.6,,-36.30818933762015,-1.8818464579255088
75080,2502.633333333333,,3.26958936948451,-3.3539111362287346
75081,2502.6666666666665,,50.016618722444555,-3.0200084962860805
75082,2502.7,,71.69177623942585,-3.377963586705226
75083,2502.733333333333,,85.48398540164848,-3.132709643207147
75084,2502.7666666666664,,98.0340216591382,-4.236743450698597
75085,2502.8,,113.524706349073,-2.728368818695673
75086,2502.8333333333335,,114.87063387466654,-3.5551131707497703
75087,2502.866666666667,,96.9426426391314,-2.859285663033785
75088,2502.9,,62.39372221915792,-2.924060599019165
75089,2502.9333333333334,,20.725666911025534,-2.7851852822169665
75090,2502.9666666666667,,-3.7064447540454517,-2.596429743130592
75091,2503,,-39.16428081777699,-8.24560456083549
75092,2503.0333333333333,,-71.91939851923492,-4.434366762677479
75093,2503.0666666666666,,-89.93544196190585,-4.6126172965710905
75094,2503.1,,-104.71818497236377,-6.1172828519547355
75095,2503.133333333333,,-111.10596370199312,-4.6126172965710905
75096,2503.1666666666665,,-96.01947121457022,-6.1172828519547355
75097,2503.2,,-72.46959622133724,-6.117282851954977
75098,2503.233333333333,,-5.439045931742381,-6.117282851955168
75099,2503.2666666666664,,23.1877464130984,,-3.9873459544250807
75100,2503.3,,52.61077989344677,,-4.8291023637826545
75101,2503.3333333333335,,69.03761210440163,,-4.106764630779862
75102,2503.366666666667,,88.97093896861497,,-3.9706015511272237
75103,2503.4,,98.31321493685995,,-2.49333166270955
75104,2503.4333333333334,,106.946189779975,,-2.129205871178604
75105,2503.4666666666667,,98.47909623914427,,-3.740383116521237
75106,2503.5,,67.71447594838858,,-2.9861454039855126
75107,2503.5333333333333,,32.41412467239849,,-2.8868643162061973
75108,2503.5666666666666,,4.300225859207579,,-2.4525573689222435
75109,2503.6,,-27.733135786254458,,-4.2739092386220605
75110,2503.633333333333,,-49.485009408228095,,-2.0607204836791873
75111,2503.6666666666665,,-72.80600487703094,,-3.796196413998496
75112,2503.7,,-86.22206612963106,,-3.016413154897423
75113,2503.733333333333,,-91.0522720521516,,-3.301104500761341
75114,2503.7666666666664,,-75.88812122432886,,-3.8844851450166304
75115,2503.8,,-50.196502889385734,,-3.1221344972325915
75116,2503.8333333333335,,-5.319987957334655,,-3.4474959240151257
75117,2503.866666666667,,19.786813145649695,,-3.239111770550109
75118,2503.9,,54.73103784129652,,-4.1044169487804885
75119,2503.9333333333334,,78.6744056970135,,-3.3168656282876583
75120,2503.9666666666667,,92.92746556981808,,-2.4556329371270484
75121,2504,,96.5159367332876,,-2.3045853569888406
75122,2504.0333333333333,,83.14612148856575,,-2.7319699185063793
75123,2504.0666666666666,,71.28338381482622,,-3.291599117579803
75124,2504.1,,54.7733304399954,,-2.1969951296151917
75125,2504.133333333333,,7.031211381180715,,-2.225357668935816
75126,2504.1666666666665,,-11.596203432104247,,-3.301263207655116
75127,2504.2,,-30.015098163393912,,-5.423775344815093
75128,2504.233333333333,,-60.84999564761929,,,-1.13202945930155
75129,2504.2666666666664,,-62.57137298387748,,,-0.9322058777423041
75130,2504.3,,-72.05161257759227,,,-6.083369873603169
75131,2504.3333333333335,,-63.50461118536198,,,-6.083369873603169
75132,2504.366666666667,,-36.26112510123613,,,-5.866178725930257
75133,2504.4,,-6.793941673139846,,,-5.866178725930257,-0.42975793856478384
75134,2504.4333333333334,,30.684675095263643,,,-7.243512724682014,-0.30588664145579353
75135,2504.4666666666667,,60.23274981818525,,,-6.083369873603169,0.4826042833101983
75136,2504.5,,71.14038720624984,,,-5.948369541946016,0.3569276810963861
75137,2504.5333333333333,,81.86579035709211,,,-5.12217686964793,-0.507383064788423
75138,2504.5666666666666,,90.9813321248591,,,,0.28211225427441905,-1.9655698873099796
75139,2504.6,,89.63099135051161,,,,-0.4781081764061152,-1.1449472304391128
75140,2504.633333333333,,72.29550693013368,,,,0.924971349011801,-0.657488037905534
75141,2504.6666666666665,,43.788787595458864,,,,-0.23269331888813563,-0.8946807731164619
75142,2504.7,,20.215462263418967,,,,-0.04945198586228742,-1.0670125097852736
75143,2504.733333333333,,-8.739023251290805,,,,-0.5229326026511034,-1.0387858046814589
75144,2504.7666666666664,,-38.764744026923914,,,,-0.4235488415278451,-0.4817524707546898
75145,2504.8,,-57.54131267050314,,,,0.24629263147259814,-1.4204716655639102
75146,2504.8333333333335,,-78.69270892448812,,,,-0.895464581450164,-1.0025742064579997
75147,2504.866666666667,,-67.86867901572724,,,,-0.35299458116099985,-1.3524850882289918
75148,2504.9,,-81.8121183275038,,,,0.4022014467358142,-1.7309904673694239
75149,2504.9333333333334,,-56.93364163946349,,,,0.08921303219546974,-1.3599291100653388
75150,2504.9666666666667,,-41.847193214140376,,,,0.2404706799509631,-0.40607740998437314
75151,2505,,4.95459474926186,,,,0.2955976797097016,-3.720910519552601
75152,2505.0333333333333,,43.36886435802293,,,,-0.0145348103541017,-4.723672564260305
75153,2505.0666666666666,,64.45900783553923,,,,0.0036956855474476456,-4.395430480034178
75154,2505.1,,83.03592062272129,,,,1.3831710131612485,-4.5134669862364145
75155,2505.133333333333,,83.67903276729466,,,,-0.38676916099690384,-3.075901768572963
75156,2505.1666666666665,,68.52128169753806,,,,0.6225038441471878,-4.360315966396425
75157,2505.2,,52.684316857459606,,,,-0.7033524848838487,-3.502623720746112
75158,2505.233333333333,,20.894818154727744,,,,-1.1617210213133078,-3.145791548098687
75159,2505.2666666666664,,-1.2934235917140826,,,,-1.1194732937387004,-2.3833754356083556
75160,2505.3,,-33.16498861985765,,,,0.011261820444853745,-3.173827777956616
75161,2505.3333333333335,,-61.6460761052901,,,,-1.0421375953330723,-3.8561658643633225
75162,2505.366666666667,,-76.26096334220303,,,,-0.5965798249913424,-3.1580653270240395
75163,2505.4,,-90.13153650584266,,,,0.7418126773667584,-3.700920748275209
75164,2505.4333333333334,,-82.88312110602841,,,,-0.026218443854846077,-3.064711844435136
75165,2505.4666666666667,,-68.24506054942744,,,,-0.2895033361553578,-2.1666143514142098
75166,2505.5,,-59.18116946171253,,,,0.4785190460983795,-4.273184052403367
75167,2505.5333333333333,,-26.167753518023584,,,,-0.7649557424266803,-3.353024228575826
75168,2505.5666666666666,,-0.18195596807336373,,,,-2.7723590567243,-5.495246191684614
75169,2505.6,,37.033784977323485,,,,-0.4202907736071944,-10.067051153647089
75170,2505.633333333333,,55.59147051331733,,,,-1.300771819811599,-10.067051153647089
75171,2505.6666666666665,,88.59102947207198,,,,-0.5489430823200175,-2.952063566446776
75172,2505.7,,94.26455965952083,,,,-0.4326017475620163,-3.0424995130565486
75173,2505.733333333333,,90.87818846989933,,,,-0.8387456985071078,-5.012521759725107
75174,2505.7666666666664,,80.81936337081997,,,,-1.0940838805673352,-5.010971619516376
75175,2505.8,,44.385649381646324,,,,-2.7978868163498722,-5.4165006526656745
75176,2505.8333333333335,,24.25824908025384,,,,-1.0916941255356567,-5.010823864548343
75177,2505.866666666667,,7.107397510009911,,,,-1.065931691320572,-4.7877754969066
75178,2505.9,,-27.185826162484105,,,,-1.618694342714707,-4.69895116745056
75179,2505.9333333333334,,-52.71953119716907,,,,-3.2822191071454814,-4.767675303295741
75180,2505.9666666666667,,-70.62658612992293,,,,-1.2226023892400708,-7.152343494358306
75181,2506,,-81.90218327519038,,,,-1.363821393183414,-6.83009162396593
75182,2506.0333333333333,,-80.6472318200757,,,,-1.32734286647231,-6.667576608856528
75183,2506.0666666666666,,-57.358024740430764,,,,-1.5935470512393688,-7.058222357310376
75184,2506.1,,-31.888325999120084,,,,-1.3713224695021629,-6.470997774144181
