"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","06-Oct-25.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 "
155666,5188.833333333333,-57.59891110810627,,4.322728300231914
155667,5188.866666666667,-57.1714363547328,,4.693623173845731
155668,5188.9,-57.449220055785496,,5.548119600040718
155669,5188.933333333333,-62.4808616183909,,5.505055082912029
155670,5188.966666666666,-61.042428650119014,,5.457518310738216
155671,5189,-60.67292705481355,,6.55810989245853
155672,5189.033333333333,-60.946548782404655,,4.070492646902065
155673,5189.066666666667,-57.60186144713518,,5.067804801085997
155674,5189.1,-58.709484722974224,,6.027907226868655
155675,5189.133333333333,-59.418777987969214,,5.69313446591395
155676,5189.166666666667,-58.22204816722006,,7.7507331097534715
155677,5189.2,-58.22204816722006,,7.905513628621938
155678,5189.233333333334,-54.32930273025306,,7.454254348988586
155679,5189.266666666666,-55.880146397505186,,7.75206268591181
155680,5189.3,-55.59903465226727,,6.747122541205781
155681,5189.333333333333,-53.66546587593764,,7.064924425682497
155682,5189.366666666667,-53.66546587593764,,6.732782683930872
155683,5189.4,-53.58305633646215,,2.8777846488747008
155684,5189.433333333333,-53.58305633646215,,2.686468090131181
155685,5189.466666666666,-53.58305633646215,,3.0187337687202898
155686,5189.5,-53.58305633646215,,3.222979938973876
155687,5189.533333333333,-53.58305633646215,2.296832051638803,2.2626872272029366
155688,5189.566666666667,-53.58305633646215,1.4519926580389795,3.8639931094517395
155689,5189.6,-53.58305633646215,1.5667305949776387,3.247203200652844
155690,5189.633333333333,-53.58305633646215,1.74374330263839,1.9639058307259059
155691,5189.666666666667,-53.58305633646215,1.7928887512232121,3.668222253854512
155692,5189.7,-53.58305633646215,1.2944027882727422,2.51057348549835
155693,5189.733333333334,-53.58305633646215,1.9505017637118427,3.036814370957943
155694,5189.766666666666,-53.58305633646215,1.4081822537855695,3.0033273722084446
155695,5189.8,-53.58305633646215,2.285204396904172,1.8588006713388217
155696,5189.833333333333,-53.58305633646215,1.1679328906958104,2.3980570625565663
