"Worm Data","Position (um) of Centroid"
"Sequence","capture-0001.avi"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y"
164455,5481.8,2038.4850305105808,1453.3491859777014,1853.713604249336,1361.2074106298824
164456,5481.833333333333,2038.6161724728036,1453.1411622319495,1853.0483130585933,1362.9184928245236
164457,5481.866666666667,2038.587939401231,1453.1814690765682,1853.0620475738733,1362.961371872763
164458,5481.9,2038.4597778861123,1453.2967590668266,1853.128968368167,1363.0006683081729
164459,5481.933333333333,2038.541816623455,1453.2489849946264,1853.1471994141098,1363.0168190071854
164460,5481.966666666666,2038.7320057665409,1453.5049189620204,1854.0695657706804,1361.1624531352613
164461,5482,2038.3882133911954,1453.4410554636054,1854.1284275215799,1361.185380352777
164462,5482.033333333333,2038.0907670958957,1454.0454572706308,1853.7340750786386,1361.7574508266082
164463,5482.066666666667,2038.0761922359443,1454.1023545057599,1853.4515810220432,1361.6305624367376
164464,5482.1,2038.5116612666268,1453.9255542172045,1853.806077268555,1361.2605923304598
164465,5482.133333333333,2038.2580696274435,1454.5456049091854,1853.8288092154812,1361.2777848331234
164466,5482.166666666667,2037.8648153208412,1454.296710335826,1853.6429545500896,1361.9954038832366
164467,5482.2,2037.6907360422654,1454.7591386327053,1853.8213039108596,1361.2895436828112
164468,5482.233333333334,2038.0471097736931,1453.9280769840825,1853.5094216366215,1361.9484557614808
164469,5482.266666666666,2038.1482890986565,1453.828563098013,1853.5827118851134,1361.9812338357883
164470,5482.3,2038.0954512357357,1453.7359846800339,1853.5769732270655,1361.9809867912832
164471,5482.333333333333,2038.0535344730424,1453.8365585154393,1853.5801816811997,1361.9859401888357
164472,5482.366666666667,2038.1397353005489,1453.7682974407746,1854.0265730830806,1361.3900232341653
164473,5482.4,2038.427376534941,1453.3956582019732,1853.7386820868705,1362.0416082834718
164474,5482.433333333333,2038.1196070879778,1453.923136775902,1852.9780892851875,1363.2784233348016
164475,5482.466666666666,2038.1003131329494,1453.9306509225466,1853.4447249863856,1362.7068570659821
164476,5482.5,2038.1116733566942,1453.914060996416,1853.0507971445918,1363.3354916242693
164477,5482.533333333333,2037.9513655577257,1453.8258234251603,1853.300106182817,1362.653807401077
164478,5482.566666666667,2038.0240441316198,1453.5574089911543,1852.9896029694037,1363.3088709893918
164479,5482.6,2037.9134430392012,1453.6765554507572,1853.0095092481888,1363.3133118158594
164480,5482.633333333333,2037.704489662343,1454.0569543319732,1853.049374754914,1363.3352905118427
164481,5482.666666666667,2037.7634670859948,1453.909425098594,1853.4224466136207,1362.7086183855822
164482,5482.7,2037.7981077410666,1453.5801434635882,1853.877713277313,1362.127655421178
164483,5482.733333333334,2037.9145780349252,1453.63930454296,1852.7795388207583,1363.993880973654
164484,5482.766666666666,2037.8549831669152,1453.8242344106031,1852.0178705760936,1365.2234284428716
164485,5482.8,2037.9626505731883,1453.586876507948,1852.4918400688136,1364.65941741269
164486,5482.833333333333,2038.165284530264,1453.3969462784366,1853.1229227143988,1363.3336157686722
164487,5482.866666666667,2037.9398241085225,1453.3963711461015,1853.3404892094075,1362.6253863007864
164488,5482.9,2037.6590675927023,1453.8818883666509,1853.7226719309058,1362.0049747877163
164489,5482.933333333333,2037.7601989803366,1453.6823485082614,1853.6071716632866,1361.9569878847415
164490,5482.966666666666,2037.886148304754,1453.593535390404,1853.791892644032,1361.2502083602776
164491,5483,2037.6479156345931,1454.0104867479583,1853.999873760925,1361.3431252455403
