"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","capture-0011.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 "
7373,245.73333333333332,131.82485969873693
7374,245.76666666666665,,113.30347507680409
7375,245.79999999999998,,122.75063416747776
7376,245.83333333333334,,124.69249997065337
7377,245.86666666666667,,121.1439537605494
7378,245.9,,99.94556711399413
7379,245.93333333333334,,54.701919900794394
7380,245.96666666666667,,20.065494614350865
7381,246,,-79.96321720791846
7382,246.03333333333333,,-143.1001107271509
7383,246.06666666666666,,-147.07609180197684
7384,246.1,,-147.92576176494288
7385,246.13333333333333,,-147.09177898422504
7386,246.16666666666666,,-147.9627209109396
7387,246.2,,-148.68014882418507
7388,246.23333333333332,,-146.18600467071457
7389,246.26666666666665,,-145.35388256243775
7390,246.29999999999998,,-144.14249522986174
7391,246.33333333333334,,-148.41082250546776
7392,246.36666666666667,,-152.20684560905627
7393,246.4,,-155.62237460805687
7394,246.43333333333334,,-154.9599289725029
7395,246.46666666666667,,-157.76010467576862
7396,246.5,,-157.00084527351265
7397,246.53333333333333,,-156.63893737816323
7398,246.56666666666666,,-167.5905562466425
7399,246.6,,-168.51141555516122
7400,246.63333333333333,,-166.99674035720173
7401,246.66666666666666,,-164.91035996289222
7402,246.7,,-173.28884923220076
7403,246.73333333333332,,172.8593883597195
7404,246.76666666666665,,175.17855744180014
7405,246.79999999999998,,-178.9665411316482
7406,246.83333333333334,,178.8527929728316
7407,246.86666666666667,,-178.65995335450592
7408,246.9,,179.46407055365736
7409,246.93333333333334,,-176.00282357695164
7410,246.96666666666667,,-174.65728594961155
7411,247,,-172.93234289912797
7412,247.03333333333333,,-167.81544149995608
7413,247.06666666666666,,-162.80896564756668
7414,247.1,,-171.46802192265727
7415,247.13333333333333,,-169.17054840955208
7416,247.16666666666666,,-123.1814329595759
7417,247.2,,-166.1796342413234
7418,247.23333333333332,,-156.45403307032853
7419,247.26666666666665,,-153.7904270565771
7420,247.29999999999998,,-167.3659668242014
7421,247.33333333333334,,-156.72639604524574
7422,247.36666666666667,,-124.35046330818913
7423,247.4,,-127.45745162040821
7424,247.43333333333334,,-130.42100557719357
7425,247.46666666666667,,-106.13502978508554
7426,247.5,,-84.48531009833687
7427,247.53333333333333,,-34.98792817787113
7428,247.56666666666666,,-27.24387666242625
7429,247.6,,-3.0043898768572554
7430,247.63333333333333,,-1.0384079317038566
7431,247.66666666666666,,-19.624115394859107
7432,247.7,,-41.873786874193335
7433,247.73333333333332,,-55.59857703333041
7434,247.76666666666665,,-71.97248525159567
7435,247.79999999999998,,-112.59319075882932
7436,247.83333333333334,,-101.51066877180006
7437,247.86666666666667,,-130.7573847918947
7438,247.9,,-149.12508776011518
7439,247.93333333333334,,-155.4146608843175
7440,247.96666666666667,,-161.7923156945511
7441,248,,-174.19141998033388
7442,248.03333333333333,,-174.347384065895
