"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","capture-0011.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 ","17 ","18 ","19 ","20 ","21 ","22 ","23 ","24 ","25 ","26 ","27 ","28 ","29 ","30 ","31 ","32 ","33 ","34 ","35 ","36 ","37 ","38 ","39 ","40 ","41 ","42 ","43 ","44 ","45 ","46 ","47 ","48 ","49 ","50 ","51 ","52 ","53 ","54 ","55 ","56 ","57 ","58 ","59 ","60 ","61 ","62 ","63 ","64 ","65 ","66 ","67 ","68 ","69 ","70 ","71 ","72 ","73 ","74 ","75 ","76 ","77 ","78 ","79 ","80 ","81 ","82 ","83 ","84 ","85 ","86 ","87 ","88 ","89 ","90 ","91 ","92 ","93 ","94 ","95 ","96 ","97 ","98 ","99 ","100 ","101 ","102 ","103 ","104 ","105 ","106 ","107 ","108 ","109 ","110 ","111 ","112 ","113 ","114 ","115 ","116 ","117 ","118 ","119 ","120 ","121 ","122 ","123 ","124 ","125 ","126 ","127 ","128 "
166094,5536.433333333333,32.99799531624078,-11.221040163305506,0.6287668603011553
166095,5536.466666666666,33.34336941071652,-11.221040163303924,2.194034795280233
166096,5536.5,31.03315755999867,-11.221040163303924,3.5650873582904756
166097,5536.533333333333,31.859968026650602,,2.1809673885597913,12.908968773953799
166098,5536.566666666667,31.859968026650602,,3.4295429575085716,4.895490961173889
166099,5536.6,31.791177639386923,,2.4873492530563563,3.552605904959032
166100,5536.633333333333,32.76341762167451,,2.487349253056,4.678405118396603
166101,5536.666666666667,31.380906118839953,,5.555917651539581,13.067146435979954
166102,5536.7,31.204739826821445,,5.566866615811226,5.315886335525565
166103,5536.733333333334,31.380906118839953,,5.566866615811964,6.594964367286169
166104,5536.766666666666,26.72118151976337,,-3.924227726539384,4.366664589341671
166105,5536.8,26.721181519763732,,-3.8305493360810736,4.648479659719417
166106,5536.833333333333,25.008194201875458,,5.2141874600136005,3.581081721693871
166107,5536.866666666667,27.063075073018908,,3.4295429575085716,5.174112617669942
166108,5536.9,28.790822734867355,,3.4295429575085716,4.941933982362798
166109,5536.933333333333,27.88379872829772,,3.4295429575085716,4.490578913468155
166110,5536.966666666666,27.665892743609348,,3.4295429575085716,4.387113586451684
166111,5537,28.101839935124143,,3.4295429575085716,2.005623735769775
166112,5537.033333333333,25.871422850622434,,3.4295429575085716,13.067146435979954
166113,5537.066666666667,23.58459877333847,,28.45093482450634,13.067146435979954
166114,5537.1,24.914930806237926,,3.429542957506943,13.06714643598204
166115,5537.133333333333,24.983806972437225,,28.45093482452326,13.067146435981913
166116,5537.166666666667,20.79692679714858,,3.4295429575085716,13.067146435979954
166117,5537.2,20.50054121577208,,3.4295429575085716,13.06714643598204
166118,5537.233333333334,20.500541215772742,,2.792760856078586,5.523523270791133
166119,5537.266666666666,21.601021350375508,,6.0314326911438965,4.965042824189821
166120,5537.3,20.69018929274395,,8.563659474299097,5.294482724140109
166121,5537.333333333333,18.785210589531236,,9.745940932498803,5.088805689210578
166122,5537.366666666667,14.87110034872331,,17.402558575364342,2.2641000070326314
166123,5537.4,15.536624842637957,,2.487349253056,2.0056237357977382
166124,5537.433333333333,18.44382023588949,,2.4873492530563563,13.06714643598204
166125,5537.466666666666,10.239883419136726,,3.429542957508724,13.102057052517551
166126,5537.5,5.828841751140623,,2.792760856078586,12.908968773953825
166127,5537.533333333333,4.484881633788946,,2.7927608560784334,,-11.552434090288676
166128,5537.566666666667,2.602722344698758,,2.792760856078586,,-11.552434090288676
166129,5537.6,2.7513801595069056,,1.9383139671015468,,-11.221040163303924
166130,5537.633333333333,2.4566992388750726,,2.747441734553855,,-11.221040163303924
166131,5537.666666666667,4.391262234160217,,5.748892625500046,,-11.221040163303924
166132,5537.7,5.018698638003394,,3.9533061536437484,,-11.899019386477727
166133,5537.733333333334,3.1556861257346296,,3.9533061536437484,,-3.9648961139709926
166134,5537.766666666666,3.155686125735355,,3.9533061536437484,,-12.975982593991949
166135,5537.8,1.9347222147606293,,3.9533061536437484,,-12.97598259399193
166136,5537.833333333333,2.1556234981927886,,5.683899820276177,,-12.975982593993105
166137,5537.866666666667,0.7795446893318387,,5.748892625500046,,,-11.221040163303924
166138,5537.9,-2.471423944151224,,5.214187460013524,,,-11.221040163303924
166139,5537.933333333333,-2.2516184327057247,,2.487349253056,,,-11.221040163303924
166140,5537.966666666666,-3.4035594496899724,,2.4873492530563563,,,-0.704854575550341
166141,5538,-2.9466879226400677,,2.487349253056,,,-0.894441156294015
166142,5538.033333333333,-3.6122113191989134,,5.214187460013524,,,-11.221040163303924
166143,5538.066666666667,-0.18159397720584297,,4.645042601855303,,,-6.421922761125487
166144,5538.1,1.3638799039358538,,4.645042601855252,,,-11.221040163303027
166145,5538.133333333333,-1.26992802641361,,4.645042601855303,,,-11.221040163303027
166146,5538.166666666667,-3.998105851942121,,4.645042601854387,,,-11.221040163303924
166147,5538.2,17.690296548890366,,4.645042601855303,,,-11.221040163303924
166148,5538.233333333334,15.585941275129773,,4.645042601854387,,,-11.221040163303924
166149,5538.266666666666,13.868672678261174,,1.5164219984195018,,,-11.221040163303027
166150,5538.3,13.578431366197247,,2.4769370261456367,,,-2.188734299894164
166151,5538.333333333333,16.814267022688313,,0.5951922000538973,,,-1.1348526261157066
166152,5538.366666666667,15.557408809909447,,1.5263714639589712,,,-0.6192955455769867
166153,5538.4,7.891463517607823,,1.9383139671015468,,,-11.55243409028776
166154,5538.433333333333,5.362892940438043,,,,,-5.145916289189758,28.45093482450634
166155,5538.466666666666,-0.9238934461902456,,,,,-11.221040163303924,3.429542957506943
166156,5538.5,4.421241177230754,,,,,-11.221040163303924,3.4295429575085716
166157,5538.533333333333,-6.560685187624424,,,,,-11.552434090288676,3.429542957506943
166158,5538.566666666667,10.007189616652006,,,,,-11.55243409028776,3.4295429575085716
166159,5538.6,18.337979286947274,,,,,-11.552434090288676,3.429542957506943
166160,5538.633333333333,27.1636295347833,,,,,-9.421159975954565,3.4295429575085716
166161,5538.666666666667,6.092901696738279,,,,,-11.552434090288676,3.429542957506943
166162,5538.7,-15.033100928835445,,,,,-11.55243409028776,3.4295429575085716
166163,5538.733333333334,-16.46029567154984,,,,,-11.552434090288676,3.429542957506943
166164,5538.766666666666,-10.07072317013545,,,,,-11.55243409028776,4.338290014201529
166165,5538.8,-12.436901821455649,,,,,-11.221040163303924,3.429542957508724
166166,5538.833333333333,-12.499007354285743,,,,,-11.221040163303924,4.338290014201529
166167,5538.866666666667,-8.838253437079363,,,,,-11.221040163303924,2.7474417345545925
166168,5538.9,-7.901596365526595,,,,,-11.221040163303924,3.9533061536437484
166169,5538.933333333333,-8.179661106840534,,,,,-11.221040163303924,5.214187460012608
166170,5538.966666666666,-9.025076089077047,,,,,-11.221040163303027,5.214187460013524
166171,5539,-9.929325759389025,,,,,-11.899019386477722,2.487349253056916
166172,5539.033333333333,-8.913936200477899,,,,,-11.221040163303027,2.4873492530563563
166173,5539.066666666667,-12.968426898177801,,,,,-11.221040163303924,2.487349253056916
166174,5539.1,-11.497245547988847,,,,,-11.221040163303027,2.487349253056916
166175,5539.133333333333,-12.554349558443098,,,,,-11.221040163303027,2.4873492530563563
166176,5539.166666666667,-11.587201290302112,,,,,-11.221040163303924,2.487349253056916
