"Worm Data","Position (um) of Centroid"
"Sequence","capture-0001.avi"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y"
77184,2572.7666666666664,1495.8571529680012,501.2450754210149
77185,2572.8,,,1495.304024878681,502.4189672812231
77186,2572.8333333333335,,,1495.6735292425262,501.5760166011073
77187,2572.866666666667,,,1495.6732878183527,502.1585348909691
77188,2572.9,,,1495.9522184859477,501.93784236496344
77189,2572.9333333333334,,,1496.021272315619,503.0149682276085
77190,2572.9666666666667,,,1496.213072394053,502.54186724858073
77191,2573,,,1496.438015053734,503.3202637461493
77192,2573.0333333333333,,,1496.8866465172719,503.2980609949416
77193,2573.0666666666666,,,1496.9712033402197,504.0618537696839
77194,2573.1,,,1497.4190351198488,503.7037560057993
77195,2573.133333333333,,,1497.8741062010909,503.8261669693793
77196,2573.1666666666665,,,1498.1354789942443,504.21965916632394
77197,2573.2,,,1498.190950920924,504.6041281094231
77198,2573.233333333333,,,1498.794087622642,504.04168816758965
77199,2573.2666666666664,,,1499.1040691328396,504.23069213093436
77200,2573.3,,,1499.5110601832125,503.5504747708294
77201,2573.3333333333335,,,1499.536591255144,503.56365174213124
77202,2573.366666666667,,,1499.393934960042,504.3805807698534
77203,2573.4,,,1499.6700183713785,504.0906630675729
77204,2573.4333333333334,,,1499.9172201645615,504.245895891848
77205,2573.4666666666667,,,1499.7347449531312,504.61400722827375
77206,2573.5,,,1499.205313815677,505.2044235305734
77207,2573.5333333333333,,,1499.4892133470432,504.92852238935734
77208,2573.5666666666666,,,1499.5013144768325,504.94283511682397
77209,2573.6,,,1498.933839746379,505.4983769434748
77210,2573.633333333333,,,1499.205406259916,505.20817645219563
77211,2573.6666666666665,,,1498.9512831452648,505.51676942838503
77212,2573.7,,,1499.2252372249009,505.2311761995343
77213,2573.733333333333,,,1499.4348409514098,505.4686748766085
77214,2573.7666666666664,,,1499.1724397757052,505.7661139769061
77215,2573.8,,,1499.4596040786455,505.4907643252566
77216,2573.8333333333335,,,1500.3402305041857,504.69770508124043
77217,2573.866666666667,,,1500.5329124267525,504.35303769802636
77218,2573.9,,,1498.1988714874215,507.24349985515937
77219,2573.9333333333334,,,1498.149752247298,507.3422993251313
77220,2573.9666666666667,,,1497.977843123597,507.3248578871269
77221,2574,,,1498.2575625817676,507.3054594697253
77222,2574.0333333333333,,,1497.9725100141964,507.3996498980223
77223,2574.0666666666666,,,1497.9744772269341,507.3742554832206
77224,2574.1,,,1497.9365559664607,507.3743091102797
77225,2574.133333333333,,,1496.886937416475,507.4651900440572
77226,2574.1666666666665,,,1496.27726830799,507.7355349952245
77227,2574.2,,,1495.9685634678299,507.24501622197135
77228,2574.233333333333,,,1495.5739402161557,506.9818203158359
77229,2574.2666666666664,,,1495.4917674057513,506.55396892482236
77230,2574.3,,,1495.9467182172746,506.0105666828101
77231,2574.3333333333335,,,1496.293258584672,505.6237971286698
77232,2574.366666666667,,,1496.0577829849608,505.52290993419706
77233,2574.4,,,1496.0321926821068,505.28523775924214
77234,2574.4333333333334,,,1496.0625494160236,505.3825258933523
77235,2574.4666666666667,,,1496.0311516894826,505.8235887523697
77236,2574.5,,,1495.7782554863643,506.73148338120404
77237,2574.5333333333333,,,1496.0929584720925,507.02307953572654
77238,2574.5666666666666,,,1496.1218844169935,507.9456097209875
77239,2574.6,,,1496.1507353657714,508.8453445813832
77240,2574.633333333333,,,1496.2558661473247,509.54235192646934
77241,2574.6666666666665,,,1496.3695461490786,510.1751321315078
77242,2574.7,,,1496.1129583993622,511.2850228428508
77243,2574.733333333333,,,1495.7894090726825,511.841579485435
77244,2574.7666666666664,,,1496.1240284993594,512.4002130270792
77245,2574.8,,,1496.5731439550857,512.2901790456506
77246,2574.8333333333335,,,1496.719021014073,512.5660132113355
77247,2574.866666666667,,,1496.322493991335,513.0360079698139
77248,2574.9,,,1496.1914147825648,512.7840138599395
77249,2574.9333333333334,,,1496.4662754952674,512.0358854965782
77250,2574.9666666666667,,,1496.1170832019923,510.9309605767769
77251,2575,,,1497.2582062066015,510.37978035421247
77252,2575.0333333333333,,,1495.6850576892848,509.8483808415094
77253,2575.0666666666666,,,1494.9474645745122,508.96060974560123
77254,2575.1,,,1494.5972732241612,507.90707070434405
77255,2575.133333333333,,,1493.0458406663356,506.663172245979
77256,2575.1666666666665,,,1493.6914106016195,505.4835174916568
77257,2575.2,,,1493.6829021366877,504.88454143817376
77258,2575.233333333333,,,1494.3978599564302,504.0909526877397
77259,2575.2666666666664,,,1493.3278190000517,504.807201314796
77260,2575.3,,,1494.0583241857134,505.1310886877259
77261,2575.3333333333335,,,1493.1607298544614,506.3550546139411
77262,2575.366666666667,,,1492.4924101765494,507.77430535992335
77263,2575.4,,,1492.69979516596,508.73426579878355
77264,2575.4333333333334,,,1491.775892392592,510.15756509530297
77265,2575.4666666666667,,,1491.5223626235124,511.12692311253136
77266,2575.5,,,1491.7511551617913,511.74880820692215
77267,2575.5333333333333,,,1490.694959210627,512.197288032784
77268,2575.5666666666666,,,1490.6157863541605,512.8215665706023
77269,2575.6,,,1489.9496057266917,513.3307413108732
77270,2575.633333333333,,,1489.7573393250118,513.3910052017457
77271,2575.6666666666665,,,1490.0631696529915,513.0986267579233
77272,2575.7,,,1490.6845191893665,512.8103761698032
77273,2575.733333333333,,,1491.17642048637,512.3313820866997
77274,2575.7666666666664,,,1490.5425570048737,510.9381923276253
77275,2575.8,,,1489.7926383520403,509.8613554524841
77276,2575.8333333333335,,,1490.2457563593298,509.18068567530554
