"Worm Data","Position (um) of Centroid"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 x","1 y"
73849,2461.6,1535.4525420113325,1449.6392185348743
73850,2461.633333333333,1535.586662231204,1449.588839317319
73851,2461.6666666666665,1534.8150152302933,1448.5311480666505
73852,2461.7,1534.8150152302933,1448.5311480666505
73853,2461.733333333333,1534.756062552994,1448.5001126805835
73854,2461.7666666666664,1534.7467817045406,1448.4927512737845
73855,2461.8,1534.7501230287005,1448.442654136174
73856,2461.8333333333335,1534.737331027484,1448.4362947282502
73857,2461.866666666667,1535.004205518691,1448.902372429884
73858,2461.9,1534.9642002531575,1448.853827693125
73859,2461.9333333333334,1534.8002294591195,1448.5743700415112
73860,2461.9666666666667,1534.8002294591195,1448.5743700415112
73861,2462,1534.7973735358826,1448.5759266850596
73862,2462.0333333333333,1534.787467353773,1448.516257584357
73863,2462.0666666666666,1534.7495678367884,1448.4904786022848
73864,2462.1,1535.0177136082004,1448.843326590565
73865,2462.133333333333,1535.001319237471,1448.9332832444147
73866,2462.1666666666665,1534.9955438104962,1448.9153399124298
73867,2462.2,1534.7587831397736,1448.4977830019402
73868,2462.233333333333,1534.756062552994,1448.5001126805835
73869,2462.2666666666664,1534.737331027484,1448.4362947282502
73870,2462.3,1534.729552947408,1448.4932462717538
73871,2462.3333333333335,1534.7495678367884,1448.4904786022848
73872,2462.366666666667,1534.7811799546253,1448.5386131141227
73873,2462.4,1534.8433056076692,1448.561261261682
73874,2462.4333333333334,1534.8883831361582,1448.563066359395
73875,2462.4666666666667,1534.7495678367884,1448.4904786022848
73876,2462.5,1535.016300674328,1448.9571020900698
73877,2462.5333333333333,1534.9973877799325,1448.9054025260402
73878,2462.5666666666666,1534.7595812778661,1448.4672902603438
73879,2462.6,1535.391976287084,1449.6099376461048
73880,2462.633333333333,1535.4563569167797,1449.6883448252593
73881,2462.6666666666665,1535.4525420113325,1449.6392185348743
73882,2462.7,1535.4487798717907,1449.6335591069524
73883,2462.733333333333,1534.8815722134439,1448.6496134454546
73884,2462.7666666666664,1535.613879638983,1450.146557199408
73885,2462.8,1535.553952298561,1450.1208474361101
73886,2462.8333333333335,1535.391976287084,1449.6099376461048
73887,2462.866666666667,1535.4563569167797,1449.6883448252593
73888,2462.9,1534.737331027484,1448.4362947282502
73889,2462.9333333333334,1535.389479162652,1449.6537864743368
73890,2462.9666666666667,1534.8231263664989,1448.544915908249
73891,2463,1534.8186846749024,1448.50108070787
73892,2463.0333333333333,1534.778180110591,1448.5400664876709
73893,2463.0666666666666,1534.7834541932068,1448.516450993766
73894,2463.1,1535.391976287084,1449.6099376461048
73895,2463.133333333333,1534.7467817045406,1448.4927512737845
73896,2463.1666666666665,1535.016300674328,1448.9571020900698
73897,2463.2,1535.4525420113325,1449.6392185348743
73898,2463.233333333333,1535.0170066658545,1448.8844998221614
73899,2463.2666666666664,1534.7467817045406,1448.4927512737845
73900,2463.3,1535.4487798717907,1449.6335591069524
73901,2463.3333333333335,1536.1155096497655,1449.955815492964
73902,2463.366666666667,1534.6085059704399,1448.3040100196404
73903,2463.4,1535.009501161622,1448.8800329497299
73904,2463.4333333333334,1535.009501161622,1448.8800329497299
73905,2463.4666666666667,1535.009501161622,1448.8800329497299
73906,2463.5,1535.009501161622,1448.8800329497299
73907,2463.5333333333333,1535.0170066658545,1448.8844998221614
73908,2463.5666666666666,1535.061632765687,1448.979508638674
73909,2463.6,1535.023438443789,1448.9297702824415
73910,2463.633333333333,1535.064503770526,1449.0200987823705
73911,2463.6666666666665,1535.17546388331,1448.817016263996
73912,2463.7,1535.2464425801884,1448.910356683985
73913,2463.733333333333,1535.17546388331,1448.817016263996
73914,2463.7666666666664,1534.8600749121983,1448.3909849521156
73915,2463.8,1535.8044235342757,1449.0100806068733
73916,2463.8333333333335,1535.82230425925,1449.00503885593
73917,2463.866666666667,1535.1483219134254,1448.778258421566
73918,2463.9,1534.942960443499,1448.4986496089032
73919,2463.9333333333334,1535.021101994743,1448.5556649695086
73920,2463.9666666666667,1534.9583266701454,1448.5125425903454
73921,2464,1535.203118729865,1448.849269069216
73922,2464.0333333333333,1535.203118729865,1448.849269069216
73923,2464.0666666666666,1534.9426255337214,1448.5031749432037
73924,2464.1,1535.021101994743,1448.5556649695086
73925,2464.133333333333,1535.16558095134,1448.7984783737074
73926,2464.1666666666665,1535.16558095134,1448.7984783737074
73927,2464.2,1535.0096076040927,1448.9145561079818
73928,2464.233333333333,1535.2396195224421,1448.8901776636721
73929,2464.2666666666664,1535.176596482864,1448.8479320333668
73930,2464.3,1535.2396195224421,1448.8901776636721
73931,2464.3333333333335,1535.179048442099,1448.814633221914
73932,2464.366666666667,1534.9851785579613,1448.8460743415594
73933,2464.4,1534.9981116746962,1448.8630468597598
73934,2464.4333333333334,1535.6731596189231,1449.8586593456757
73935,2464.4666666666667,1534.8740598551983,1448.6092278050178
73936,2464.5,1535.5616277658983,1449.6293745948676
73937,2464.5333333333333,1535.5616277658983,1449.6293745948676
73938,2464.5666666666666,1534.942960443499,1448.4986496089032
73939,2464.6,1534.8198965566878,1448.5874957440878
73940,2464.633333333333,1534.7956251467558,1448.308400347922
73941,2464.6666666666665,1534.9583266701454,1448.5125425903454
73942,2464.7,1534.838639882459,1448.3655806512952
73943,2464.733333333333,1535.1350335936759,1448.7778152651567
73944,2464.7666666666664,1535.6731596189231,1449.8586593456757
73945,2464.8,1534.9709144677556,1448.5004354964144
73946,2464.8333333333335,1534.808605464235,1448.3287020817252
