"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 "
74348,2478.233333333333,58.61601292627913
74349,2478.2666666666664,46.12061444767637
74350,2478.3,,-1.69906716219108
74351,2478.3333333333335,,43.96396448266369
74352,2478.366666666667,,51.325311382205385
74353,2478.4,,69.34170856161847
74354,2478.4333333333334,,91.96346633172006
74355,2478.4666666666667,,82.20389296764903
74356,2478.5,,34.290049570484946
74357,2478.5333333333333,,7.726685907960951
74358,2478.5666666666666,,-25.84174917310666
74359,2478.6,,-49.474574558358604
74360,2478.633333333333,,-74.90774476944256
74361,2478.6666666666665,,-90.85388114128607
74362,2478.7,,-101.14912991596076
74363,2478.733333333333,,-90.92643884603724
74364,2478.7666666666664,,-75.22323621721303
74365,2478.8,,-61.99023755370267
74366,2478.8333333333335,,-47.68629439521407
74367,2478.866666666667,,-3.4276998890993085
74368,2478.9,,31.617407327169474
74369,2478.9333333333334,,44.528918824826235
74370,2478.9666666666667,,54.45718242934833
74371,2479,,65.50020315375833
74372,2479.0333333333333,,47.036572700842214
74373,2479.0666666666666,,15.312936469020052
74374,2479.1,,-0.14329228278988132
74375,2479.133333333333,,-58.3212222790621
74376,2479.1666666666665,,-86.82869180226677
74377,2479.2,,-88.77412811356969
74378,2479.233333333333,,-95.25011886469859
74379,2479.2666666666664,,-94.63217260467907
74380,2479.3,,-86.3593522469752
74381,2479.3333333333335,,-49.97759707947788
74382,2479.366666666667,,-31.362030580897997
74383,2479.4,,13.640170025801794
74384,2479.4333333333334,,42.26287596067994
74385,2479.4666666666667,,61.77615342493735
74386,2479.5,,70.17229244815267
74387,2479.5333333333333,,45.468245525072085
74388,2479.5666666666666,,22.469244994401393
74389,2479.6,,-1.0990539216049877
74390,2479.633333333333,,-44.360098172555155
74391,2479.6666666666665,,-68.30747468941249
74392,2479.7,,-87.41288775585359
74393,2479.733333333333,,-105.88841002966376
74394,2479.7666666666664,,-98.32077282405342
74395,2479.8,,-88.4006028847558
74396,2479.8333333333335,,-65.36573103075938
74397,2479.866666666667,,-29.77125162722597
74398,2479.9,,6.913509831873343
74399,2479.9333333333334,,32.48475856384255
74400,2479.9666666666667,,65.08942265474325
74401,2480,,64.31309312784765
74402,2480.0333333333333,,55.86098355824518
74403,2480.0666666666666,,42.80780882319986
74404,2480.1,,21.218664494510918
74405,2480.133333333333,,-0.8496624000801205
74406,2480.1666666666665,,-44.87223871195461
74407,2480.2,,-82.74338288233179
74408,2480.233333333333,,-94.25361525188352
74409,2480.2666666666664,,-93.55679681265975
74410,2480.3,,-87.55723004896001
74411,2480.3333333333335,,-77.53405293605452
74412,2480.366666666667,,-63.97148851416522
74413,2480.4,,-6.266207663870919
74414,2480.4333333333334,,19.08743441490876
74415,2480.4666666666667,,49.96808029598644
74416,2480.5,,55.71527067029006
74417,2480.5333333333333,,58.970670919873456
74418,2480.5666666666666,,47.7584323005405
74419,2480.6,,34.05590880808878
74420,2480.633333333333,,0.9376800153552846
74421,2480.6666666666665,,-18.75744407241035
74422,2480.7,,-53.735466094538644
74423,2480.733333333333,,-71.0448896186916
74424,2480.7666666666664,,-91.50591008986345
74425,2480.8,,-90.88025251051057
74426,2480.8333333333335,,-81.15965606578028
74427,2480.866666666667,,-66.3960753645104
74428,2480.9,,-48.21221499360731
74429,2480.9333333333334,,-28.614413271399247
74430,2480.9666666666667,,9.145970252793253
74431,2481,,35.76584727170189
74432,2481.0333333333333,,48.134090010462664
74433,2481.0666666666666,,55.14819583309737
74434,2481.1,,44.34811416582084
74435,2481.133333333333,,13.028163557472254
74436,2481.1666666666665,,-46.32882004305216
74437,2481.2,,-57.51289076298977
74438,2481.233333333333,,-68.39573453646086
74439,2481.2666666666664,,-90.32739534011766
74440,2481.3,,-94.92137738743617
74441,2481.3333333333335,,-90.95791085722296
74442,2481.366666666667,,-73.62557928840714
74443,2481.4,,-54.92983273758931
74444,2481.4333333333334,,-10.345947767019407
74445,2481.4666666666667,,16.233760924372998
74446,2481.5,,58.87279065931358
74447,2481.5333333333333,,84.39767923366787
74448,2481.5666666666666,,93.06886965114282
74449,2481.6,,74.01918813220313
74450,2481.633333333333,,57.12117145775378
74451,2481.6666666666665,,28.877021953582673
74452,2481.7,,-28.690023816125166
74453,2481.733333333333,,-54.86358790186781
74454,2481.7666666666664,,-61.38516519313937
74455,2481.8,,-73.34405992605387
74456,2481.8333333333335,,-74.94059658301751
74457,2481.866666666667,,-57.27882299306108
74458,2481.9,,-37.41206246088613
74459,2481.9333333333334,,-9.739547032021434
74460,2481.9666666666667,,11.585834848498353
74461,2482,,60.91827741054023
74462,2482.0333333333333,,82.01609676362015
74463,2482.0666666666666,,88.1104176861518
74464,2482.1,,62.092518681605306
74465,2482.133333333333,,37.022133588971556
74466,2482.1666666666665,,7.64126069893007
74467,2482.2,,-30.823357628210758
74468,2482.233333333333,,-61.56011503131688
74469,2482.2666666666664,,-81.62251542444821
74470,2482.3,,-89.82222223270587
74471,2482.3333333333335,,-71.4320509106642
74472,2482.366666666667,,-60.76981384034604
74473,2482.4,,-38.48685879618005
74474,2482.4333333333334,,3.886999516750324
74475,2482.4666666666667,,43.890452536689104
74476,2482.5,,54.1917903709921
74477,2482.5333333333333,,73.29633755316162
74478,2482.5666666666666,,72.1999859433614
74479,2482.6,,61.82804717019337
74480,2482.633333333333,,37.830332286879745
74481,2482.6666666666665,,15.358449707248292
74482,2482.7,,-23.850307661910808
