"Worm Data","Position (um) of Centroid"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y","5 x","5 y","6 x","6 y","7 x","7 y","8 x","8 y","9 x","9 y","10 x","10 y","11 x","11 y","12 x","12 y","13 x","13 y","14 x","14 y","15 x","15 y","16 x","16 y","17 x","17 y","18 x","18 y","19 x","19 y","20 x","20 y","21 x","21 y","22 x","22 y","23 x","23 y","24 x","24 y","25 x","25 y"
1258,41.9,801.5958038118857,1691.9700890372776,773.9233049970339,1670.4392016536017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.5673735933173,1634.2863495928586
1259,41.93333333333333,802.5581810049933,1692.5099908361979,774.1918311701766,1670.7111132094292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.5842259110776,1634.2739751562058
1260,41.96666666666667,803.0861965063156,1692.455274125247,773.9122483455716,1670.4452026531221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.581011530049,1634.275515381159
1261,42,802.5635323957156,1692.5202926505303,774.1623288608344,1670.734844862429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.5649530718566,1634.2865136537268
1262,42.03333333333333,802.4287770577087,1691.7367854847635,773.8049688460408,1670.5590534662972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.5707194369598,1634.2824913377458
1263,42.06666666666666,802.4689393879181,1691.6715255631275,773.9673250510475,1670.3703500171237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.5805111357105,1634.2754801283766
1264,42.1,802.427951413038,1691.734840854841,773.9809466163312,1670.3508386944748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.6068536062194,1634.2562737395542
1265,42.13333333333333,801.561667148515,1691.3836049930846,773.9049234552532,1670.4421053528458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.6276090781653,1634.2408072867051
1266,42.166666666666664,801.5913455662798,1691.323516111554,773.8737942939395,1670.488471684234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.6189103257367,1634.2468813715175
1267,42.2,801.6056818075621,1691.3032278161625,773.7643419173617,1671.2969162177828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739.6364508543825,1634.2337129193893
