"Worm Data","Position (um) of Centroid"
"Sequence","test_test60001.avi"

,,"Track"
"Frame","Time","1 x","1 y"
128718,4290.566666666667,413.42404052055565,380.706021916538
128719,4290.6,413.3688140020347,380.65434512948787
128720,4290.633333333333,413.36629610438473,380.6700050517304
128721,4290.666666666667,413.4189899335317,380.7445370622702
128722,4290.7,413.456703315836,380.76512083386433
128723,4290.733333333334,413.4601377850533,380.7918266906863
128724,4290.766666666666,413.58742196463646,380.860932484665
128725,4290.8,413.3957249656634,380.73664927862524
128726,4290.833333333333,413.35900052509135,380.7302776504969
128727,4290.866666666667,413.2924229224856,380.6589123842059
128728,4290.9,413.32074228278157,380.6757995244757
128729,4290.933333333333,413.5432951979476,380.8334032276059
128730,4290.966666666666,413.5438304936505,380.8515110196704
128731,4291,413.4007471766125,380.7546421153054
128732,4291.033333333333,413.32143823332893,380.67858991027583
128733,4291.066666666667,413.54287835106356,380.98015269989423
128734,4291.1,413.57451384917016,380.98519151406344
128735,4291.133333333333,413.65208156390435,380.90902483277296
128736,4291.166666666667,413.6817972677387,380.9097323356186
128737,4291.2,413.73942520130146,380.9290198105057
128738,4291.233333333334,413.5031694591241,380.9786780649308
128739,4291.266666666666,413.2094816799952,380.7212303077722
128740,4291.3,413.49681696026397,380.94376653368977
128741,4291.333333333333,413.52402103389727,380.9826134907264
128742,4291.366666666667,413.6376349592296,380.8499178779841
128743,4291.4,413.60316239184556,381.04748736811916
128744,4291.433333333333,413.3009057839558,380.826121592906
128745,4291.466666666666,413.61734289495024,381.06470908962865
128746,4291.5,413.30045718447064,380.8213248000568
128747,4291.533333333333,413.59526595792886,381.0520814146573
128748,4291.566666666667,413.5661536099312,381.0190458033039
128749,4291.6,413.48548808027147,380.96929827181043
128750,4291.633333333333,413.5661536099312,381.0190458033039
128751,4291.666666666667,413.4107517510959,380.6903156756798
128752,4291.7,413.58918104519216,380.7975525390989
128753,4291.733333333334,413.5945758309733,380.8166526726063
128754,4291.766666666666,413.66124159235727,380.9166849132787
128755,4291.8,413.40659891786964,380.73850523065084
128756,4291.833333333333,413.4609536974906,380.6899754432495
128757,4291.866666666667,413.7348022373925,380.7437202667061
128758,4291.9,413.6611036275392,380.82307496447925
128759,4291.933333333333,413.7029089678346,380.89988711928254
128760,4291.966666666666,413.5801426888934,380.7849373368633
128761,4292,414.09003005124333,381.10293590329366
128762,4292.033333333333,414.2069010798758,381.0719470306526
128763,4292.066666666667,414.21668410972,381.04602922751064
128764,4292.1,414.17994570271696,381.019048693217
128765,4292.133333333333,414.0779658623893,380.95971164695493
128766,4292.166666666667,414.12904857299964,380.88124932030973
128767,4292.2,414.1996810499904,380.92639130246084
128768,4292.233333333334,414.13341392077274,380.88768583624073
128769,4292.266666666666,414.13341392077274,380.88768583624073
128770,4292.3,413.90477801489266,380.742987368488
128771,4292.333333333333,413.92476834494227,380.75390143725326
128772,4292.366666666667,413.9102809963119,380.7453158980161
128773,4292.4,413.9036369502328,380.74216464507754
128774,4292.433333333333,413.87538550936864,380.72146144645535
128775,4292.466666666666,413.87538550936864,380.72146144645535
128776,4292.5,413.8742012579589,380.743904248872
128777,4292.533333333333,414.0650595785706,380.865333115813
128778,4292.566666666667,414.05138545786804,380.96999135950887
128779,4292.6,414.1169678635476,380.8708077887168
128780,4292.633333333333,413.9380067837023,380.7372284468838
128781,4292.666666666667,413.8978446470117,380.7437815114188
128782,4292.7,413.7769721901857,380.6765950210465
128783,4292.733333333334,413.5909321032498,380.56458139488086
128784,4292.766666666666,413.873996524071,380.7243071471855
128785,4292.8,413.38293582760724,380.40002424084423
128786,4292.833333333333,414.0591282985846,380.8705372775323
128787,4292.866666666667,414.1004043469511,380.89075270296803
128788,4292.9,413.6940551427594,380.5885285697882
128789,4292.933333333333,413.93664803899054,380.721237828908
128790,4292.966666666666,413.96690560734584,380.7407325111949
128791,4293,413.93664803899054,380.721237828908
128792,4293.033333333333,413.9145979916213,380.7528521333943
128793,4293.066666666667,413.8281254111111,380.7986631504664
128794,4293.1,413.8284939042221,380.7939143210756
128795,4293.133333333333,413.89007279870486,380.73813407077864
128796,4293.166666666667,413.8711976670848,380.7229595994404
128797,4293.2,414.1576355885647,380.90200521957104
128798,4293.233333333334,413.89814345508756,380.7295160750957
128799,4293.266666666666,413.8463511970565,380.6922658879507
128800,4293.3,414.0003959870294,380.91132512252193
128801,4293.333333333333,413.52206571916093,380.7062953526447
128802,4293.366666666667,413.7305362189781,380.87985406294706
128803,4293.4,413.78909654930413,380.7963548035041
128804,4293.433333333333,413.81346284279414,380.79273895704114
128805,4293.466666666666,413.8451241542459,380.8092945612909
128806,4293.5,413.8722921029195,380.6776009046255
128807,4293.533333333333,413.96038148636984,380.7257572261967
128808,4293.566666666667,413.8858023862182,380.6802515174825
128809,4293.6,413.8616399626724,380.67747698455264
128810,4293.633333333333,413.8794434300085,380.67307944340655
128811,4293.666666666667,413.68566954435227,380.54789768189653
128812,4293.7,413.9416961050777,380.7080566726247
128813,4293.733333333334,413.6929461822128,380.5334163527109
128814,4293.766666666666,413.903707606169,380.7141622764989
128815,4293.8,413.8957551792612,380.7109072509206
128816,4293.833333333333,413.87366799595327,380.7809488176374
128817,4293.866666666667,413.8500833815498,380.79149724783724
128818,4293.9,413.87555611459777,380.78396175336206
128819,4293.933333333333,413.8754140293632,380.681415836764
128820,4293.966666666666,413.78998055979275,380.8025996984379
128821,4294,413.7672639376312,380.768069522848
128822,4294.033333333333,413.8016845975095,380.7960118574781
128823,4294.066666666667,413.7609998528783,380.7637203544193
