"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 ","17 ","18 ","19 ","20 ","21 ","22 ","23 ","24 ","25 "
1258,41.9,9.367601951421628,5.394802507593633,,,,,,,,,,,,,,,,,,,,,,,-2.495709171939798
1259,41.93333333333333,7.283579599953542,5.020282274312275,,,,,,,,,,,,,,,,,,,,,,,-2.3242642979949917
1260,41.96666666666667,4.896458495823076,4.974848143073319,,,,,,,,,,,,,,,,,,,,,,,-2.3120126039825277
1261,42,9.038030397920929,5.647836810155701,,,,,,,,,,,,,,,,,,,,,,,-2.5680148964001
1262,42.03333333333333,-0.34125889662067116,7.455138580873518,,,,,,,,,,,,,,,,,,,,,,,-2.456327706938309
1263,42.06666666666666,-1.1690211450426837,4.569039572395207,,,,,,,,,,,,,,,,,,,,,,,-2.30891502466042
1264,42.1,-1.100626144978146,4.409855528053038,,,,,,,,,,,,,,,,,,,,,,,-1.9704378593124847
1265,42.13333333333333,2.901100061808863,5.586411569949593,,,,,,,,,,,,,,,,,,,,,,,-1.8013342919067215
1266,42.166666666666664,1.8993599622099717,5.891823028714611,,,,,,,,,,,,,,,,,,,,,,,-1.8655774877321236
1267,42.2,0.12709214187530268,12.42889645284889,,,,,,,,,,,,,,,,,,,,,,,-1.711467859824247
1268,42.233333333333334,6.9867033733865815,9.398396130927434,61.437556235422214,,,,,,,,,,,,,,,,,,,,,,-1.847045587900409
1269,42.266666666666666,,,71.51820756592707,9.657221381641904,,,,,,,,,,,,,,,,,,,,,-1.7575288499275445
1270,42.3,,,,9.271983268320927,,,,,,,,,,,,,,,,,,,,,-1.9245424903376218
1271,42.333333333333336,,,,10.35529985959199,,,,,,,,,,,,,,,,,,,,,-1.7793571915482136
1272,42.36666666666667,,,,10.417673944654137,,,,,,,,,,,,,,,,,,,,,-1.717372561096644
1273,42.4,,,,10.879951253486956,,,,,,,,,,,,,,,,,,,,,-1.983663300170769
1274,42.43333333333333,,,,10.35529985959199,,,,,,,,,,,,,,,,,,,,,-2.069034664603265
1275,42.46666666666667,,,,10.260849309178546,,,,,,,,,,,,,,,,,,,,,-1.9097607196395567
1276,42.5,,,,8.45045711096616,,,,,,,,,,,,,,,,,,,,,-2.0344637007592827
1277,42.53333333333333,,,,10.905049248066812,,0.2546513192895273,,,,,,,,,,,,,,,,,,,-2.3597996839720716
1278,42.56666666666666,,,,10.840786279172272,-137.7514642537863,-1.0573099938294803,,,,,,,,,,,,,,,,,,,-2.8695755357095476
1279,42.6,,,,9.240004086820145,-137.89567588963368,-0.5955845965453277,,,,,,,,,,,,,,,,,,,-3.1553082253616505
1280,42.63333333333333,,,,10.210889703996177,-143.99378079198627,-0.78093695037675,,,,,,,,,,,,,,,,,,,-3.1460745429546164
1281,42.666666666666664,,,,10.27347822854328,-142.75279923587976,0.5290832415815047,,,,,,,,,,,,,,,,,,,-4.327319624508284
1282,42.7,,,,10.27347822854328,-144.63327998539725,0.24141364429770948,,,,,,,,,,,,,,,,,,,-2.798775770006828
1283,42.733333333333334,,,,3.389363036326689,-143.85361526937012,0.4103372116205818,,,,,,,,,,,,,,,,,,,-3.1105866940562557
1284,42.766666666666666,,,,3.8875186862853046,-143.73892140258312,0.520681481303762,,,,,,,,,,,,,,,,,,,-4.686315776737573
1285,42.8,,,,11.271178587054136,-154.61987777460993,0.956208367587173,,,,,,,,,,,,,,,,,,,-4.870442978019336
1286,42.833333333333336,,,,11.271178587054136,-140.04877458942715,2.1629599501332226,,,,,,,,,,,,,,,,,,,-4.035984770370996
1287,42.86666666666667,,,,10.958416198172284,-132.977450613566,2.3060351391468066,,,,,,,,,,,,,,,,,,,-4.716422344191393
1288,42.9,,,,9.700799913928924,-126.7500565285016,4.3883929282601395,,,,,,,,,,,,,,,,,,,-3.4355790540059195
1289,42.93333333333333,,,,10.958416198172284,-82.89814582198039,4.170133447159516,,,,,,,,,,,,,,,,,,,-3.13131283274905
1290,42.96666666666667,,,,10.958416198172563,-54.106639809192565,4.542870307350028,,,,,,,,,,,,,,,,,,,-3.1476783530406496
1291,43,,,,10.958416198172284,-35.300599430234605,4.698127575672704,,,,,,,,,,,,,,,,,,,-2.9552110503627014
1292,43.03333333333333,,,,5.121015524675303,-22.65935258118181,4.341938315029888,,,,,,,,,,,,,,,,,,,-2.758281949504875
1293,43.06666666666666,,,,5.059943039875606,-16.043248904076197,3.7100312906554196,,,,,,,,,,,,,,,,,,,-2.9759771785617573
1294,43.1,,,,5.022893049707705,-4.603142324352794,10.420290277900278,,,,,,,,,,,,,,,,,,,-2.764285013975745
1295,43.13333333333333,,,,5.281706219563852,18.659715564230282,10.442983716012028,,,,,,,,,,,,,,,,,,,-2.354972368787694
1296,43.166666666666664,,,,10.295126852639786,30.17738332052618,10.442983716012028,,,,,,,,,,,,,,,,,,,-2.850098812206427
1297,43.2,,,,10.959507773504843,28.45532650089883,3.7380938334372473,,,,,,,,,,,,,,,,,,,-2.8284616854666447
1298,43.233333333333334,,,,10.374828924829307,33.51346654144233,11.616904285718208,,,,,,,,,,,,,,,,,,,-2.3196420464507423
1299,43.266666666666666,,,,8.149608613784244,54.986106340877875,10.639202981822965,,,,,,,,,,,,,,,,,,,-2.313378659587994
1300,43.3,,,,8.801303422042388,76.62840824550345,,6.2619778336660055,,,,,,,,,,,,,,,,,,-1.7535560388740532
