"Worm Data","Position (um) of Centroid"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 x","1 y"
37849,1261.6,1538.1290458293563,1394.911795296802
37850,1261.6333333333332,1537.9428311316449,1394.9760152255756
37851,1261.6666666666667,1537.9623209394267,1395.065068192815
37852,1261.7,1538.5473725719617,1394.7907591019903
37853,1261.7333333333333,1538.5998091785548,1394.8326534186122
37854,1261.7666666666667,1538.58356793709,1394.8604957662517
37855,1261.8,1538.5972654991288,1394.8382516104493
37856,1261.8333333333333,1539.0552449156216,1394.6620661746715
37857,1261.8666666666666,1539.114295756086,1394.648323934302
37858,1261.9,1539.114295756086,1394.648323934302
37859,1261.9333333333334,1539.1272786207765,1394.6502181497608
37860,1261.9666666666667,1539.1439284781873,1394.6445421980543
37861,1262,1539.0824163401244,1394.6633461241922
37862,1262.0333333333333,1539.1439284781873,1394.6445421980543
37863,1262.0666666666666,1539.1314661501806,1394.6392958136412
37864,1262.1,1538.6235009966304,1394.792847450528
37865,1262.1333333333332,1539.1081693300305,1394.6373922759426
37866,1262.1666666666667,1539.1081693300305,1394.6373922759426
37867,1262.2,1538.6121819693092,1394.8124452628213
37868,1262.2333333333333,1538.6121819693092,1394.8124452628213
37869,1262.2666666666667,1537.9905832964,1394.9562069401136
37870,1262.3,1538.5836344010145,1394.834355803186
37871,1262.3333333333333,1538.845555231678,1394.6966708112077
37872,1262.3666666666666,1538.6690990935533,1394.931489140883
37873,1262.4,1538.6264578256687,1395.0256880071338
37874,1262.4333333333334,1538.5179364401652,1395.130521191266
37875,1262.4666666666667,1538.1438574595675,1395.2528142882475
37876,1262.5,1538.1267463534243,1395.258113172517
37877,1262.5333333333333,1538.1438574595675,1395.2528142882475
37878,1262.5666666666666,1538.1258951191817,1395.1567660705098
37879,1262.6,1538.1299961286834,1395.2667491836037
37880,1262.6333333333332,1538.1299961286834,1395.2667491836037
37881,1262.6666666666667,1538.16418824023,1395.286001972949
37882,1262.7,1538.1241474829847,1395.1619033295938
37883,1262.7333333333333,1538.1484280848829,1395.2995291983511
37884,1262.7666666666667,1538.1321242200754,1395.2839483025857
37885,1262.8,1539.1445464492683,1394.8808346448864
37886,1262.8333333333333,1538.1037745127223,1395.2933887786708
37887,1262.8666666666666,1539.147429299451,1394.7409434385481
37888,1262.9,1539.097697126022,1394.7241270921572
37889,1262.9333333333334,1538.0555813315186,1395.1308543736154
37890,1262.9666666666667,1538.0363736100396,1395.1198454706475
37891,1263,1538.0870269085478,1395.234287369662
37892,1263.0333333333333,1539.097697126022,1394.7241270921572
37893,1263.0666666666666,1538.0861913185522,1395.0896629405138
37894,1263.1,1538.0915494538337,1395.2316996265713
37895,1263.1333333333332,1538.0768963910655,1395.1182851777903
37896,1263.1666666666667,1538.0770607828329,1395.1300928187825
37897,1263.2,1538.1178806608,1395.093522226051
37898,1263.2333333333333,1538.0777043234361,1395.1103948748228
37899,1263.2666666666667,1538.0967595907136,1395.2201990032618
37900,1263.3,1538.6407302605403,1394.922867879133
37901,1263.3333333333333,1538.642079997222,1394.8668553042862
37902,1263.3666666666666,1538.6210827204247,1394.8758029240737
37903,1263.4,1538.5955722192318,1394.9372365310842
37904,1263.4333333333334,1538.6468624015893,1395.0407438747911
37905,1263.4666666666667,1538.6628437848876,1395.0570593236432
37906,1263.5,1538.6628437848876,1395.0570593236432
37907,1263.5333333333333,1538.6628437848876,1395.0570593236432
37908,1263.5666666666666,1538.0638748249644,1395.3019492973808
37909,1263.6,1538.1608574615232,1395.2691608635896
37910,1263.6333333333332,1538.6846017078803,1395.118660150687
37911,1263.6666666666667,1538.6832597688958,1395.0442014110786
37912,1263.7,1537.6949804913513,1395.4302132356263
37913,1263.7333333333333,1538.6912125488525,1395.1016527687007
37914,1263.7666666666667,1538.7192905404752,1395.026228617183
37915,1263.8,1538.6987526339115,1395.0226887808776
37916,1263.8333333333333,1538.6911232631207,1395.0411037896006
37917,1263.8666666666666,1538.7187678597716,1395.1611009825917
37918,1263.9,1538.0760832610745,1395.3069655365525
37919,1263.9333333333334,1538.7061937395927,1395.0622135998738
37920,1263.9666666666667,1538.7059832503346,1395.0695426781454
37921,1264,1538.6846017078803,1395.118660150687
37922,1264.0333333333333,1538.1391528900838,1395.2024431718364
37923,1264.0666666666666,1538.1421959652178,1395.280563619444
37924,1264.1,1538.1285246871362,1395.2828782044967
37925,1264.1333333333332,1538.1447956148518,1395.1818453814567
37926,1264.1666666666667,1538.1301908892244,1395.295433140857
37927,1264.2,1538.115562814657,1395.1064287504073
37928,1264.2333333333333,1538.0811682328572,1395.1003174415418
37929,1264.2666666666667,1538.543737425173,1394.9887370309718
37930,1264.3,1539.1080207433124,1394.6724625697482
37931,1264.3333333333333,1538.131532076071,1395.0886256604003
37932,1264.3666666666666,1538.131532076071,1395.0886256604003
37933,1264.4,1538.0967361974149,1395.11060784354
37934,1264.4333333333334,1538.066850906261,1395.1271335912702
37935,1264.4666666666667,1538.5217278739824,1395.1378830178298
37936,1264.5,1538.1285246871362,1395.2828782044967
37937,1264.5333333333333,1539.0582093210166,1394.716390430331
37938,1264.5666666666666,1538.1685230286664,1395.077394488816
37939,1264.6,1538.1391124116326,1395.1463137967853
37940,1264.6333333333332,1538.158023036144,1395.3198383385354
37941,1264.6666666666667,1537.3025405165458,1395.7118364210485
37942,1264.7,1538.1250831466323,1395.1846097516343
37943,1264.7333333333333,1538.1005481709717,1395.1780696267958
37944,1264.7666666666667,1538.0768963910655,1395.1182851777903
37945,1264.8,1538.1047506704906,1395.107671759909
37946,1264.8333333333333,1538.1205165423094,1395.1073878735951
37947,1264.8666666666666,1538.1616787628534,1395.0882820199868
37948,1264.9,1538.0768963910655,1395.1182851777903
37949,1264.9333333333334,1538.0768963910655,1395.1182851777903
37950,1264.9666666666667,1538.103433384753,1395.1225197316485
37951,1265,1538.132471834508,1395.1872048210348
37952,1265.0333333333333,1538.0858400086486,1395.1185904173751
37953,1265.0666666666666,1538.0991166875892,1395.0741122351494
37954,1265.1,1539.2170790194223,1394.6069688103482
37955,1265.1333333333332,1538.0998602159102,1394.9159968956872
37956,1265.1666666666667,1538.0765261919369,1394.9706551108534
37957,1265.2,1538.123991373787,1394.9984434881685
37958,1265.2333333333333,1538.0739479003962,1395.1712460072874
37959,1265.2666666666667,1538.545256398385,1394.9098277799021
37960,1265.3,1538.0811682328572,1395.1003174415418
37961,1265.3333333333333,1538.0419434777382,1394.9740378835777
37962,1265.3666666666666,1539.1414875824005,1394.8425045345712
37963,1265.4,1538.0772159872681,1395.189076429185
37964,1265.4333333333334,1538.674684570379,1395.0151299656923
37965,1265.4666666666667,1538.5612020012131,1394.9341216106545
37966,1265.5,1538.0458989566428,1395.1225330043571
37967,1265.5333333333333,1538.474478430114,1394.834784657988
37968,1265.5666666666666,1538.0947216898933,1395.1316463888159
37969,1265.6,1538.0569825698672,1394.9850178110535
37970,1265.6333333333332,1538.0393510120334,1394.9769196501677
37971,1265.6666666666667,1538.0515743117278,1394.969063688809
37972,1265.7,1538.5564958017223,1394.7864762135737
37973,1265.7333333333333,1538.6399632982848,1394.9499761887678
37974,1265.7666666666667,1538.0300359287212,1394.9379604709911
37975,1265.8,1538.0440275590809,1394.9369109787808
37976,1265.8333333333333,1538.5334153759466,1394.8427492415028
37977,1265.8666666666666,1538.5673027389737,1394.824791628316
37978,1265.9,1538.519649322825,1394.8065312209887
37979,1265.9333333333334,1538.083976349906,1394.9167707997171
37980,1265.9666666666667,1538.6466188586417,1394.7986530275457
37981,1266,1538.5662291399767,1394.7900968679828
37982,1266.0333333333333,1538.5469226492567,1394.7920002929932
37983,1266.0666666666666,1538.0114689346112,1394.9450683860587
37984,1266.1,1538.0094344583113,1394.9676516479476
37985,1266.1333333333332,1538.1338878170227,1394.9264276949255
37986,1266.1666666666667,1538.137824843637,1394.9305636548497
37987,1266.2,1538.1338878170227,1394.9264276949255
37988,1266.2333333333333,1538.5697793743636,1394.803840905005
37989,1266.2666666666667,1537.9033728734958,1395.068346102305
37990,1266.3,1538.052796991676,1394.9574371589447
37991,1266.3333333333333,1538.0875911494115,1394.9624702051092
37992,1266.3666666666666,1538.090482339114,1394.9390061368895
37993,1266.4,1538.090482339114,1394.9390061368895
37994,1266.4333333333334,1538.0495751719702,1394.9512222024314
