"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","24-Sept-24.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 ","17 ","18 ","19 ","20 ","21 ","22 ","23 ","24 ","25 ","26 ","27 ","28 ","29 ","30 ","31 ","32 ","33 ","34 ","35 ","36 ","37 ","38 ","39 ","40 ","41 ","42 ","43 ","44 ","45 "
165302,5510.033333333333,73.23003502953615,5.900552598903169
165303,5510.066666666667,106.97441036971207,5.900552598903169
165304,5510.1,,5.900552598903169,98.16252858125425
165305,5510.133333333333,,5.900552598903169,96.46625742717453
165306,5510.166666666667,,5.900552598903169,98.69257900656658
165307,5510.2,,5.900552598903169,96.3000934268033
165308,5510.233333333334,,5.900552598903169,73.41408297215014
165309,5510.266666666666,,5.900552598903169,59.64758040056867
165310,5510.3,,5.900552598903169,10.126608880118715
165311,5510.333333333333,,5.900552598903169,-28.87913553113823
165312,5510.366666666667,,5.900552598903169,-56.96731099829021
165313,5510.4,,5.900552598903169,,-68.76342009314637
165314,5510.433333333333,,5.900552598903169,,-91.25407701626294
165315,5510.466666666666,,5.900552598903169,,-92.59329037329282
165316,5510.5,,5.900552598903169,,-101.72602734386162
165317,5510.533333333333,,5.900552598903169,,-111.15120608016704
165318,5510.566666666667,,5.900552598903169,,-109.98497394075892
165319,5510.6,,5.900552598903169,,-109.95313500235007
165320,5510.633333333333,,5.900552598903169,,-92.3260244181799
165321,5510.666666666667,,5.900552598903169,,-87.31189958531647
165322,5510.7,,5.900552598903169,,-71.89849872190293
165323,5510.733333333334,,5.900552598903169,,-62.56858680494798
165324,5510.766666666666,,5.900552598903169,,-42.154701687637726
165325,5510.8,,5.900552598903169,,-24.893836535723427
165326,5510.833333333333,,5.900552598903169,,-9.525390480273597
165327,5510.866666666667,,5.900552598903169,,6.128058836866415
165328,5510.9,,5.900552598903169,,30.75081557420343
165329,5510.933333333333,,5.900552598903169,,52.559242920425525
165330,5510.966666666666,,5.900552598903169,,74.09384502041713
165331,5511,,5.900552598903169,,88.42114712487285
165332,5511.033333333333,,5.900552598903169,,89.36743062272377
165333,5511.066666666667,,5.900552598903169,,95.67830080260427
165334,5511.1,,5.900552598903169,,112.32870228741496
165335,5511.133333333333,,5.900552598903169,,120.47294441505142
165336,5511.166666666667,,5.900552598903169,,129.91401240979656
165337,5511.2,,5.900552598903169,,157.10642824061676
165338,5511.233333333334,,5.900552598903169,,160.4619548892411
165339,5511.266666666666,,5.900552598903169,,162.59269161579473
165340,5511.3,,5.900552598903169,,173.19224455052003
165341,5511.333333333333,,5.900552598903169,,179.13417593527598
165342,5511.366666666667,,5.900552598903169,,-166.56651421865385
165343,5511.4,,5.900552598903169,,-167.63992909424937
165344,5511.433333333333,,5.900552598903169,,-175.60076551710307
165345,5511.466666666666,,5.900552598903169,,-176.2152546950752
165346,5511.5,,5.900552598903169,,-179.11486898810952
165347,5511.533333333333,,5.900552598903169,,-176.17869895410797
165348,5511.566666666667,,5.900552598903169,,-173.4077063625351
165349,5511.6,,5.900552598903169,,-179.46695448266482
165350,5511.633333333333,,5.900552598903169,,-179.37081317818664
165351,5511.666666666667,,5.900552598903169,,177.5111901970758
165352,5511.7,,5.900552598903169,,172.4232207500729
165353,5511.733333333334,,5.900552598903169,,159.94017810782861
165354,5511.766666666666,,6.198082413876753,,152.5546294004313
165355,5511.8,,6.198082413876753,,146.98250844863338
165356,5511.833333333333,,6.198082413876753,,143.89883327427864
165357,5511.866666666667,,6.198082413876753,,139.10752488747818
165358,5511.9,,6.198082413876753,,136.0663953382445
165359,5511.933333333333,,6.198082413876753,,129.0348161716534
165360,5511.966666666666,,6.198082413876753,,123.51598785282738
165361,5512,,6.198082413876753,,118.1486938206431
165362,5512.033333333333,,6.198082413876753,,111.31641986800082
165363,5512.066666666667,,6.198082413876753,,103.92115733078056
165364,5512.1,,6.198082413876753,,101.74288710652318
165365,5512.133333333333,,6.198082413876753,,84.93784593020601
165366,5512.166666666667,,6.198082413876753,,85.15506756143962
165367,5512.2,,6.198082413876753,,80.44969031001513
165368,5512.233333333334,,6.198082413876753,,59.8293920362081
165369,5512.266666666666,,6.198082413876753,,53.53258617703675
165370,5512.3,,6.198082413876753,,45.084637215154785
165371,5512.333333333333,,6.198082413876753,,32.658161819474856
165372,5512.366666666667,,6.198082413876753,,20.296130114409934
165373,5512.4,,6.198082413876753,,14.341966049205297
165374,5512.433333333333,,6.198082413876753,,13.492863389563901
165375,5512.466666666666,,6.198082413876753,,13.701784431356515
165376,5512.5,,6.198082413876753,,2.54972744295917
165377,5512.533333333333,,6.198082413876753,,-0.6012574750514691
165378,5512.566666666667,,6.198082413876753,,-8.730346556214977
165379,5512.6,,6.198082413876753,,-11.601417861410614
165380,5512.633333333333,,6.198082413876753,,-21.009328820884225
165381,5512.666666666667,,6.198082413876753,,-24.330342205707122
165382,5512.7,,6.198082413876753,,-31.258251237845162
165383,5512.733333333334,,6.198082413876753,,-32.94588660552343
165384,5512.766666666666,,6.198082413876753,,-33.87470495518516
165385,5512.8,,6.198082413876753,,-35.10021733577837
165386,5512.833333333333,,6.198082413876753,,-40.5972591794374
165387,5512.866666666667,,6.198082413876753,,-37.27858685776815
165388,5512.9,,6.198082413876753,,-29.72762352659944
165389,5512.933333333333,,6.198082413876753,,-33.89782391647815
165390,5512.966666666666,,6.198082413876753,,-32.831909259308695
165391,5513,,6.198082413876753,,-32.69171137068556
