"Worm Data","Position (um) of Centroid"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y"
91849,3061.6,1534.9947145334613,1449.014112013419
91850,3061.633333333333,1535.0250205316393,1449.1495224812847
91851,3061.6666666666665,,,1534.914807895241,1449.2699382724186
91852,3061.7,,,1534.867368423608,1449.3602477771033
91853,3061.733333333333,,,1534.8412273049619,1449.4054929120564
91854,3061.7666666666664,,,1534.9701128752945,1449.3058541524792
91855,3061.8,,,1534.9147308445915,1449.4242352131068
91856,3061.8333333333335,,,1534.7879188878596,1449.751377039894
91857,3061.866666666667,,,1534.7469645718731,1449.8469743487228
91858,3061.9,,,1534.8938159805682,1449.455365355141
91859,3061.9333333333334,,,1534.8984074179482,1449.452003548466
91860,3061.9666666666667,,,1534.9941106566723,1449.0890955897576
91861,3062,,,1534.9941106566723,1449.0890955897576
91862,3062.0333333333333,,,1535.054252753722,1449.08307222357
91863,3062.0666666666666,,,1534.9941106566723,1449.0890955897576
91864,3062.1,,,1534.9941106566723,1449.0890955897576
91865,3062.133333333333,,,1534.9790571357066,1449.1585853622778
91866,3062.1666666666665,,,1534.893216584147,1449.557487966517
91867,3062.2,,,1535.005918983764,1449.0011770860397
91868,3062.233333333333,,,1535.4507247905435,1448.62329197108
91869,3062.2666666666664,,,1534.8984074179482,1449.452003548466
91870,3062.3,,,1534.9797060813303,1449.14411349995
91871,3062.3333333333335,,,1534.9749839411886,1449.1916014938306
91872,3062.366666666667,,,1534.9941106566723,1449.0890955897576
91873,3062.4,,,1534.9602642721454,1449.2403460658547
91874,3062.4333333333334,,,1534.9344295495368,1449.387717228625
91875,3062.4666666666667,,,1534.9665287446394,1449.2988939653587
91876,3062.5,,,1535.0131466725754,1449.3047216896282
91877,3062.5333333333333,,,1534.9131001749656,1449.318976252845
91878,3062.5666666666666,,,1534.8953391804268,1449.4253488296288
91879,3062.6,,,1534.8953391804268,1449.4253488296288
91880,3062.633333333333,,,1534.884776180449,1449.452497675623
91881,3062.6666666666665,,,1534.8662037574252,1449.4633008151704
91882,3062.7,,,1534.8118120274992,1449.6930629195535
91883,3062.733333333333,,,1534.8675696270263,1449.4420102960216
91884,3062.7666666666664,,,1534.8675696270263,1449.4420102960216
91885,3062.8,,,1534.4136457924337,1446.2616368537829
91886,3062.8333333333335,,,1535.3991136929633,1446.6361302277974
91887,3062.866666666667,,,1535.1115687994095,1445.9140954471218
91888,3062.9,,,1535.4129417749048,1446.6515946401591
91889,3062.9333333333334,,,1535.0499552059744,1449.2106800865467
91890,3062.9666666666667,,,1535.0548685487577,1449.1729897383084
91891,3063,,,1534.993842989158,1449.1376990309866
91892,3063.0333333333333,,,1535.0499552059744,1449.2106800865467
91893,3063.0666666666666,,,1535.0548685487577,1449.1729897383084
91894,3063.1,,,1535.0499552059744,1449.2106800865467
91895,3063.133333333333,,,1534.9646216919955,1449.1904096222142
91896,3063.1666666666665,,,1534.9148153294861,1449.7310383887389
91897,3063.2,,,1534.9649244908005,1449.6211732894676
91898,3063.233333333333,,,1535.0288185706606,1449.17683111484
91899,3063.2666666666664,,,1535.0288185706606,1449.17683111484
91900,3063.3,,,1535.0370401570926,1449.1409621219086
91901,3063.3333333333335,,,1534.9983144304454,1449.4848190365728
91902,3063.366666666667,,,1535.0524852783085,1449.2712349073431
91903,3063.4,,,1535.0380116821575,1449.3218350021102
91904,3063.4333333333334,,,1535.0328119095038,1449.180530369229
91905,3063.4666666666667,,,1534.9840867231128,1449.1699222127909
91906,3063.5,,,1534.9867798883363,1449.189828360781
91907,3063.5333333333333,,,1534.9437524309958,1449.2488218883132
91908,3063.5666666666666,,,1534.9082384269454,1449.4503710769259
91909,3063.6,,,1534.790367005532,1449.7222998247066
91910,3063.633333333333,,,1534.7608471523824,1449.8078119535764
91911,3063.6666666666665,,,1534.6760244718625,1449.989601326968
91912,3063.7,,,1534.888572460211,1449.4827466967054
91913,3063.733333333333,,,1534.8822200753002,1449.5063765791033
91914,3063.7666666666664,,,1534.9992512786598,1449.4966867976236
91915,3063.8,,,1534.9967913382898,1449.4956685125153
91916,3063.8333333333335,,,1534.8453135998216,1449.613767769466
91917,3063.866666666667,,,1534.7316478815712,1449.8563925704666
91918,3063.9,,,1534.8958225812182,1449.4325603142147
91919,3063.9333333333334,,,1535.0044389788443,1448.9140093670317
91920,3063.9666666666667,,,1535.0034230728334,1449.430185469114
91921,3064,,,1534.993614458165,1449.1327719642854
91922,3064.0333333333333,,,1534.9277291988908,1449.4122050335807
91923,3064.0666666666666,,,1535.0167211941164,1448.880739297748
91924,3064.1,,,1535.0628478368837,1448.8606696049305
91925,3064.133333333333,,,1535.0268585144293,1448.9121320231795
91926,3064.1666666666665,,,1535.0098780986118,1448.9680103032338
91927,3064.2,,,1535.0253156478366,1448.911221399438
91928,3064.233333333333,,,1535.0453684364004,1448.9941989892031
91929,3064.2666666666664,,,1535.101707187781,1449.0267236178506
91930,3064.3,,,1535.0432459593274,1448.9819053308288
91931,3064.3333333333335,,,1535.036265539258,1447.6498774044958
91932,3064.366666666667,,,1535.1534614298391,1448.1216382758419
91933,3064.4,,,1534.8607631325167,1449.5422909852905
91934,3064.4333333333334,,,1535.1534614298391,1448.1216382758419
91935,3064.4666666666667,,,1534.9247042634315,1449.3538202418283
91936,3064.5,,,1535.0051272906633,1449.4244725942542
91937,3064.5333333333333,,,1535.0867345278327,1448.3569607289123
91938,3064.5666666666666,,,1534.823654226278,1449.6745405113816
91939,3064.6,,,1535.110527909764,1448.27757394953
91940,3064.633333333333,,,1534.8863393872134,1449.3039744083712
91941,3064.6666666666665,,,1534.7691582312143,1449.8147478762767
91942,3064.7,,,1534.918277679877,1449.7478301666247
91943,3064.733333333333,,,1534.782477828555,1449.7536521582183
91944,3064.7666666666664,,,1534.956684665092,1449.6137984427835
91945,3064.8,,,1534.9545534317215,1449.2707392037491
