"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","9-Oct-25.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 "
162626,5420.833333333333,9.6683410932447
162627,5420.866666666667,,-8.293432524796545
162628,5420.9,,-5.4986081627703935
162629,5420.933333333333,,-2.455116541919067
162630,5420.966666666666,,1.3972904372948576
162631,5421,,0.3025232658505394
162632,5421.033333333333,,0.979041673325859
162633,5421.066666666667,,4.171911779890657
162634,5421.1,,9.738171157355
162635,5421.133333333333,,12.197738418299659
162636,5421.166666666667,,17.55430895309894
162637,5421.2,,19.40080087326428
162638,5421.233333333334,,28.647252587155126
162639,5421.266666666666,,33.60338123594845
162640,5421.3,,35.71842507343942
162641,5421.333333333333,,28.600951261042372
162642,5421.366666666667,,40.689164388559156
162643,5421.4,,39.1268523290028
162644,5421.433333333333,,32.16760639664185
162645,5421.466666666666,,29.64448653276209
162646,5421.5,,25.67318322636445
162647,5421.533333333333,,26.56302413701163
162648,5421.566666666667,,23.687503294998635
162649,5421.6,,23.386281334031747
162650,5421.633333333333,,17.408145752114184
162651,5421.666666666667,,14.376995457818492
162652,5421.7,,14.156132667974212
162653,5421.733333333334,,10.071805850056144
162654,5421.766666666666,,2.727144513469501
162655,5421.8,,4.633968666852867
162656,5421.833333333333,,1.630329806250465
162657,5421.866666666667,,3.738254245777991
162658,5421.9,,,2.429625781285087
162659,5421.933333333333,,,-0.7833586649847991
162660,5421.966666666666,,,3.024016352722873
162661,5422,,,2.7908556826930644
162662,5422.033333333333,,,7.682298341242415
162663,5422.066666666667,,,1.326465465977048
162664,5422.1,,,4.805502103257381
162665,5422.133333333333,,,8.74059221568041
162666,5422.166666666667,,,9.30935541676992
162667,5422.2,,,9.303139219088017
162668,5422.233333333334,,,9.218021908432071
162669,5422.266666666666,,,9.218021908432071
162670,5422.3,,,7.061741412290356
162671,5422.333333333333,,,6.934506469107861
162672,5422.366666666667,,,6.066649415490225
162673,5422.4,,,4.247811057362592
162674,5422.433333333333,,,-1.648403717350009
162675,5422.466666666666,,,-2.3387997450712117
162676,5422.5,,,-9.09043279559426
162677,5422.533333333333,,,-10.787126681263501
162678,5422.566666666667,,,-12.919489730634744
162679,5422.6,,,-12.9374175792066
162680,5422.633333333333,,,-12.816434789227342
162681,5422.666666666667,,,-12.671581882524288
162682,5422.7,,,-13.839761125365929
162683,5422.733333333334,,,-11.389634134881973
162684,5422.766666666666,,,-13.787365525907015
162685,5422.8,,,-12.828481428868642
162686,5422.833333333333,,,-14.130335173054618
162687,5422.866666666667,,,-12.70727576159056
162688,5422.9,,,-12.216484897558592
162689,5422.933333333333,,,-10.926703782741743
162690,5422.966666666666,,,-9.486429053461542
162691,5423,,,-6.386258774965382
162692,5423.033333333333,,,-5.189428962342176
162693,5423.066666666667,,,-4.900980504359703
162694,5423.1,,,-2.076561142527998
162695,5423.133333333333,,,0.1170320149952846
162696,5423.166666666667,,,5.497218189406674
162697,5423.2,,,13.689967558471077
162698,5423.233333333334,,,8.181024224836959
162699,5423.266666666666,,,16.954957230035948
162700,5423.3,,,19.360363329482432
162701,5423.333333333333,,,,27.64509508304882
162702,5423.366666666667,,,,28.808741424280246
162703,5423.4,,,,30.442646505386524
162704,5423.433333333333,,,,31.171246385526498
162705,5423.466666666666,,,,32.51657948901311
162706,5423.5,,,,26.985185604162083
162707,5423.533333333333,,,,22.343045578819133
162708,5423.566666666667,,,,18.788243089970074
162709,5423.6,,,,16.538845600909823
162710,5423.633333333333,,,,12.601978109904527
162711,5423.666666666667,,,,7.788476139827169
162712,5423.7,,,,6.4941529557869755
162713,5423.733333333334,,,,2.4334922848147484
162714,5423.766666666666,,,,2.2001719221554517
162715,5423.8,,,,6.205361527356606
162716,5423.833333333333,,,,7.881478357677005
162717,5423.866666666667,,,,9.86251545832755
162718,5423.9,,,,10.640939215093415
162719,5423.933333333333,,,,10.259056421246571
162720,5423.966666666666,,,,10.286814703497937
162721,5424,,,,10.020556682850543
162722,5424.033333333333,,,,8.820150890108941
162723,5424.066666666667,,,,11.113275260454024
162724,5424.1,,,,9.930684178450655
162725,5424.133333333333,,,,13.30865140694366
162726,5424.166666666667,,,,18.889790990785173
162727,5424.2,,,,25.379391160873915
162728,5424.233333333334,,,,25.070786718949268
162729,5424.266666666666,,,,28.444386532038028
162730,5424.3,,,,31.702493164289343
162731,5424.333333333333,,,,34.75371192987939
162732,5424.366666666667,,,,34.329490696121546
162733,5424.4,,,,31.907358982140902
162734,5424.433333333333,,,,32.26109716578358
162735,5424.466666666666,,,,33.75150826216521
162736,5424.5,,,,32.25116526410528
162737,5424.533333333333,,,,31.46350313473297
162738,5424.566666666667,,,,28.935075302622298
162739,5424.6,,,,28.82392773687844
162740,5424.633333333333,,,,27.457425472176567
162741,5424.666666666667,,,,25.50059862794382
162742,5424.7,,,,25.713645311822383
162743,5424.733333333334,,,,23.832263125771178
162744,5424.766666666666,,,,25.075065154008456
162745,5424.8,,,,24.709907979438867
162746,5424.833333333333,,,,24.88566313953412
162747,5424.866666666667,,,,24.99275454795176
162748,5424.9,,,,25.705570888905335
162749,5424.933333333333,,,,27.847642925069177
162750,5424.966666666666,,,,29.872793079794395
162751,5425,,,,30.172286432425686
162752,5425.033333333333,,,,30.73894139728325
162753,5425.066666666667,,,,33.71535078085936
162754,5425.1,,,,34.368216408305464
162755,5425.133333333333,,,,34.35566232629186
162756,5425.166666666667,,,,35.51934323183677
162757,5425.2,,,,32.37776774072274
162758,5425.233333333334,,,,35.294742619537246
162759,5425.266666666666,,,,34.96758660448103
162760,5425.3,,,,34.270953820608774
162761,5425.333333333333,,,,34.801084647116845
162762,5425.366666666667,,,,34.72491596321137
162763,5425.4,,,,34.99694419158921
162764,5425.433333333333,,,,33.587337198188514
162765,5425.466666666666,,,,33.92659648258733
162766,5425.5,,,,31.393595646954747
162767,5425.533333333333,,,,33.85839317640918
162768,5425.566666666667,,,,34.04500868549336
162769,5425.6,,,,35.05613427678721
162770,5425.633333333333,,,,34.94565702468838
162771,5425.666666666667,,,,22.021392151258155
162772,5425.7,,,,19.92971448477469
162773,5425.733333333334,,,,19.604023601070207
162774,5425.766666666666,,,,18.745058829182383
