"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","capture-0001.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 "
108907,3630.2,162.92273281161894
108908,3630.233333333333,-172.08609836594005
108909,3630.2666666666664,-135.17787866909035
108910,3630.2999999999997,-98.25195770538377
108911,3630.3333333333335,-56.00887126645931
108912,3630.366666666667,-34.786624159286625
108913,3630.4,-15.602226981727384
108914,3630.4333333333334,-3.2859481203450245
108915,3630.4666666666667,2.2188710169783405
108916,3630.5,8.372462836954744
108917,3630.5333333333333,12.642368607297136
108918,3630.5666666666666,13.119804302462429
108919,3630.6,-5.629442085296326
108920,3630.633333333333,-22.265980228733603
108921,3630.6666666666665,-40.089313026370284
108922,3630.7,-56.28230314537217
108923,3630.733333333333,-86.70182166407382
108924,3630.7666666666664,-86.85598286428706
108925,3630.7999999999997,-70.41409752631357
108926,3630.8333333333335,-51.05263908707479
108927,3630.866666666667,-19.441987290676945
108928,3630.9,22.20880063211258
108929,3630.9333333333334,31.250162807950097
108930,3630.9666666666667,41.22009205584554
108931,3631,46.571752555533145
108932,3631.0333333333333,24.09535667222891
108933,3631.0666666666666,13.164531928408076
108934,3631.1,-2.7978715673181447
108935,3631.133333333333,-16.400812425356385
108936,3631.1666666666665,-40.1314001478191
108937,3631.2,-53.98100501963869
108938,3631.233333333333,,,,,,,,,,
108939,3631.2666666666664,,,,,,,,,,
108940,3631.2999999999997,,,,,,,,,,
108941,3631.3333333333335,,,,,,,,,,
108942,3631.366666666667,,,,,,,,,,
108943,3631.4,,,,,,,,,,
108944,3631.4333333333334,,,,,,,,,,
108945,3631.4666666666667,,,,,,,,,,
108946,3631.5,,,,,,,,,,
108947,3631.5333333333333,,,,,,,,,,
108948,3631.5666666666666,,,,,,,,,,
108949,3631.6,,,,,,,,,,
108950,3631.633333333333,,,,,,,,,,
108951,3631.6666666666665,,,,,,,,,,
108952,3631.7,,,,,,,,,,
108953,3631.733333333333,,,,,,,,,,
108954,3631.7666666666664,,,,,,,,,,
108955,3631.7999999999997,,,,,,,,,,
108956,3631.8333333333335,,,,,,,,,,
108957,3631.866666666667,,,,,,,,,,
108958,3631.9,,,,,,,,,,
108959,3631.9333333333334,,,,,,,,,,
108960,3631.9666666666667,,,,,,,,,,
108961,3632,,,,,,,,,,
108962,3632.0333333333333,,,,,,,,,,
108963,3632.0666666666666,,,,,,,,,,
108964,3632.1,,,,,,,,,,
108965,3632.133333333333,,,,,,,,,,
108966,3632.1666666666665,,,,,,,,,,
108967,3632.2,,,,,,,,,,
108968,3632.233333333333,,,,,,,,,,
108969,3632.2666666666664,,,,,,,,,,
108970,3632.2999999999997,,,,,,,,,,
108971,3632.3333333333335,,,,,,,,,,
108972,3632.366666666667,,,,,,,,,,
108973,3632.4,,,,,,,,,,
108974,3632.4333333333334,,,,,,,,,,
108975,3632.4666666666667,,,,,,,,,,
108976,3632.5,,,,,,,,,,
108977,3632.5333333333333,,,,,,,,,,
108978,3632.5666666666666,,,,,,,,,,
108979,3632.6,,,,,,,,,,
108980,3632.633333333333,,,,,,,,,,
108981,3632.6666666666665,,,,,,,,,,
108982,3632.7,,,,,,,,,,
108983,3632.733333333333,,,,,,,,,,
108984,3632.7666666666664,,,,,,,,,,
108985,3632.7999999999997,,,,,,,,,,
108986,3632.8333333333335,,,,,,,,,,
108987,3632.866666666667,,,,,,,,,,
108988,3632.9,,,,,,,,,,
108989,3632.9333333333334,,,,,,,,,,
108990,3632.9666666666667,,,,,,,,,,
108991,3633,,,,,,,,,,
108992,3633.0333333333333,,,,,,,,,,
108993,3633.0666666666666,,,,,,,,,,
108994,3633.1,,,,,,,,,,
108995,3633.133333333333,,,,,,,,,,
108996,3633.1666666666665,,,,,,,,,,
108997,3633.2,,,,,,,,,,
108998,3633.233333333333,,,,,,,,,,
108999,3633.2666666666664,,,,,,,,,,
109000,3633.2999999999997,,,,,,,,,,
109001,3633.3333333333335,,,,,,,,,,
109002,3633.366666666667,,,,,,,,,,
109003,3633.4,,,,,,,,,,
109004,3633.4333333333334,,,,,,,,,,
109005,3633.4666666666667,,,,,,,,,,
109006,3633.5,,,,,,,,,,
109007,3633.5333333333333,,,,,,,,,,
109008,3633.5666666666666,,,,,,,,,,
109009,3633.6,,,,,,,,,,
109010,3633.633333333333,,,,,,,,,,
109011,3633.6666666666665,,,,,,,,,,
109012,3633.7,,,,,,,,,,
109013,3633.733333333333,,,,,,,,,,
109014,3633.7666666666664,,,,,,,,,,
109015,3633.7999999999997,,,,,,,,,,
109016,3633.8333333333335,,,,,,,,,,
109017,3633.866666666667,,,,,,,,,,
109018,3633.9,,,,,,,,,,
109019,3633.9333333333334,,,,,,,,,,
109020,3633.9666666666667,,,,,,,,,,
109021,3634,,,,,,,,,,
109022,3634.0333333333333,,,,,,,,,,
109023,3634.0666666666666,,,,,,,,,,
109024,3634.1,,,,,,,,,,
