"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","capture-0001.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 "
113184,3772.7666666666664,55.991154015515384,13.755828102167522
113185,3772.7999999999997,55.995523535042786,6.039672317442601
113186,3772.8333333333335,58.18502907062771,1.2345967366511512
113187,3772.866666666667,57.291819351500294,0.7751968371165876
113188,3772.9,58.28661199479705,7.525892613653867
113189,3772.9333333333334,58.098467611212904,8.133120399413478
113190,3772.9666666666667,55.21173536778354,1.9173522774298333
113191,3773,55.20433488713023,1.8103054936625698
113192,3773.0333333333333,56.91479353060502,11.233284714283075
113193,3773.0666666666666,58.00761483564325,10.957303483440255
113194,3773.1,58.514716024203096,28.515848568455556
113195,3773.133333333333,58.77170041247743,29.14998269690719
113196,3773.1666666666665,58.597175725399936,32.804232445695526
113197,3773.2,57.16241462743603,23.64229779962964
113198,3773.233333333333,58.96644096165463,16.337673772864814
113199,3773.2666666666664,59.482750142456226,15.966409589988379
113200,3773.2999999999997,58.72375611808775,16.886426338606483
113201,3773.3333333333335,55.90563508137022,15.938974244307978
113202,3773.366666666667,57.092669694934685,16.11416693813383,-58.705274691597374
113203,3773.4,56.789396231627926,13.889674086021788,-40.51097553021076
113204,3773.4333333333334,58.79345766160477,16.493864171955664,-40.18717381983156
113205,3773.4666666666667,57.640265922167394,22.339081863395013,-40.78190036062002
113206,3773.5,56.076025102378885,30.481856243551842,-41.902140644651865
113207,3773.5333333333333,52.753124662807636,32.263451449302245,-42.55301722828483
113208,3773.5666666666666,62.8015928209617,31.837328730429043,-45.059009611158764
113209,3773.6,61.12824936091157,21.723202341085464,-48.22602392550871
113210,3773.633333333333,57.132403217186926,4.248855209814573,-45.15896531140967
113211,3773.6666666666665,62.5757437283392,12.48885800196417,-41.96436999514129
113212,3773.7,62.495669907472774,21.660109700358493,-42.07834713004858
113213,3773.733333333333,64.0010793787674,12.026689364638013,-43.2083313292816
113214,3773.7666666666664,57.86727386160899,40.59362469522899,-41.6896520621493
113215,3773.7999999999997,63.684364452925934,31.81336450584041,-43.03577076443576
113216,3773.8333333333335,61.585191360529535,30.95759642459489,-40.7265724447917
113217,3773.866666666667,63.750433543474465,22.461258549159698,-39.85290287016539
113218,3773.9,64.54532459960951,23.48327699040459,-40.53329720206695
113219,3773.9333333333334,67.38746551967179,13.816521942003535,-41.18167028948311
113220,3773.9666666666667,65.31240309171062,20.33025835574563,-43.141427933142964
113221,3774,69.60144504197501,20.184696130220335,-44.3089326216824
113222,3774.0333333333333,69.70351818797688,21.703116752965077,-44.819453487209785
113223,3774.0666666666666,69.66132108649236,14.20055430861525,-40.860972972748904
113224,3774.1,67.75174634823102,20.248839062908008,-36.73933786840892
113225,3774.133333333333,67.8683817502764,12.903770466019473,-42.052857188471066
113226,3774.1666666666665,69.02936175224585,21.964288566762722,-44.05876880522873
113227,3774.2,66.42190037079133,14.269212640177802,-42.06878521577465
113228,3774.233333333333,71.63977225853732,14.510628280940754,-41.05114713039411
113229,3774.2666666666664,72.10953835419804,14.531768623991542,-42.954692197272294
113230,3774.2999999999997,68.24634426974681,16.27761129746625,-37.75425384067666
113231,3774.3333333333335,72.50831831448939,16.400506258647773,-40.558668145977265
113232,3774.366666666667,71.62046259178844,16.32371339016304,-38.544282364319685
113233,3774.4,68.73303448956568,15.450831503096703,-41.40613005555449
113234,3774.4333333333334,67.34926943678245,13.24440641513009,-39.17120971912903
113235,3774.4666666666667,68.40388216485081,23.594824570627868,-40.79277034549104
113236,3774.5,62.36693864322752,16.355390303051397,-39.844805532392385
113237,3774.5333333333333,65.05021085307656,22.331173002724885,-37.68681801600707
113238,3774.5666666666666,63.359414804501945,12.179279846534161,-35.65571388106751
113239,3774.6,62.15556829968729,21.159874039005445,-37.22321327948447
113240,3774.633333333333,61.89303671568593,11.678941999449522,-33.570672445928615
113241,3774.6666666666665,62.8210968977623,12.453511339221135,-33.40056584120126
113242,3774.7,59.97049786643063,21.084424130845342,-36.72459306358525
113243,3774.733333333333,58.79126658980684,21.451985711614757,-41.9818286714141
113244,3774.7666666666664,60.947517814764524,21.106799958779092,-42.151715100819466
113245,3774.7999999999997,57.641294902984036,21.284101897379895,-41.729763334421634
113246,3774.8333333333335,53.617915419393576,21.69781346051208,-33.839278723184506
113247,3774.866666666667,54.75069481133337,14.398035829707458,-30.26075434474837
113248,3774.9,54.353827579255494,13.592978988405688,-29.98902182316406
113249,3774.9333333333334,50.3896793893806,13.67559922222653,-29.888221515801103
113250,3774.9666666666667,52.16955485043888,8.09431559580494,-32.60406281971496
113251,3775,49.666543395087544,14.063738158627011,-27.439434703297227
113252,3775.0333333333333,53.51780686476942,24.90063234761265,-36.0492757167415
113253,3775.0666666666666,52.10562489338248,28.73393555385796,-35.75238848276477
113254,3775.1,46.48469167634068,28.949343402866493,-42.71510398455254
113255,3775.133333333333,47.70840648925968,29.238261172320684,-45.78807382765502
113256,3775.1666666666665,54.15712130194976,22.070450053608347,-41.300917725987716
113257,3775.2,51.84629386387476,31.387501799916656,-45.184720930686346
113258,3775.233333333333,48.43406534617588,23.569147042449966,-44.33384782810785
113259,3775.2666666666664,51.53290673568824,7.179355910027214,-53.61295920330466
113260,3775.2999999999997,51.79153914489278,15.328511538524616,-49.50713387230031
113261,3775.3333333333335,49.79876856506413,16.43738265036826,-41.439591581972905
113262,3775.366666666667,50.32505515037956,23.162921330662353,-32.26744913160975
113263,3775.4,51.383034746856374,7.555831778631489,-24.041722557699725
