"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","3-Oct-25.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 "
175583,5852.733333333334,7.303266433424898,36.98727288477195
175584,5852.766666666666,7.3032664334241595,,60.687478636651235
175585,5852.8,7.303266433424516,,80.82180148345628
175586,5852.833333333333,7.303266433424516,,96.16896278005292
175587,5852.866666666667,7.303266433424516,,95.33126348151858
175588,5852.9,7.303266433424516,,58.279622615184515
175589,5852.933333333333,7.303266433424516,,32.616709910160445
175590,5852.966666666666,7.303266433424516,,26.590844775764225
175591,5853,7.303266433424516,,17.049930543880198
175592,5853.033333333333,7.303266433424516,,14.288958778913496
175593,5853.066666666667,7.303266433424516,,4.341750951700953
175594,5853.1,7.303266433424516,,-5.851159382097693
175595,5853.133333333333,7.3032664334241595,,,-14.686596842503013
175596,5853.166666666667,7.303266433424516,,,-14.875778740543664
175597,5853.2,7.383675232828773,,,-19.269189272808596
175598,5853.233333333334,7.393491332889975,,,-18.048593330543227
175599,5853.266666666666,7.580515983943338,,,-15.14501318692615
175600,5853.3,7.255042694877589,,,-3.4732662633582145
175601,5853.333333333333,7.824812864779306,,,3.029916838964288
175602,5853.366666666667,7.824812864779306,,,7.297828892058909
175603,5853.4,7.824812864779306,,,6.562718926730815
175604,5853.433333333333,7.824812864779306,,,31.484265789704313
175605,5853.466666666666,7.824812864779102,,,28.050714493961106
175606,5853.5,7.081523218787167,,,38.86084022231645
175607,5853.533333333333,7.081523218786912,,,42.240470244853256
175608,5853.566666666667,7.401527958207452,,,23.2971025980219
175609,5853.6,7.512891285298024,,,16.258804097749323
175610,5853.633333333333,7.512891285298279,,,10.846086484767325
175611,5853.666666666667,7.0323647613920555,,,9.141567232319318
175612,5853.7,7.032364761392208,,,15.783267447390962
175613,5853.733333333334,6.262275245060198,,,21.14119502099766
175614,5853.766666666666,6.282037017157144,,,30.216194338118367
175615,5853.8,7.700282456099208,,,35.100285952842285
175616,5853.833333333333,7.700282456099004,,,43.567080226199366
175617,5853.866666666667,7.700282456099208,,,55.07090254797838
175618,5853.9,7.700282456099004,,,37.905686448271354
175619,5853.933333333333,7.700282456099208,,,38.26419289639581
175620,5853.966666666666,7.700282456099004,,,35.45265647694999
175621,5854,7.700282456099004,,,19.54649873693945
175622,5854.033333333333,7.700282456099004,,,-0.5061596972870963
175623,5854.066666666667,7.700282456099004,,,-9.783335339262255
175624,5854.1,7.700282456099004,,,-9.075285732701925
175625,5854.133333333333,7.700282456099004,,,-34.73348533752201
175626,5854.166666666667,7.700282456099004,,,-48.64538899950182
175627,5854.2,7.700282456099004,,,-46.3657532868814
175628,5854.233333333334,7.700282456099004,,,-47.95205569959917
175629,5854.266666666666,7.700282456099004,,,-38.24403309122298
175630,5854.3,7.700282456099004,,,-30.117782270481758
175631,5854.333333333333,7.700282456099004,,,-17.326922154312015
175632,5854.366666666667,7.700282456099004,,,-2.3785723889737427
175633,5854.4,7.700282456099004,,,5.316606815529048
175634,5854.433333333333,7.700282456099004,,,27.19172617007448
175635,5854.466666666666,7.700282456099004,,,41.19396063946523
175636,5854.5,7.700282456099208,,,66.42590145826956
175637,5854.533333333333,7.700282456099004,,,62.515293749988636
175638,5854.566666666667,7.700282456099004,,,48.67253048055958
175639,5854.6,7.700282456099208,,,24.34494645921201
175640,5854.633333333333,7.700282456099004,,,20.352208392456
175641,5854.666666666667,7.700282456099208,,,2.817654631093526
175642,5854.7,7.700282456099004,,,-13.65787052449431
175643,5854.733333333334,7.700282456099004,,,-25.5409884269389
175644,5854.766666666666,7.700282456099004,,,-22.593380029064505
175645,5854.8,7.700282456099208,,,-22.201875491068826
175646,5854.833333333333,7.700282456099004,,,-10.479700349915
175647,5854.866666666667,7.700282456099208,,,3.974207733461054
175648,5854.9,7.700282456099004,,,15.485858391606127
175649,5854.933333333333,7.700282456099208,,,34.95426836032293
175650,5854.966666666666,7.700282456099004,,,54.770396914469394
175651,5855,7.700282456099208,,,64.39933987730844
175652,5855.033333333333,7.700282456099004,,,68.3004201215982
175653,5855.066666666667,7.700282456099004,,,69.5247644960715
175654,5855.1,7.700282456099004,,,56.22899382206102
175655,5855.133333333333,7.700282456099208,,,40.400668750728414
175656,5855.166666666667,6.306978397940702,,,31.672697160085477
175657,5855.2,6.3069783979406004,,,19.475369292272926
175658,5855.233333333334,6.306978397940702,,,-4.230036060211969
175659,5855.266666666666,6.306978397940702,,,-12.344430090859127
175660,5855.3,6.3069783979406004,,,-33.09920666315769
175661,5855.333333333333,6.306978397940702,,,-59.49914463289633
175662,5855.366666666667,6.3069783979406004,,,-86.47058081612835
175663,5855.4,6.306978397940702,,,-80.78815339807353
175664,5855.433333333333,6.306978397940702,,,-78.9460808355869
175665,5855.466666666666,6.3069783979406004,,,-75.95636301788966
175666,5855.5,6.306978397940702,,,-60.88084507029903
175667,5855.533333333333,6.3069783979406004,,,-57.55742949923274
175668,5855.566666666667,6.306978397940702,,,-50.73902656340526
175669,5855.6,6.306978397940702,,,-30.830951590453147
175670,5855.633333333333,6.306978397940702,,,-10.27905935014612
175671,5855.666666666667,6.306978397940702,,,5.172673294854923
175672,5855.7,6.306978397940702,,,18.598518041255687
175673,5855.733333333334,6.306978397940702,,,26.066477274080327
175674,5855.766666666666,6.306978397940702,,,23.959547230750616
175675,5855.8,6.306978397940702,,,27.64518743399179
175676,5855.833333333333,6.173266774328496,,,30.235310332152043,4.990672492414759
