"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","capture-0011.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 ","17 ","18 ","19 ","20 ","21 ","22 ","23 "
80250,2674.9666666666667,-52.09602659665404
80251,2675,-78.18525610710128
80252,2675.0333333333333,,-88.89115803358247
80253,2675.0666666666666,,-95.43451615780376
80254,2675.1,,-79.14237062744174
80255,2675.133333333333,,-52.78134480260441
80256,2675.1666666666665,,-10.456888242448372
80257,2675.2,,16.431764751272528
80258,2675.233333333333,,42.11280183243193
80259,2675.2666666666664,,58.87450898144042
80260,2675.3,,58.02354909944627
80261,2675.3333333333335,,33.945202804199226
80262,2675.366666666667,,0.44530647439247795
80263,2675.4,,-34.02152337558845
80264,2675.4333333333334,,-55.92389126827371
80265,2675.4666666666667,,-71.93804331760474
80266,2675.5,,-77.8649023165066
80267,2675.5333333333333,,-65.83926958999638
80268,2675.5666666666666,,-26.685789312435116
80269,2675.6,,5.59751355381322
80270,2675.633333333333,,42.681457292747474
80271,2675.6666666666665,,69.18634297583459
80272,2675.7,,78.8780422816301
80273,2675.733333333333,,65.16830286305178
80274,2675.7666666666664,,36.48412276364108
80275,2675.8,,4.227982218935656
80276,2675.8333333333335,,-29.518204482498604
80277,2675.866666666667,,-49.835383129953485
80278,2675.9,,-71.47965703721282
80279,2675.9333333333334,,-80.43481980321286
80280,2675.9666666666667,,-78.12643534886548
80281,2676,,-45.70385241145074
80282,2676.0333333333333,,-17.8684178615635
80283,2676.0666666666666,,28.894393776561138
80284,2676.1,,61.21665814850503
80285,2676.133333333333,,82.00595125916665
80286,2676.1666666666665,,86.61033062670963
80287,2676.2,,58.884923483294656
80288,2676.233333333333,,35.298993776859426
80289,2676.2666666666664,,-2.1860256620521454
80290,2676.3,,-40.22276685108409
80291,2676.3333333333335,,-57.42693633932221
80292,2676.366666666667,,-76.6289979461631
80293,2676.4,,-71.95475873963291
80294,2676.4333333333334,,-55.775106389420294
80295,2676.4666666666667,,-12.25175065234235
80296,2676.5,,31.579677399436843
80297,2676.5333333333333,,63.683639572395016
80298,2676.5666666666666,,86.04006362179743
80299,2676.6,,95.52752910576525
80300,2676.633333333333,,93.38492464303285
80301,2676.6666666666665,,68.87515806165298
80302,2676.7,,26.50724704873504
80303,2676.733333333333,,-11.118150080522186
80304,2676.7666666666664,,-40.50162838351905
80305,2676.8,,-62.98799944540231
80306,2676.8333333333335,,-67.5033134205264
80307,2676.866666666667,,-53.010977684725226
80308,2676.9,,-19.519911285680298
80309,2676.9333333333334,,7.014762271808712
80310,2676.9666666666667,,53.37711640399092
80311,2677,,78.80756792277164
80312,2677.0333333333333,,98.72484992436522
80313,2677.0666666666666,,87.64617019064852
80314,2677.1,,61.79599663787891
80315,2677.133333333333,,16.941356605974836
80316,2677.1666666666665,,-19.05618482286738
80317,2677.2,,-54.91639921661495
80318,2677.233333333333,,-77.11531256437607
80319,2677.2666666666664,,-87.10971216974066
80320,2677.3,,-79.13907091137696
80321,2677.3333333333335,,-58.27627403369987
80322,2677.366666666667,,-18.083250133764416
80323,2677.4,,20.924866013198585
80324,2677.4333333333334,,54.84924778025108
80325,2677.4666666666667,,91.63848270730546
80326,2677.5,,93.32857134675977
80327,2677.5333333333333,,80.04169281303332
80328,2677.5666666666666,,53.41365928075017
80329,2677.6,,18.58943026404262
80330,2677.633333333333,,-25.375013970190953
80331,2677.6666666666665,,-41.14122904543784
80332,2677.7,,-59.15159220564499
80333,2677.733333333333,,-59.53993459962253
80334,2677.7666666666664,,-38.22093625241238
80335,2677.8,,-9.334619478990646
80336,2677.8333333333335,,29.80528260818121
80337,2677.866666666667,,67.18539979828388
80338,2677.9,,86.37667914126615
80339,2677.9333333333334,,95.34317902597402
80340,2677.9666666666667,,91.06012362631797
80341,2678,,64.12978354982188
80342,2678.0333333333333,,30.569410037878498
80343,2678.0666666666666,,-11.585906813489276
80344,2678.1,,-47.60676940256668
80345,2678.133333333333,,-65.03475478862738
80346,2678.1666666666665,,-79.08601752967718
80347,2678.2,,-69.22389980678247
80348,2678.233333333333,,-49.5511464787896
80349,2678.2666666666664,,-8.893036029517365
80350,2678.3,,29.008679907705776
80351,2678.3333333333335,,65.14437352885452
80352,2678.366666666667,,88.30296443328592
80353,2678.4,,88.70469294579308
80354,2678.4333333333334,,77.67074916972871
80355,2678.4666666666667,,33.090994656100705
80356,2678.5,,1.000986109953768
80357,2678.5333333333333,,-24.371559375050758
80358,2678.5666666666666,,-64.13720468963945
80359,2678.6,,-86.4768716590876
80360,2678.633333333333,,-94.1497562961844
80361,2678.6666666666665,,-92.97664586682976
80362,2678.7,,-64.13662378049447
80363,2678.733333333333,,-23.15051542215603
80364,2678.7666666666664,,8.701152930456306
80365,2678.8,,36.81248127583646
80366,2678.8333333333335,,57.20698668374246
80367,2678.866666666667,,67.79093434398669
80368,2678.9,,57.69333349789594
80369,2678.9333333333334,,28.204363280480507
80370,2678.9666666666667,,-8.359322832436215
80371,2679,,-33.09629761627443
80372,2679.0333333333333,,-68.28093883597123
80373,2679.0666666666666,,-85.28045369915267
80374,2679.1,,-105.16190618671584
80375,2679.133333333333,,-107.25915306396186
80376,2679.1666666666665,,-104.45669657238005
80377,2679.2,,-86.274640772239
80378,2679.233333333333,,-42.01875166223885
80379,2679.2666666666664,,-15.965642878403216
80380,2679.3,,-1.7093959425466898
80381,2679.3333333333335,,37.43957763633202
