"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","24-Sept-24.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 ","17 ","18 "
52166,1738.8333333333333,-55.748407310733626
52167,1738.8666666666666,,39.33208701838908
52168,1738.8999999999999,,62.13994668003561
52169,1738.9333333333334,,67.84697302090011
52170,1738.9666666666667,,46.96979300481888
52171,1739,,36.86739532672122
52172,1739.0333333333333,,41.86442049386376
52173,1739.0666666666666,,42.04678035100996
52174,1739.1,,35.681665889851885
52175,1739.1333333333332,,39.072276883942585
52176,1739.1666666666667,,35.24982097359908
52177,1739.2,,37.851760146138524
52178,1739.2333333333333,,72.89904240447255
52179,1739.2666666666667,,75.97692084462997
52180,1739.3,,78.54548550114816
52181,1739.3333333333333,,76.1710797318791
52182,1739.3666666666666,,75.24021978291698
52183,1739.3999999999999,,85.76705125264698
52184,1739.4333333333334,,74.57780015551029
52185,1739.4666666666667,,60.03056270813268
52186,1739.5,,58.60067643412211
52187,1739.5333333333333,,60.99921922901353
52188,1739.5666666666666,,70.2170043440662
52189,1739.6,,74.77665463298035
52190,1739.6333333333332,,26.139103228935593
52191,1739.6666666666667,,21.433905185409806
52192,1739.7,,18.079809882889737
52193,1739.7333333333333,,14.138529379088466
52194,1739.7666666666667,,0.6394190383500132
52195,1739.8,,0.5763476955704885
52196,1739.8333333333333,,-2.861626740316322
52197,1739.8666666666666,,-7.684066368222138
52198,1739.8999999999999,,-9.850117624152496
52199,1739.9333333333334,,-15.818643977955722
52200,1739.9666666666667,,-16.37544899648435
52201,1740,,-19.01105857013036
52202,1740.0333333333333,,-9.985648527603825
52203,1740.0666666666666,,-1.590109017637807
52204,1740.1,,-39.40087818200244
52205,1740.1333333333332,,-29.535363401012802
52206,1740.1666666666667,,-26.648219879474606
52207,1740.2,,-48.35928865973966
52208,1740.2333333333333,,-37.01594994750841
52209,1740.2666666666667,,-34.98815544010283
52210,1740.3,,-52.16783582091398
52211,1740.3333333333333,,-51.157237474746374
52212,1740.3666666666666,,-44.09987317940231
52213,1740.3999999999999,,-35.85630033753701
52214,1740.4333333333334,,-36.60455228194453
52215,1740.4666666666667,,-34.049972466246814
52216,1740.5,,-51.655729440229656
52217,1740.5333333333333,,-56.81396866263049
52218,1740.5666666666666,,-47.34484258258443
52219,1740.6,,-47.56354071376684
52220,1740.6333333333332,,-40.99418438412047
52221,1740.6666666666667,,-45.49517606757381
52222,1740.7,,-40.642007901283144
52223,1740.7333333333333,,-39.741952965845634
52224,1740.7666666666667,,-45.24355931250118
52225,1740.8,,-53.239069937227924
52226,1740.8333333333333,,-42.10850664239683
52227,1740.8666666666666,,-49.437849695824774
52228,1740.8999999999999,,-41.36662935936654
52229,1740.9333333333334,,-40.37397275579857
52230,1740.9666666666667,,-41.39689410654687
52231,1741,,-33.923552155612086
52232,1741.0333333333333,,-42.512849658483965
52233,1741.0666666666666,,-26.36043558489176
52234,1741.1,,-25.171221863060858
52235,1741.1333333333332,,-35.693509469249264
52236,1741.1666666666667,,-43.51491885592626
52237,1741.2,,-43.96054937508302
52238,1741.2333333333333,,-51.194349309269064
52239,1741.2666666666667,,-35.84070924241368
52240,1741.3,,-43.59078021225572
52241,1741.3333333333333,,-44.56727731977443
52242,1741.3666666666666,,-65.49297270591276
52243,1741.3999999999999,,-67.49345172444833
52244,1741.4333333333334,,-76.0106079754746
52245,1741.4666666666667,,-78.34101806115137
52246,1741.5,,-63.30443376645044
52247,1741.5333333333333,,-55.70269680626816
52248,1741.5666666666666,,-63.689112287977515
52249,1741.6,,-42.13537206244854
52250,1741.6333333333332,,-37.49774595935768
52251,1741.6666666666667,,-19.826919447510086
52252,1741.7,,-11.86390224983254
52253,1741.7333333333333,,-11.197286484510046
52254,1741.7666666666667,,-10.8744762925528
52255,1741.8,,-19.508287112016564
52256,1741.8333333333333,,-21.745491254015164
52257,1741.8666666666666,,-6.572365909824338
52258,1741.8999999999999,,-8.352682385887048
52259,1741.9333333333334,,-23.230753996011707
52260,1741.9666666666667,,-33.55295674135052
52261,1742,,-32.05567583497014
52262,1742.0333333333333,,-31.348044038714033
52263,1742.0666666666666,,-18.375298538321605
52264,1742.1,,-25.69303993547255
52265,1742.1333333333332,,-19.78720975065055
52266,1742.1666666666667,,-25.838034191258135
52267,1742.2,,-31.75783531806729
52268,1742.2333333333333,,-21.066354350826956
52269,1742.2666666666667,,-27.839340587412508
52270,1742.3,,-29.55998248919907
52271,1742.3333333333333,,-22.758917892438046
52272,1742.3666666666666,,-23.730643487409175
52273,1742.3999999999999,,-17.13017936820433
52274,1742.4333333333334,,-15.324225130764669
52275,1742.4666666666667,,-20.338373873992857
52276,1742.5,,-19.648253320709646
52277,1742.5333333333333,,-13.15791434531667
52278,1742.5666666666666,,-18.99837074868153
52279,1742.6,,-11.679148226834144
52280,1742.6333333333332,,-10.689114724419689
52281,1742.6666666666667,,-19.810708646394644
52282,1742.7,,-9.10647319543553
52283,1742.7333333333333,,-14.594864056375759
52284,1742.7666666666667,,-14.977434202510706
52285,1742.8,,-16.718190244487076
52286,1742.8333333333333,,-6.818567881649933
52287,1742.8666666666666,,-12.108511858589145
52288,1742.8999999999999,,-16.910089674373445
52289,1742.9333333333334,,-6.0370550355585335
52290,1742.9666666666667,,-2.964243851780157
52291,1743,,0.6866596412682224
52292,1743.0333333333333,,6.949592130986613
52293,1743.0666666666666,,0.14701054987650633
52294,1743.1,,10.491677510039484
