"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","9-Oct-25.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 "
50381,1679.3333333333333,-38.15739317940346
50382,1679.3666666666666,,-1.4083724844179206
50383,1679.3999999999999,,-1.712092821352738
50384,1679.4333333333334,,7.982357874526907
50385,1679.4666666666667,,163.13110388598008
50386,1679.5,,-176.90017479758262
50387,1679.5333333333333,,-167.37290522779656
50388,1679.5666666666666,,-169.3689364302979
50389,1679.6,,-172.7396369811815
50390,1679.6333333333332,,-146.30756276190758
50391,1679.6666666666667,,-114.89354567871025
50392,1679.7,,-52.02507316650801
50393,1679.7333333333333,,-29.47922538868819
50394,1679.7666666666667,,-1.07342050410995
50395,1679.8,,24.48917831431915
50396,1679.8333333333333,,32.149632068520454
50397,1679.8666666666666,,43.450441282142734
50398,1679.8999999999999,,30.455428300329466
50399,1679.9333333333334,,15.71026355248815
50400,1679.9666666666667,,-10.657488946524918
50401,1680,,-24.922504434808722
50402,1680.0333333333333,,-43.51874309726483
50403,1680.0666666666666,,-56.800127910516565
50404,1680.1,,-93.99299466008064
50405,1680.1333333333332,,-87.22745222582478
50406,1680.1666666666667,,-85.42004072573482
50407,1680.2,,-47.61155117654117
50408,1680.2333333333333,,-28.36858192540933
50409,1680.2666666666667,,3.4670511244827154
50410,1680.3,,10.571225947063658
50411,1680.3333333333333,,38.272977551858084
50412,1680.3666666666666,,52.35172333756461
50413,1680.3999999999999,,,,,,,,,,,
50414,1680.4333333333334,,,,,,,,,,,
50415,1680.4666666666667,,,,,,,,,,,
50416,1680.5,,,,,,,,,,,
50417,1680.5333333333333,,,,,,,,,,,
50418,1680.5666666666666,,,,,,,,,,,
50419,1680.6,,,,,,,,,,,
50420,1680.6333333333332,,,,,,,,,,,
50421,1680.6666666666667,,,,,,,,,,,
50422,1680.7,,,,,,,,,,,
50423,1680.7333333333333,,,,,,,,,,,
50424,1680.7666666666667,,,,,,,,,,,
50425,1680.8,,,,,,,,,,,
50426,1680.8333333333333,,,,,,,,,,,
50427,1680.8666666666666,,,,,,,,,,,
50428,1680.8999999999999,,,,,,,,,,,
50429,1680.9333333333334,,,,,,,,,,,
50430,1680.9666666666667,,,,,,,,,,,
50431,1681,,,,,,,,,,,
50432,1681.0333333333333,,,,,,,,,,,
50433,1681.0666666666666,,,,,,,,,,,
50434,1681.1,,,,,,,,,,,
50435,1681.1333333333332,,,,,,,,,,,
50436,1681.1666666666667,,,,,,,,,,,
50437,1681.2,,,,,,,,,,,
50438,1681.2333333333333,,,,,,,,,,,
50439,1681.2666666666667,,,,,,,,,,,
50440,1681.3,,,,,,,,,,,
50441,1681.3333333333333,,,,,,,,,,,
50442,1681.3666666666666,,,,,,,,,,,
50443,1681.3999999999999,,,,,,,,,,,
50444,1681.4333333333334,,,,,,,,,,,
50445,1681.4666666666667,,,,,,,,,,,
50446,1681.5,,,,,,,,,,,
50447,1681.5333333333333,,,,,,,,,,,
50448,1681.5666666666666,,,,,,,,,,,
50449,1681.6,,,,,,,,,,,
50450,1681.6333333333332,,,,,,,,,,,
50451,1681.6666666666667,,,,,,,,,,,
50452,1681.7,,,,,,,,,,,
50453,1681.7333333333333,,,,,,,,,,,
50454,1681.7666666666667,,,,,,,,,,,
50455,1681.8,,,,,,,,,,,
50456,1681.8333333333333,,,,,,,,,,,
50457,1681.8666666666666,,,,,,,,,,,
50458,1681.8999999999999,,,,,,,,,,,
50459,1681.9333333333334,,,,,,,,,,,
50460,1681.9666666666667,,,,,,,,,,,
50461,1682,,,,,,,,,,,
50462,1682.0333333333333,,,,,,,,,,,
50463,1682.0666666666666,,,,,,,,,,,
50464,1682.1,,,,,,,,,,,
50465,1682.1333333333332,,,,,,,,,,,
50466,1682.1666666666667,,,,,,,,,,,
50467,1682.2,,,,,,,,,,,
50468,1682.2333333333333,,,,,,,,,,,
50469,1682.2666666666667,,,,,,,,,,,
50470,1682.3,,,,,,,,,,,
50471,1682.3333333333333,,,,,,,,,,,
50472,1682.3666666666666,,,,,,,,,,,
50473,1682.3999999999999,,,,,,,,,,,
50474,1682.4333333333334,,,,,,,,,,,
50475,1682.4666666666667,,,,,,,,,,,
50476,1682.5,,,,,,,,,,,
50477,1682.5333333333333,,,,,,,,,,,
50478,1682.5666666666666,,,,,,,,,,,
50479,1682.6,,,,,,,,,,,
50480,1682.6333333333332,,,,,,,,,,,
50481,1682.6666666666667,,,,,,,,,,,
50482,1682.7,,,,,,,,,,,
50483,1682.7333333333333,,,,,,,,,,,
50484,1682.7666666666667,,,,,,,,,,,
50485,1682.8,,,,,,,,,,,
50486,1682.8333333333333,,,,,,,,,,,
50487,1682.8666666666666,,,,,,,,,,,
50488,1682.8999999999999,,,,,,,,,,,
50489,1682.9333333333334,,,,,,,,,,,
50490,1682.9666666666667,,,,,,,,,,,
50491,1683,,,,,,,,,,,
50492,1683.0333333333333,,,,,,,,,,,
50493,1683.0666666666666,,,,,,,,,,,
50494,1683.1,,,,,,,,,,,
50495,1683.1333333333332,,,,,,,,,,,
50496,1683.1666666666667,,,,,,,,,,,
50497,1683.2,,,,,,,,,,,
50498,1683.2333333333333,,,,,,,,,,,
50499,1683.2666666666667,,,,,,,,,,,
50500,1683.3,,,,,,,,,,,
50501,1683.3333333333333,,,,,,,,,,,
50502,1683.3666666666666,,,,,,,,,,,
50503,1683.3999999999999,,,,,,,,,,,
50504,1683.4333333333334,,,,,,,,,,,
50505,1683.4666666666667,,,,,,,,,,,
50506,1683.5,,,,,,,,,,,
50507,1683.5333333333333,,,,,,,,,,,
50508,1683.5666666666666,,,,,,,,,,,
50509,1683.6,,,,,,,,,,,
50510,1683.6333333333332,,,,,,,,,,,
50511,1683.6666666666667,,,,,,,,,,,
50512,1683.7,,,,,,,,,,,
50513,1683.7333333333333,,,,,,,,,,,
50514,1683.7666666666667,,,,,,,,,,,
50515,1683.8,,,,,,,,,,,
50516,1683.8333333333333,,,,,,,,,,,
50517,1683.8666666666666,,,,,,,,,,,
50518,1683.8999999999999,,,,,,,,,,,
50519,1683.9333333333334,,,,,,,,,,,
50520,1683.9666666666667,,,,,,,,,,,
50521,1684,,,,,,,,,,,
50522,1684.0333333333333,,,,,,,,,,,
50523,1684.0666666666666,,,,,,,,,,,
50524,1684.1,,,,,,,,,,,
50525,1684.1333333333332,,,,,,,,,,,
50526,1684.1666666666667,,,,,,,,,,,
50527,1684.2,,,,,,,,,,,
50528,1684.2333333333333,,,,,,,,,,,
50529,1684.2666666666667,,,,,,,,,,,
50530,1684.3,,,,,,,,,,,
50531,1684.3333333333333,,,,,,,,,,,
50532,1684.3666666666666,,,,,,,,,,,
50533,1684.3999999999999,,,,,,,,,,,
50534,1684.4333333333334,,,,,,,,,,,
50535,1684.4666666666667,,,,,,,,,,,
50536,1684.5,,,,,,,,,,,
50537,1684.5333333333333,,,,,,,,,,,
50538,1684.5666666666666,,,,,,,,,,,
50539,1684.6,,,,,,,,,,,
50540,1684.6333333333332,,,,,,,,,,,
50541,1684.6666666666667,,,,,,,,,,,
50542,1684.7,,,,,,,,,,,
50543,1684.7333333333333,,,,,,,,,,,
50544,1684.7666666666667,,,,,,,,,,,
50545,1684.8,,,,,,,,,,,
50546,1684.8333333333333,,,,,,,,,,,
50547,1684.8666666666666,,,,,,,,,,,
50548,1684.8999999999999,,,,,,,,,,,
50549,1684.9333333333334,,,,,,,,,,,
50550,1684.9666666666667,,,,,,,,,,,
50551,1685,,,,,,,,,,,
50552,1685.0333333333333,,,,,,,,,,,
50553,1685.0666666666666,,,,,,,,,,,
50554,1685.1,,,,,,,,,,,
50555,1685.1333333333332,,,,,,,,,,,
