"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","06-Oct-25.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 ","17 ","18 ","19 ","20 ","21 ","22 ","23 ","24 ","25 ","26 ","27 ","28 ","29 ","30 ","31 ","32 ","33 ","34 ","35 ","36 ","37 ","38 ","39 ","40 ","41 ","42 ","43 ","44 ","45 ","46 ","47 ","48 "
30374,1012.4333333333333,27.79447117625676,4.737489377656146,11.107589475497088
30375,1012.4666666666667,28.071874990939804,,-1.2861445600386503,8.14029542551423
30376,1012.5,21.446968093716066,,3.1612438797621,8.14029542551423
30377,1012.5333333333333,19.960236764792505,,3.286037045204543,8.14029542551423
30378,1012.5666666666666,28.29117432466513,,-0.4001412208448918,8.14029542551423
30379,1012.6,29.552000796627162,,-0.12814481211935333,8.14029542551423
30380,1012.6333333333333,18.498695619846334,,0.48254586395852866,8.14029542551423
30381,1012.6666666666666,17.698572686604315,,1.0933516094178668,8.14029542551423
30382,1012.6999999999999,29.11675841184003,,6.069749742894329,8.14029542551423
30383,1012.7333333333333,31.544986926316806,,6.055307065282491,8.14029542551423
30384,1012.7666666666667,29.758096081270896,,11.107589475497775,4.737489377656172
30385,1012.8,30.01725660432896,,-1.286144560441385,8.14029542551339
30386,1012.8333333333334,30.09289060112213,,3.1612438793880413,8.14029542551423
30387,1012.8666666666667,30.17712049838533,,3.2860370448639946,8.140295425513747
30388,1012.9,32.35716733439034,,-0.40014122115276946,8.14029542551423
30389,1012.9333333333333,32.376901862681706,,-0.12814481238405181,8.140295425513747
30390,1012.9666666666667,34.07099606019446,,0.48254586373871416,8.14029542551423
30391,1013,34.167883189744025,,1.09335160925431,8.140295425513747
30392,1013.0333333333333,34.0244652570249,,6.0697497427799565,8.14029542551423
30393,1013.0666666666666,34.50006389658935,,6.05530706521542,8.140295425513747
30394,1013.1,34.6672901493055,,11.10758947549836,4.737489377655613
30395,1013.1333333333333,36.9485324719046,,-1.286144560441385,8.140295425513747
30396,1013.1666666666666,37.47369527502807,,3.1612438793880413,8.140295425513747
30397,1013.1999999999999,28.137185206713,,3.2860370448639946,8.14029542551423
30398,1013.2333333333333,23.560976545422967,,-0.40014122115276946,8.140295425513747
30399,1013.2666666666667,22.721432710584665,,-0.12814481238405181,8.14029542551423
30400,1013.3,29.127304287448837,,0.48254586373871416,8.140295425513747
30401,1013.3333333333334,26.0479739139912,,1.09335160925431,8.14029542551423
30402,1013.3666666666667,22.629072466454407,,6.0697497427799565,8.140295425513747
30403,1013.4,18.890937401398574,,6.05530706521542,8.14029542551423
30404,1013.4333333333333,16.770821403937983,,11.10758947549836,4.737489377655613
30405,1013.4666666666667,13.990787769007962,,,8.140295425513747,-5.50171237461307
30406,1013.5,13.90513558057989,,,8.140295425513747,-5.50171237461307
30407,1013.5333333333333,6.700405000089382,,,8.14029542551423,-5.50171237461307
30408,1013.5666666666666,3.1753464907964597,,,8.140295425513747,-5.50171237461307
30409,1013.6,2.1510444480852726,,,8.14029542551423,-5.50171237461307
30410,1013.6333333333333,0.5155887817325849,,,2.028675517795478,-2.374484428117567
30411,1013.6666666666666,-2.6050852641802544,,,2.0286755177954525,-2.38252414916054
30412,1013.6999999999999,-5.3743611619833285,,,2.028675517795478,-2.3897369341155574
30413,1013.7333333333333,-7.705430133438551,,,2.0286755177954525,-2.232913253011692
30414,1013.7666666666667,-11.387130958579478,,,1.7604052369399679,-0.3064480951260976
30415,1013.8,-14.825448783373568,,,2.0286755177954525,0.229034830263602
30416,1013.8333333333334,-21.19769452929093,,,2.028675517795478,-2.109743895050471
30417,1013.8666666666667,-20.82759818132634,,,2.0286755177954525,-1.8461898690756817
30418,1013.9,-22.39508328174389,,,8.140295425513747,-1.2910796234316315
30419,1013.9333333333333,-28.360240717731273,,,8.14029542551423,-5.027063156251545
30420,1013.9666666666667,-29.175769058247425,,,8.140295425513747,-5.512041695308865
30421,1014,-30.018091573826723,,,8.14029542551423,-4.667564798032478
30422,1014.0333333333333,-30.833147010871922,,,8.176043343476355,-6.9247753348483645
30423,1014.0666666666666,-30.660515441708508,,,8.176043343477831,-6.9247753348483645
30424,1014.1,-33.03001634228146,,,0.4940610229868582,-6.924775334848552
30425,1014.1333333333333,-32.81110422227432,,,8.176043343477831,-6.036049245868384
30426,1014.1666666666666,-31.977621411984686,,,8.176043343476481,-6.84892989676042
30427,1014.1999999999999,-32.96087651212248,,,-0.735286066356184,-6.848929896760649
30428,1014.2333333333333,-32.942568439103034,,,1.2605782653529083,-6.821357784800716
30429,1014.2666666666667,-35.846195154220716,,,3.3403162060359777,-6.416788553240783
30430,1014.3,-35.49845253329719,,,3.3403162060349603,-6.821357784800716
30431,1014.3333333333334,-35.878713954284294,,,3.3403162060359777,-6.821357784800079
30432,1014.3666666666667,-35.878713954284294,,,3.3403162060349603,-6.821357784800716
30433,1014.4,-36.339706447269826,,,3.3403162060359777,-6.821357784800079
30434,1014.4333333333333,-35.53481370673492,,,-0.6205058046588334,-6.821357784800079
30435,1014.4666666666667,-36.007354933646056,,,3.340316206035393,-6.821357784800716
30436,1014.5,-35.577263035838406,,,3.340316206035393,-6.821357784800079
30437,1014.5333333333333,-35.96991588463488,,,3.340316206035393,-6.821357784800716
30438,1014.5666666666666,-37.03199569552735,,,3.340316206035393,-6.821357784800079
30439,1014.6,-36.96568500530958,,,3.340316206035393,-6.821357784800716
