"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","Test_Test80001.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 "
18537,617.8666666666667,37.91321934655807,-33.22045352951158
18538,617.9,54.90896720243107,,-6.726329664044586
18539,617.9333333333333,60.72896337478703,,-6.726329664044586
18540,617.9666666666667,51.38921127371068,,-6.8946757741633675
18541,618,25.24123780253482,,-9.265881859087223
18542,618.0333333333333,2.1020764518083026,,-6.726329664044586
18543,618.0666666666666,-22.786582992231203,,-6.8946757741633675
18544,618.1,-51.94180486351737,,-6.775154948926851
18545,618.1333333333333,-80.44986385395626,,-6.8946757741633675
18546,618.1666666666666,-90.83997148534294,,-8.937538232816422
18547,618.2,-89.3908838320838,,-28.47129747491806
18548,618.2333333333333,-75.798891056012,,-32.60073751581328
18549,618.2666666666667,-43.84748428324382,,-38.55491889096391
18550,618.3,-20.11596373630589,,-42.26010817526793
18551,618.3333333333334,4.687269849024304,,-33.34312228762865
18552,618.3666666666667,27.64669405611586,,-28.602140821970636
18553,618.4,44.12656127787417,,-38.73088695508031
18554,618.4333333333333,63.10408915102054,,-33.34312228762865
18555,618.4666666666667,71.88466839994037,,-33.34312228762865
18556,618.5,66.43396210174384,,-32.73583588636278
18557,618.5333333333333,43.77174091265274,,-33.34312228762893
18558,618.5666666666666,22.071457691156343,,-32.73583588636306
18559,618.6,-0.0883563761075135,,-29.04608182200258
18560,618.6333333333333,-25.5183734544926,,-30.959127716814784
18561,618.6666666666666,-59.00744563482366,,-8.916082429083916
18562,618.7,-76.20389797854143,,-6.594343183957152
18563,618.7333333333333,-87.30327419857933,,-6.594343183956592
18564,618.7666666666667,-96.22657523475759,,-6.775154948927411
18565,618.8,-94.45484871080669,,-6.775154948926851
18566,618.8333333333334,-62.12266096696185,,-6.775154948927411
18567,618.8666666666667,-30.43792390063199,,-30.72048484511499
18568,618.9,-8.000433880265286,,-6.775154948926851
18569,618.9333333333333,19.621997116265742,,-6.775154948927411
18570,618.9666666666667,40.11628425857104,,-6.775154948926851
18571,619,55.833306847192866,,-30.966262097005025
18572,619.0333333333333,81.09018531525858,,-10.284839719208353
18573,619.0666666666666,91.38473916753524,,-6.775154948927411
18574,619.1,98.21079570722009,,-10.284839719208353
18575,619.1333333333333,93.93951304407382,,-6.775154948927411
18576,619.1666666666666,65.15759246000478,,-6.594343183956592
18577,619.2,45.70159635326729,,-11.32739487324174
18578,619.2333333333333,11.558053894391078,,-6.775154948927411
18579,619.2666666666667,-8.063682556518552,,-6.594343183956592
18580,619.3,-34.46259938708776,,-6.594343183957152
18581,619.3333333333334,-49.86530991197918,,-29.04608182200258
18582,619.3666666666667,-64.00046744339069,,-32.73583588636306
18583,619.4,-89.68720552120598,,-32.70955121467903
18584,619.4333333333333,-103.31455047832569,,-32.73583588636306
18585,619.4666666666667,-118.48054593584841,,-32.73583588636278
18586,619.5,-132.11907780471935,,-32.73583588636306
18587,619.5333333333333,-143.58161671789284,,-32.70955121467967
18588,619.5666666666666,-146.7366305500692,,-32.70955121467903
18589,619.6,-153.84466627842735,,-32.73583588636306
18590,619.6333333333333,-162.57542020369416,,-29.04608182200258
18591,619.6666666666666,-171.38035506614048,,-32.70955121467967
18592,619.7,176.58626983210348,,-10.284839719208861
18593,619.7333333333333,173.0412977955995,,-14.029630503710724
18594,619.7666666666667,-166.67534628405468,,-14.429749467730446
18595,619.8,-158.86031982808345,,-13.418088453256638
18596,619.8333333333334,-131.54717691627033,,-10.704403633740647
18597,619.8666666666667,-117.21338277107601,,-28.917788165238154
18598,619.9,-86.75511987899934,,-31.310519571294677
18599,619.9333333333333,-43.125933518927134,,-31.137136717403216
18600,619.9666666666667,-24.108249259846588,,-6.775154948927411
18601,620,1.1234030497880563,,-10.704403633740977
18602,620.0333333333333,20.21895249909247,,-6.157108966109966
18603,620.0666666666666,35.02912327866362,,-6.594343183956592
18604,620.1,57.59585679767469,,-6.594343183957152
18605,620.1333333333333,69.02129995056079,,-6.594343183956592
18606,620.1666666666666,86.18946855248144,,-6.594343183957152
18607,620.2,90.17083801200992,,-30.732806154951387
18608,620.2333333333333,90.74374736348314,,-6.805061704105905
18609,620.2666666666667,72.47576779887147,,-6.805061704106414
18610,620.3,55.3881272358742,,-9.239414118989327
18611,620.3333333333334,27.338189335950958,,-9.089248851507953
18612,620.3666666666667,6.599938905879497,,-9.060658068685132
18613,620.4,-18.089527478747122,,-8.916082429083993
18614,620.4333333333333,-41.53899142163765,,-6.775154948926851
18615,620.4666666666667,-67.12802198133133,,-6.775154948927411
18616,620.5,-83.26890443008067,,-6.594343183956592
18617,620.5333333333333,-114.21025527617152,,-11.10217130189328
18618,620.5666666666666,-126.6697767737168,,-6.594343183957152
18619,620.6,-138.0629401156712,,-6.775154948926851
18620,620.6333333333333,-156.80207966957292,,-6.594343183957152
18621,620.6666666666666,-169.2185883838989,,-6.594343183956592
18622,620.7,-168.12223237982676,,-6.594343183957152
18623,620.7333333333333,-169.8122871109139,,-6.594343183957152
18624,620.7666666666667,-175.97721059314506,,-9.060658068685209
18625,620.8,-177.78225561472925,,-6.594343183957152
18626,620.8333333333334,172.2765761863189,,-6.594343183957152
18627,620.8666666666667,156.23564865877628,,-31.771196808399228
18628,620.9,143.84642318698945,,-8.916082429083993
18629,620.9333333333333,151.94473753805107,,-6.594343183957152
18630,620.9666666666667,163.12278085635143,,-6.594343183957152
18631,621,-178.0897850219733,,-6.594343183957152
18632,621.0333333333333,178.22174982833343,,-6.594343183957152
