"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","capture-0001.avi"

,,"Track"
"Frame","Time","1 ","2 "
164455,5481.8,-105.4596688507352,-4.40504194981937
164456,5481.833333333333,-106.44962500498646,-3.892396687377126
164457,5481.866666666667,-107.25545442250962,-3.1707850424003143
164458,5481.9,-108.87830587141484,-2.1537969803153914
164459,5481.933333333333,-108.48324782652625,-1.6798662624380025
164460,5481.966666666666,-110.94323167799831,-2.592607225796734
164461,5482,-112.42620090777622,-1.9902999758966582
164462,5482.033333333333,-116.59625106832195,-1.9714314929178007
164463,5482.066666666667,-119.56625763244978,-4.534149238646225
164464,5482.1,-119.89909483065742,-4.439538060960407
164465,5482.133333333333,-122.74043465462286,-5.019128447842134
164466,5482.166666666667,-124.75674841454328,-2.0635615657093944
164467,5482.2,-124.46940360647696,-3.444992186853325
164468,5482.233333333334,-119.43039874711836,-5.207317330114364
164469,5482.266666666666,-113.03346017187387,-3.510580146743686
164470,5482.3,-112.6462923494574,-4.499644729134142
164471,5482.333333333333,-115.53018673766577,-5.482247079158993
164472,5482.366666666667,-109.30096055768654,-5.34819877029335
164473,5482.4,-103.42894120806282,-1.8948847747679407
164474,5482.433333333333,-110.09475620333849,-1.7309081465565233
164475,5482.466666666666,-110.66929750946991,-1.43674638095129
164476,5482.5,-110.01333476756783,-0.6110887433572963
164477,5482.533333333333,-114.9231486257971,-2.236850325558501
164478,5482.566666666667,-117.71763888048417,-2.1670091681862553
164479,5482.6,-118.84378500421376,-1.4200349641166266
164480,5482.633333333333,-121.1095139566379,-1.5784918797942908
164481,5482.666666666667,-117.4179128072083,-2.3192504114955814
164482,5482.7,-117.03936871955368,-2.642008756162568
164483,5482.733333333334,-114.36106619257457,-2.3767218520941285
164484,5482.766666666666,-114.52164523088499,-3.790879754059885
164485,5482.8,-113.35282823212125,-1.7594343204291494
164486,5482.833333333333,-108.78673842073847,-2.1991097562382285
164487,5482.866666666667,-117.69400739048409,-4.018514998771888
164488,5482.9,-126.57007747793656,-3.236137625536633
164489,5482.933333333333,-122.36892417809621,-5.005138605595636
164490,5482.966666666666,-123.75049097123325,-6.124150272137753
164491,5483,-120.60288591083331,-5.303598192190369
