"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","3-Oct-25.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 "
93060,3101.9666666666667,-3.3896009243603107,-67.38340725333708
93061,3102,-3.3896009243603102,,-123.84435993820337
93062,3102.0333333333333,-3.3896009243603107,,-129.5235109930151
93063,3102.0666666666666,-3.3896009243603107,,-132.74687520259522
93064,3102.1,-3.3896009243603107,,-132.26967336954704
93065,3102.133333333333,-3.3896009243603107,,-122.8306912839027
93066,3102.1666666666665,-3.3896009243603107,,-134.45980771797213
93067,3102.2,-3.3896009243603107,,-135.95074748776514
93068,3102.233333333333,-3.3896009243603107,,-137.06891203337364
93069,3102.2666666666664,-3.3896009243603107,,-135.49162850484302
93070,3102.3,-3.3896009243603107,,-131.70066497970427
93071,3102.3333333333335,-3.3896009243603107,,-133.05381320859567
93072,3102.366666666667,-3.3896009243603102,,-133.1463245855433
93073,3102.4,-3.3896009243603102,,-131.86982382854214
93074,3102.4333333333334,-3.3896009243603102,,-132.07878377861763
93075,3102.4666666666667,-3.3896009243603107,,-131.7707344805324
93076,3102.5,-3.3896009243603102,,-130.93413823206348
93077,3102.5333333333333,-3.3896009243603107,,-91.12814743851331
93078,3102.5666666666666,-3.3896009243603102,,-90.13568788201049
93079,3102.6,-3.3896009243603107,,-90.13568788200938
93080,3102.633333333333,-3.3896009243603102,,-127.35194103525279
93081,3102.6666666666665,-3.3896009243603102,,-130.0161920910194
93082,3102.7,-3.3896009243603107,,-128.22754055545914
93083,3102.733333333333,-3.3896009243603102,,-127.52527710533586
93084,3102.7666666666664,-3.3896009243603107,,-127.28276167743773
93085,3102.8,-3.3896009243603102,,-128.34718966112945
93086,3102.8333333333335,-3.3896009243603107,,-132.63818126168346
93087,3102.866666666667,-3.3896009243603102,,-131.76640642705658
93088,3102.9,-3.3896009243603102,,-131.51219090744488
93089,3102.9333333333334,-3.3896009243603107,,-120.86848161584342
93090,3102.9666666666667,-3.3896009243603102,,-128.9161976678459
93091,3103,-3.3896009243603102,,-130.14683643083137
93092,3103.0333333333333,-3.3896009243603107,,-128.0551295594554
93093,3103.0666666666666,-3.3896009243603102,,-122.5359791637613
93094,3103.1,-3.3896009243603107,,-92.16446507026043
93095,3103.133333333333,-3.3896009243603102,,-83.44379131264887
93096,3103.1666666666665,-3.3896009243603107,,-84.28852310968479
93097,3103.2,-3.3896009243603102,,-79.34230700194009
93098,3103.233333333333,-3.3896009243603107,,-79.8105784200103
93099,3103.2666666666664,-3.3896009243603102,,-82.55281845499223
93100,3103.3,-3.3896009243603102,,-119.85401397123096
93101,3103.3333333333335,-3.3896009243603102,,-114.92434672297641
93102,3103.366666666667,-3.3896009243603107,,-118.03641808357708
93103,3103.4,-3.3896009243603102,,-112.1070736422156
93104,3103.4333333333334,-3.3896009243603107,,-117.87991161704949
93105,3103.4666666666667,-3.3896009243603102,,-124.60248234676689
93106,3103.5,-3.3896009243603102,,-117.10899678802538
93107,3103.5333333333333,-3.3896009243603102,,-119.28022006085271
93108,3103.5666666666666,-3.3896009243603102,,-110.87084941978009
93109,3103.6,-3.3896009243603102,,-124.19089496379598
93110,3103.633333333333,-3.3896009243603102,,-124.14318391736983
93111,3103.6666666666665,-3.3896009243603102,,-121.63057290148113
93112,3103.7,-3.3896009243603102,,-118.84832784553777
93113,3103.733333333333,-3.3896009243603102,,-125.49835152067993
93114,3103.7666666666664,-3.3896009243603102,,-117.51197970703231
93115,3103.8,-3.3896009243603102,,-125.3185232136159
93116,3103.8333333333335,-3.3896009243603102,,-125.22637163582905
93117,3103.866666666667,-3.3896009243603102,,-116.61790363042316
93118,3103.9,-3.3896009243603102,,-115.53737484387382
93119,3103.9333333333334,-3.3896009243603102,,-115.72231697914349
93120,3103.9666666666667,-3.3896009243603102,,-118.38697658616609
93121,3104,-3.3896009243603102,,-120.35238166165577
93122,3104.0333333333333,-3.3896009243603102,,-124.08365946754024
93123,3104.0666666666666,-3.3896009243603102,,-123.2165763651996
93124,3104.1,-3.3896009243603102,,-123.76626046985932
93125,3104.133333333333,-3.3896009243603102,,-124.1955637915395
93126,3104.1666666666665,-3.3896009243603102,,-123.09775014982054
93127,3104.2,-3.3896009243603102,,-123.2528060195135
93128,3104.233333333333,-3.3896009243603102,,-119.11399146303982
93129,3104.2666666666664,-3.3896009243603102,,-121.05151206386607
93130,3104.3,-3.3896009243603102,,-120.64232357126497
93131,3104.3333333333335,-3.3896009243603102,,-120.82192047689989
93132,3104.366666666667,-3.3896009243603102,,-120.53033584153398
93133,3104.4,-3.3896009243603102,,-120.85889553270378
93134,3104.4333333333334,-3.3896009243603102,,-121.34687756653317
93135,3104.4666666666667,-3.3896009243603102,,-121.28887595405003
93136,3104.5,-3.3896009243603102,,-121.64510237280798
93137,3104.5333333333333,-3.3896009243603102,,-119.97499466565901
93138,3104.5666666666666,-3.3896009243603102,,-116.99206294386708
93139,3104.6,-3.3896009243603102,,-111.28675670487941
93140,3104.633333333333,-3.3896009243603102,,-112.29172700999048
93141,3104.6666666666665,-3.3896009243603102,,-118.4111117937524
93142,3104.7,-3.3896009243603102,,-120.57788783568877
93143,3104.733333333333,-3.3896009243603102,,-120.18904102977072
93144,3104.7666666666664,-3.3896009243603102,,-120.88293948196761
93145,3104.8,-3.3896009243603102,,-119.56586036371442
93146,3104.8333333333335,-3.3896009243603102,,-118.83311311165728
93147,3104.866666666667,-3.3896009243603102,,-118.34887812029359
93148,3104.9,-3.3896009243603102,,-118.8087787841783
