"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 "
54727,1824.2,15.411722424074641
54728,1824.2333333333333,,34.649921903865994
54729,1824.2666666666667,,38.44359453639269
54730,1824.3,,12.42653107882819
54731,1824.3333333333333,,6.00590575023105
54732,1824.3666666666666,,14.398751624586724
54733,1824.3999999999999,,44.66099927978446
54734,1824.4333333333334,,62.33808010424351
54735,1824.4666666666667,,76.29416382183885
54736,1824.5,,63.484064066400535
54737,1824.5333333333333,,43.7509970071726
54738,1824.5666666666666,,,24.669373742345513
54739,1824.6,,,8.659816115675643
54740,1824.6333333333332,,,-4.403542182807363
54741,1824.6666666666667,,,-20.1607697547599
54742,1824.7,,,-31.898180529266753
54743,1824.7333333333333,,,-34.94686678371936
54744,1824.7666666666667,,,-13.283800800461991
54745,1824.8,,,18.008700257470906
54746,1824.8333333333333,,,41.823773460788146
54747,1824.8666666666666,,,44.343761677418804
54748,1824.8999999999999,,,65.56399769222367
54749,1824.9333333333334,,,,81.22842648604794
54750,1824.9666666666667,,,,99.59709674825514
54751,1825,,,,82.52660493092112
54752,1825.0333333333333,,,,54.002475496067746
54753,1825.0666666666666,,,,21.727161505341222
54754,1825.1,,,,-12.620453363686632
54755,1825.1333333333332,,,,-31.416973785992692
54756,1825.1666666666667,,,,-67.21034559835269
54757,1825.2,,,,-57.32613206223117
54758,1825.2333333333333,,,,,-27.478737983120613
54759,1825.2666666666667,,,,,-13.546226516008305
54760,1825.3,,,,,17.030622251901704
54761,1825.3333333333333,,,,,41.63695510513605
54762,1825.3666666666666,,,,,52.92562349551036
54763,1825.3999999999999,,,,,66.19274703537873
54764,1825.4333333333334,,,,,60.635509453966044
54765,1825.4666666666667,,,,,30.9671867970693
54766,1825.5,,,,,2.510787119620541
54767,1825.5333333333333,,,,,-19.15913481458731
54768,1825.5666666666666,,,,,-47.05097012781386
54769,1825.6,,,,,-62.20567057815404
54770,1825.6333333333332,,,,,-75.87346272484163
54771,1825.6666666666667,,,,,-58.61985650642386
54772,1825.7,,,,,-22.262692925457543
54773,1825.7333333333333,,,,,0.3737560441691716
54774,1825.7666666666667,,,,,7.126972252816117
54775,1825.8,,,,,46.0418240305363
54776,1825.8333333333333,,,,,70.38558092225277
54777,1825.8666666666666,,,,,69.91604557311423
54778,1825.8999999999999,,,,,42.59966687224452
54779,1825.9333333333334,,,,,10.492943512975103
54780,1825.9666666666667,,,,,-14.011337635185752
54781,1826,,,,,-40.535300111257584
54782,1826.0333333333333,,,,,-35.8338818319987
54783,1826.0666666666666,,,,,-58.23370569300177
54784,1826.1,,,,,-85.72210712533061
54785,1826.1333333333332,,,,,-78.42663505070276
54786,1826.1666666666667,,,,,-36.571470928964565
54787,1826.2,,,,,-0.26688041865777423
54788,1826.2333333333333,,,,,11.529338668991114
54789,1826.2666666666667,,,,,29.82623057757566
54790,1826.3,,,,,53.37019979189327
54791,1826.3333333333333,,,,,72.86319079123759
54792,1826.3666666666666,,,,,76.09143592242317
54793,1826.3999999999999,,,,,34.123178781566956
54794,1826.4333333333334,,,,,6.522904731101702
54795,1826.4666666666667,,,,,-4.116977788576864
54796,1826.5,,,,,-32.300827102138165
54797,1826.5333333333333,,,,,-54.473361851919314
54798,1826.5666666666666,,,,,-70.43580046552307
54799,1826.6,,,,,-65.8460132377293
54800,1826.6333333333332,,,,,-28.286226995511186
54801,1826.6666666666667,,,,,8.21436894466245
54802,1826.7,,,,,23.163051036446802
54803,1826.7333333333333,,,,,51.30656772795202
54804,1826.7666666666667,,,,,65.59318156164
54805,1826.8,,,,,74.93336118375467
54806,1826.8333333333333,,,,,58.78417410104849
54807,1826.8666666666666,,,,,33.65132515306284
54808,1826.8999999999999,,,,,1.288578101943442
54809,1826.9333333333334,,,,,-11.892488772595408
54810,1826.9666666666667,,,,,-25.35435452470592
54811,1827,,,,,-56.490589468168
54812,1827.0333333333333,,,,,-64.16404212340414
54813,1827.0666666666666,,,,,-54.731021625946774
54814,1827.1,,,,,-20.331595268293984
54815,1827.1333333333332,,,,,10.289214840021211
54816,1827.1666666666667,,,,,24.494773152873204
54817,1827.2,,,,,44.37090178518756
54818,1827.2333333333333,,,,,58.96134929611933
54819,1827.2666666666667,,,,,42.75222726387615
54820,1827.3,,,,,15.871531350319364
54821,1827.3333333333333,,,,,0.6421442438035014
54822,1827.3666666666666,,,,,-18.88551576426367
54823,1827.3999999999999,,,,,-45.60896215559457
54824,1827.4333333333334,,,,,-56.586524748128184
54825,1827.4666666666667,,,,,-82.19119772182884
54826,1827.5,,,,,-77.64903759236952
54827,1827.5333333333333,,,,,-48.3152890355766
54828,1827.5666666666666,,,,,-22.66492788932365
54829,1827.6,,,,,-3.182581761460653
54830,1827.6333333333332,,,,,23.31384676388308
54831,1827.6666666666667,,,,,56.932608293980394
54832,1827.7,,,,,67.72341284952863
54833,1827.7333333333333,,,,,69.56738616335844
54834,1827.7666666666667,,,,,40.199934907232986
54835,1827.8,,,,,20.602819991680423
54836,1827.8333333333333,,,,,-6.930985902034604
54837,1827.8666666666666,,,,,-51.375374905182404
54838,1827.8999999999999,,,,,-61.42031768989031
54839,1827.9333333333334,,,,,-67.92254484460594
54840,1827.9666666666667,,,,,-54.666208137659034
54841,1828,,,,,-2.7131677172102875
54842,1828.0333333333333,,,,,23.451423538097785
54843,1828.0666666666666,,,,,37.9002229335956
54844,1828.1,,,,,71.71333656137718
