"Worm Data","Position (um) of Centroid"
"Sequence","capture-0011.avi"

,,"Track"
"Frame","Time","1 x","1 y"
167706,5590.166666666667,1595.079923675549,1031.0426571305052
167707,5590.2,1594.9792190768626,1031.0468869520105
167708,5590.233333333334,1593.963324449745,1031.3395496263859
167709,5590.266666666666,1594.3856285969637,1031.2888227148123
167710,5590.3,1594.9792190768626,1031.0468869520105
167711,5590.333333333333,1594.9792190768626,1031.0468869520105
167712,5590.366666666667,1595.2562141126814,1030.816690057291
167713,5590.4,1595.2546807056326,1030.810539870096
167714,5590.433333333333,1595.5843225504718,1030.7630813859448
167715,5590.466666666666,1595.9038493233709,1030.6798905722633
167716,5590.5,1594.0964765968758,1031.2170543538177
167717,5590.533333333333,1595.5459390796186,1031.206235026058
167718,5590.566666666667,1596.3081462429684,1031.069773550321
167719,5590.6,1595.620529063674,1031.1947608327941
167720,5590.633333333333,1594.766702166784,1031.4334487399444
167721,5590.666666666667,1594.7014157025608,1031.3024921209153
167722,5590.7,1595.0034848176595,1031.068505831547
167723,5590.733333333334,1594.3582073533003,1031.4593296159521
167724,5590.766666666666,1594.354727665349,1031.4560013207806
167725,5590.8,1595.477378500414,1030.948838791242
167726,5590.833333333333,1594.7920240296583,1031.3139831562216
167727,5590.866666666667,1595.0353026563112,1030.9833515091102
167728,5590.9,1594.379283840298,1031.3522685554076
167729,5590.933333333333,1594.700885746813,1031.1494365160002
167730,5590.966666666666,1594.7325883340786,1031.4692833265312
167731,5591,1594.7928009265497,1031.4842385544973
167732,5591.033333333333,1594.8376612345523,1031.444236975366
167733,5591.066666666667,1594.2337005717352,1031.2201085593147
167734,5591.1,1594.5753264625257,1031.0578666629372
167735,5591.133333333333,1594.642866654883,1031.3825893705175
167736,5591.166666666667,1594.6817509710945,1031.3673220370433
167737,5591.2,1595.5198920573205,1031.1285218800913
167738,5591.233333333334,1595.5253219364872,1031.152013951496
167739,5591.266666666666,1595.3450642991224,1031.0143553472808
167740,5591.3,1595.562716050786,1030.9981353810326
167741,5591.333333333333,1595.4937720429493,1031.1373353941144
167742,5591.366666666667,1595.5515888224506,1031.1510804490938
167743,5591.4,1595.2776128368666,1031.0502897326871
167744,5591.433333333333,1595.3650394019255,1031.2813010046598
167745,5591.466666666666,1595.3622736955426,1031.1618074039684
167746,5591.5,1595.476475338578,1031.1782004224074
167747,5591.533333333333,1595.5085597387454,1031.1728962917518
167748,5591.566666666667,1595.47504609028,1031.172872420207
167749,5591.6,1595.4367772397468,1031.2744106207965
167750,5591.633333333333,1596.1662946449958,1031.046265814361
167751,5591.666666666667,1595.5047575970677,1030.9808539847174
167752,5591.7,1595.6076566355653,1031.161612317655
167753,5591.733333333334,1595.5407477670303,1031.087797966007
167754,5591.766666666666,1595.66233161082,1031.1364375664598
167755,5591.8,1595.4817124090398,1030.9847688087968
167756,5591.833333333333,1595.3621069056849,1031.0422533349333
167757,5591.866666666667,1595.3621069056849,1031.0422533349333
167758,5591.9,1596.046948852647,1030.600814963569
167759,5591.933333333333,1595.3493893825155,1031.2345425542962
167760,5591.966666666666,1595.2058794544416,1030.9973905691277
167761,5592,1595.4585115902703,1030.997685423271
167762,5592.033333333333,1594.813951734243,1031.2986205622326
167763,5592.066666666667,1595.5885191299071,1030.9542157320436
167764,5592.1,1595.9128029132467,1030.748425755587
167765,5592.133333333333,1595.9128029132467,1030.748425755587
167766,5592.166666666667,1596.0122119126963,1030.8568673626155
167767,5592.2,1596.1014730994702,1030.8027877789427
167768,5592.233333333334,1596.1014730994702,1030.8027877789427
167769,5592.266666666666,1594.1289619939444,1031.6074945956798
167770,5592.3,1594.2120283404076,1031.7543812555905
167771,5592.333333333333,1595.9817136647373,1031.0334210146598
167772,5592.366666666667,1595.9817136647373,1031.0334210146598
167773,5592.4,1596.0331816684406,1031.0583437446362
167774,5592.433333333333,1595.8709354449336,1030.7897352066088
167775,5592.466666666666,1595.9315921369118,1031.0435001985202
167776,5592.5,1595.8734654242567,1031.049841726225
167777,5592.533333333333,1595.9764661617696,1030.8917554654145
167778,5592.566666666667,1595.8854836547189,1031.009139454271
167779,5592.6,1595.992412231744,1031.034303267404
167780,5592.633333333333,1595.8412773778005,1031.0148488777047
167781,5592.666666666667,1596.003252844777,1030.7172746216443
167782,5592.7,1595.9036601211378,1031.0168137326361
167783,5592.733333333334,1595.4854341307766,1030.9933080946284
167784,5592.766666666666,1595.5089476193095,1031.129595201366
167785,5592.8,1595.9024544206009,1030.7442343081716
167786,5592.833333333333,1595.9390918783524,1030.7438077067586
167787,5592.866666666667,1595.9128029132467,1030.748425755587
167788,5592.9,1595.9247503041279,1031.069256594144
167789,5592.933333333333,1595.8709354449336,1030.7897352066088
167790,5592.966666666666,1595.9204814756301,1030.7608403878344
167791,5593,1595.9421065600432,1030.7742714823476
167792,5593.033333333333,1594.9608085249931,1031.140147895666
167793,5593.066666666667,1594.9478073232553,1031.128565515593
167794,5593.1,1594.9702592134788,1031.1181030337307
167795,5593.133333333333,1595.2538333555756,1031.0289852996657
167796,5593.166666666667,1595.4902672730948,1031.164343672668
167797,5593.2,1595.18575148909,1031.0624432030856
167798,5593.233333333334,1595.0880733913475,1031.041196347825
167799,5593.266666666666,1595.2340849925156,1031.2480790199922
167800,5593.3,1595.413033894548,1031.1869344417041
167801,5593.333333333333,1594.2075976265862,1031.5226437970389
167802,5593.366666666667,1594.7244802169525,1031.2800914070972
167803,5593.4,1594.7244802169525,1031.2800914070972
167804,5593.433333333333,1595.4298419836844,1031.1325144535244
