"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","capture-0011.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 ","17 ","18 ","19 ","20 ","21 ","22 ","23 ","24 ","25 ","26 ","27 ","28 ","29 ","30 ","31 ","32 ","33 ","34 ","35 ","36 ","37 ","38 ","39 ","40 ","41 ","42 ","43 ","44 ","45 ","46 ","47 ","48 ","49 ","50 ","51 ","52 ","53 ","54 ","55 ","56 ","57 ","58 ","59 ","60 ","61 ","62 ","63 "
44250,1474.9666666666667,1.5811459497693798,-0.6992813992455533,43.339394972039955
44251,1475,4.483998284164966,-2.2527748583859637,-12.741439187882248
44252,1475.0333333333333,3.16262388604302,0.5639581085528839,-43.153338363474916
44253,1475.0666666666666,2.523688970350009,-1.1869665781489953,-70.07392956991613
44254,1475.1,1.4822703399445847,0.890697089914387,-90.24039662192776
44255,1475.1333333333332,3.1922438815421503,0.23029931487316824,-93.5063424987365
44256,1475.1666666666667,2.0001959947290486,-0.10389523091213827,-91.75983272583464
44257,1475.2,1.8495707290191554,-0.3329573385921753,-83.2274303503713
44258,1475.2333333333333,-1.019518729382856,-3.9621111118449437,-71.87897588616661
44259,1475.2666666666667,1.5811459497685403,-0.5776940154633418,-39.66656148253272
44260,1475.3,1.8495707290191299,-0.6942684398165686,-20.622137364099256
44261,1475.3333333333333,2.7299864093547725,-0.6618497866099429,19.297164531067974
44262,1475.3666666666666,2.258991327554074,0.49550490430723104,48.30997800593307
44263,1475.4,2.8914277487157216,0.3830737096193467,72.26735996991984
44264,1475.4333333333334,2.6079528703940156,0.07714645157233704,89.26516284749073
44265,1475.4666666666667,0.8310789466543038,-0.437220708132369,91.21155967177671
44266,1475.5,1.1627100920204527,-0.7541619331679195,72.92943800639011
44267,1475.5333333333333,0.7215698826883,-0.20391560887396112,48.69024331449894
44268,1475.5666666666666,1.9198722168793136,-0.45638751853522996,2.5281265016427428
44269,1475.6,1.9198722168798734,-0.0004815102788103621,-32.105588935466294
44270,1475.6333333333332,2.7299864093547725,-0.2102502133223557,-68.68940073083708
44271,1475.6666666666667,1.9198722168798734,-0.21025021332300453,-85.09830787710389
44272,1475.7,1.693344963881945,-0.15335945231056458,-96.62643939494401
44273,1475.7333333333333,0.7215698826883,-0.2109664417156532,-103.40100273587247
44274,1475.7666666666667,0.7215698826883,-0.9847225111373867,-91.66818545741174
44275,1475.8,1.063214892257541,0.11755805705324102,-80.4818771873546
44276,1475.8333333333333,3.0478986406649313,-0.45243087270321447,-41.648638148635335
44277,1475.8666666666666,,0.8180717894732951,-10.101401686994073,1.9057912448823635
44278,1475.9,,0.633624178053625,26.419429939569767,0.7215698826874604
44279,1475.9333333333334,,0.2107870201412389,54.525844440542315,0.7215698826874604
44280,1475.9666666666667,,-0.034371733853597056,76.23353356558745,0.5880757260426578
44281,1476,,-0.12045527812955602,79.54475204702521,0.6213051144089615
44282,1476.0333333333333,,1.6810664165106608,75.15442676588935,0.6153188978962584
44283,1476.0666666666666,,1.6810664165106608,57.65042096839276,0.6153188978985739
44284,1476.1,,0.11278009560843402,32.14387530793219,0.6153188978962584
44285,1476.1333333333332,,-0.1162608653995284,-12.437009420726167,1.9198722168798734
44286,1476.1666666666667,,-0.1842830999206528,-38.907787100552774,1.1627100920204527
44287,1476.2,,-0.2806902824386894,-68.12936959809986,1.1627100920212925
44288,1476.2333333333333,,0.9215125765539748,-87.77496983545625,1.1627100920204527
44289,1476.2666666666667,,0.5827015994968827,-100.50737080416059,0.7215698826883
44290,1476.3,,0.617223982045543,-108.85354871039782,0.7215698826883
44291,1476.3333333333333,,1.201823665444121,-94.27713608529703,1.9198926033388723
44292,1476.3666666666666,,1.953824149610024,-68.18647527737315,0.7215698826883
44293,1476.4,,2.51146074443378,-30.42899894330639,0.7215698826883
44294,1476.4333333333334,,0.12538936998315417,6.305792344403483,1.9198926033376
44295,1476.4666666666667,,-0.319542529138617,37.232738297859754,1.3874864085606449
44296,1476.5,,-0.2755087460592456,64.37057970042466,1.888198904523809
44297,1476.5333333333333,,-0.339808328291596,83.2413653118889,1.6040742394051914
44298,1476.5666666666666,,-2.353780353314264,94.04485475840909,1.6040742394045553
44299,1476.6,,0.5645455160067142,81.5868288641699,0.8310789466543038
44300,1476.6333333333332,,,51.669164383224214,2.2589913275534634,1.4695868907830163
44301,1476.6666666666667,,,17.935060041388557,2.6411189920348614,,-0.5116405998002514
44302,1476.7,,,-17.345251912049406,1.434906319622615,,-0.009371841448328457
44303,1476.7333333333333,,,-54.7164288481628,3.958460414130131,,-1.8435798897635243
44304,1476.7666666666667,,,-81.05918839635372,0.8637889670685555,,-0.09582614650499031
44305,1476.8,,,-90.9538930714729,2.021250649456579,,0.3802803729722254
44306,1476.8333333333333,,,-105.53307460911914,2.1540487730428195,,1.274077627246705
44307,1476.8666666666666,,,-101.98725444741716,1.5178057317663027,,-0.9571827954515296
44308,1476.9,,,-90.03978381910856,2.5792702661974234,,-1.82279319187068
44309,1476.9333333333334,,,-59.31268033256059,1.0929111059473486,,-0.4562017221046501
44310,1476.9666666666667,,,-27.597256924341107,0.9610528306540459,,0.032805514956301296
44311,1477,,,-3.37214115916878,1.06748359879833,,-0.45620172210520993
44312,1477.0333333333333,,,35.298740089135414,1.06748359879833,,-0.4562017221046501
44313,1477.0666666666666,,,64.63998318592596,1.8364428489651734,,-0.8582468310801307
44314,1477.1,,,73.94013414852093,2.503540851841932,,1.9189813150444759
44315,1477.1333333333332,,,77.28896335186948,2.503540851841932,,-0.2729330391158261
44316,1477.1666666666667,,,65.04654594332388,2.503540851841932,,1.348497903653845
44317,1477.2,,,32.57073699966376,1.7809144131309433,,-0.20783103133048486
44318,1477.2333333333333,,,-6.298005494919696,1.8919607365897484,,-0.230605372481068
44319,1477.2666666666667,,,-36.98585286460829,2.7582356674987385,,-0.6140056618646611
44320,1477.3,,,-69.37137909142544,2.833764068435082,,-0.2666101822881369
44321,1477.3333333333333,,,-90.5908444061259,2.833764068435082,,-0.08527700380624206
44322,1477.3666666666666,,,-108.56864500428794,3.289165614255267,,-0.06734489000731639
44323,1477.4,,,-114.4772541202846,3.467619847771396,,-0.07045110088121291
44324,1477.4333333333334,,,-105.86438546754155,3.1651551495163863,,0.6465019787053303
44325,1477.4666666666667,,,-100.28023783235736,2.3264808464420197,,0.6465019787053303
44326,1477.5,,,-70.60726332688529,1.836442848965199,,0.8453032333132413
44327,1477.5333333333333,,,-36.029794527598646,2.7299864093547725,,0.2876405474908502
44328,1477.5666666666666,,,-1.3834486363317016,1.9871853657864025,,0.26864141792832436
44329,1477.6,,,30.360695723844234,2.7582356674994,,-0.1211469155743121
44330,1477.6333333333332,,,60.114421737345594,2.833764068435082,,-0.31402745597091025
44331,1477.6666666666667,,,73.80336836992188,2.154048773042209,,-0.18059876650608295
44332,1477.7,,,79.08910168437912,2.1540487730428195,,-1.4002588256920003
44333,1477.7333333333333,,,63.144961616884366,1.9918824656814142,,-1.4002588256920003
44334,1477.7666666666667,,,20.445993223900647,2.183365720294358,,-1.8251098331258555
44335,1477.8,,,-16.560139362239532,2.7237498551071138,,-1.7366530733766865
44336,1477.8333333333333,,,-54.335641259110936,1.417769131656692,,-1.5961213528021467
44337,1477.8666666666666,,,-77.51919244533872,2.3264808464420197,,-0.7489705052537728
44338,1477.9,,,-96.57760343606347,2.3264808464428595,,-0.4771800977089457
44339,1477.9333333333334,,,-107.12357353463418,-3.6078482508718968,,-1.0519338057942373
44340,1477.9666666666667,,,-112.5699113775688,-1.0167354036235128,,-1.3582181529542057
44341,1478,,,-106.63442457989514,-1.0703643261079963,,-1.5976605478216013
44342,1478.0333333333333,,,-80.11238314379239,1.1713689508473752,,-0.8565145101248962
44343,1478.0666666666666,,,-34.42019980059653,1.1713689508473752,,-0.6868255209159899
44344,1478.1,,,-3.0120569101661134,1.9918824656820249,,-0.34015059734413466
44345,1478.1333333333332,,,25.157642816745135,3.245590993423097,,-0.7962795385650122
44346,1478.1666666666667,,,60.27040908128772,0.6153188978962584,,-0.9788138461706495
44347,1478.2,,,76.80249417237079,0.6153188978977088,,-0.9788138461706622
44348,1478.2333333333333,,,85.64202669035727,4.305096609713746,,0.048648721802249204
44349,1478.2666666666667,,,73.1477133848771,2.3264808464420197,,-0.4277230942753207
44350,1478.3,,,45.936893208321344,2.703885982165062,,-0.7349325148125999
44351,1478.3333333333333,,,-1.125006477911713,3.9912400651160582,,-0.7211901819104432
44352,1478.3666666666666,,,-33.35704479259457,1.9871853657864025,,0.5528921098629128
44353,1478.4,,,-66.0541390078197,4.033955768633961,,-2.645114244595262
44354,1478.4333333333334,,,-88.33589230486693,2.154048773041344,,-0.2027109013247363
44355,1478.4666666666667,,,-99.57831702221347,4.556611276350187,,-1.7456758643964367
