"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","06-Oct-25.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 "
11666,388.8333333333333,8.061190539024976,66.88763396954722
11667,388.8666666666667,8.64754904403723,48.47511354257264
11668,388.9,,32.116420720454805,7.896050733498533
11669,388.93333333333334,,14.989146033028215,7.896050733498533
11670,388.96666666666664,,2.635321567740201,2.4968458225674866
11671,389,,-34.444809346533056,2.9814728267637545
11672,389.0333333333333,,-50.63171313939994,2.60107611590193
11673,389.06666666666666,,-75.11612517213516,1.5603225344223766
11674,389.1,,-81.51758457514288,2.0643382983617067
11675,389.1333333333333,,-95.98649163625689,1.5149832725698904
11676,389.1666666666667,,-100.2221354048548,7.938146102306607
11677,389.2,,-109.4478820535297,4.564190878253336
11678,389.23333333333335,,-105.61343929656364,4.038766921724862
11679,389.26666666666665,,-104.11773517133017,8.906047225040409
11680,389.3,,-95.59974856413422,6.902711309514271
11681,389.3333333333333,,-79.33095410522024,6.236752738124461
11682,389.3666666666667,,-61.001852466554396,4.870731716815371
11683,389.4,,-36.41444926831825,8.354345185016532
11684,389.43333333333334,,-16.6821210271143,8.354345185016532
11685,389.46666666666664,,12.732223512989528,8.354345185016532
11686,389.5,,24.299844593543128,8.354345185016532
11687,389.5333333333333,,54.82796053750622,8.354345185016532
11688,389.56666666666666,,64.58504983417853,,-6.965809086006452
11689,389.6,,63.71563340942945,,-8.420095568054698
11690,389.6333333333333,,51.8302037629711,,-5.654511230738042
11691,389.6666666666667,,31.053178549828765,,-6.73420558838423
11692,389.7,,4.650547939192914,,-0.8777186235521531
11693,389.73333333333335,,-21.639850859110147,,-2.641215724853248
11694,389.76666666666665,,-51.18317997844098,,-2.941413167269614
11695,389.8,,-58.98661640175012,,-3.3535229883836046
11696,389.8333333333333,,-79.15521958198343,,-2.383880471680681
11697,389.8666666666667,,-79.7554294398923,,-4.2020649048904355
11698,389.9,,-88.24229801034332,,-2.2876374196262215
11699,389.93333333333334,,-89.52834039566196,,-2.023914818248291
11700,389.96666666666664,,-76.41025304321522,,-2.939251259492273
11701,390,,-66.17883993302098,,1.710441569596068
11702,390.0333333333333,,-52.88750453053987,,1.6957982570240258
11703,390.06666666666666,,-29.835531397051266,,-0.1289882787331416
11704,390.1,,-8.564139181829896,,-1.5306857232396724
11705,390.1333333333333,,25.15982688987902,,-1.277260301594584
11706,390.1666666666667,,37.01023730564551,,-2.471848188606759
11707,390.2,,56.94685284413394,,,-2.380910561285832
11708,390.23333333333335,,61.02825385291942,,,-1.3962592575786092
11709,390.26666666666665,,52.99799823401052,,,0.05273627433097367
11710,390.3,,29.170148648659314,,,-1.3989992674063507
11711,390.3333333333333,,-15.628243016119505,,,-1.307045888636345
11712,390.3666666666667,,-15.50391733516545,,,-0.4463452813654843
11713,390.4,,-54.925371734693755,,,0.09988711229521877
11714,390.43333333333334,,-56.90717080692817,,,-1.447772434095733
11715,390.46666666666664,,-81.31348671764408,,,-1.1500837272080437
11716,390.5,,-83.72598454287265,,,-0.8648823355839523
11717,390.5333333333333,,-80.92360233305065,,,-1.3349556443628037
11718,390.56666666666666,,-55.90558244941496,,,-1.3196686642988091
11719,390.6,,-42.96814963412611,,,-0.3843798148898777
11720,390.6333333333333,,-25.515990308703618,,,-1.3469078301346236
11721,390.6666666666667,,4.041608047931173,,,-1.3755475914846833
11722,390.7,,30.16110612608568,,,-1.2853097006386824
11723,390.73333333333335,,41.37846138445913,,,-1.1712627358198928
11724,390.76666666666665,,44.34391627024388,,,-0.7115641630166372
11725,390.8,,38.261615068200285,,,-1.3711211227742106
11726,390.8333333333333,,22.074948726000613,,,-1.0693008961010406
11727,390.8666666666667,,-3.275355282434669,,,-1.371214574535646
11728,390.9,,-41.16760519379777,,,0.4890990263230755
11729,390.93333333333334,,-62.318880855990976,,,-1.1327080478333564
11730,390.96666666666664,,-75.38297324784962,,,-1.38729792083444
11731,391,,-97.08968478910982,,,-1.2760146821351952
11732,391.0333333333333,,-99.72486938120413,,,-0.7563032682777474
11733,391.06666666666666,,-101.45789813535832,,,-0.8858875565308679
11734,391.1,,-101.26359193819349,,,-0.3089040942927473
11735,391.1333333333333,,-65.74934927218051,,,-1.547088426658545
11736,391.1666666666667,,-41.37828783401252,,,-0.6200841847772002
11737,391.2,,-16.21310486111785,,,-1.356252441095783
11738,391.23333333333335,,5.014215915481838,,,-1.3183484904920058
11739,391.26666666666665,,23.6400212874126,,,-0.8276931316113041
11740,391.3,,36.495368630614465,,,-1.4674287692997343
11741,391.3333333333333,,32.94538860693742,,,-1.0140144684701538
11742,391.3666666666667,,12.031888206085005,,,-0.9228674712441751
11743,391.4,,-20.380733035658622,,,-0.2063979035326459
11744,391.43333333333334,,-45.868843461249924,,,-1.382093137717643
11745,391.46666666666664,,-58.56800078239043,,,-1.067574618260495
11746,391.5,,-88.3688831933539,,,-1.450019534680748
11747,391.5333333333333,,-95.41476887453061,,,-1.7430241557942348
11748,391.56666666666666,,-101.27383945360705,,,-1.6890890494983546
11749,391.6,,-103.52171802667671,,,-2.288185326110384
11750,391.6333333333333,,-87.93025431759898,,,-2.597823548681176
11751,391.6666666666667,,-53.50607645781741,,,-0.6210806140418569
11752,391.7,,-16.206002535895085,,,-0.4389360359790192
11753,391.73333333333335,,-1.02915842195623,,,-0.5394858833222337
11754,391.76666666666665,,19.494381369532107,,,-0.5877542788601383
11755,391.8,,37.5650911709093,,,-0.8081337171146304
