"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","24-Sept-24.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 "
16166,538.8333333333334,-69.6195289706826
16167,538.8666666666667,-88.04550958067001
16168,538.9,,-75.63056399704708
16169,538.9333333333333,,-92.84000734539637
16170,538.9666666666667,,-92.28845623350693
16171,539,,-90.51561211313214
16172,539.0333333333333,,-88.13639401970593
16173,539.0666666666666,,-77.4802678453323
16174,539.1,,-60.657091941449465
16175,539.1333333333333,,-36.9816891821015
16176,539.1666666666666,,-21.848675607462344
16177,539.2,,,6.972092337656395
16178,539.2333333333333,,,34.991484821964725
16179,539.2666666666667,,,52.336232797402324
16180,539.3,,,71.73105804460782
16181,539.3333333333334,,,77.35038356610505
16182,539.3666666666667,,,74.07064885678624
16183,539.4,,,58.40837078106615
16184,539.4333333333333,,,50.331869391176646
16185,539.4666666666667,,,26.164498506809544
16186,539.5,,,-17.396796392868584
16187,539.5333333333333,,,-15.546100205897877
16188,539.5666666666666,,,-26.191374316493
16189,539.6,,,-46.646792269368966
16190,539.6333333333333,,,-63.17361940098792
16191,539.6666666666666,,,-72.67591696362193
16192,539.7,,,-76.33129773265925
16193,539.7333333333333,,,-82.30719587378358
16194,539.7666666666667,,,-87.58607292396015
16195,539.8,,,-83.62364902736259
16196,539.8333333333334,,,-77.80727982747524
16197,539.8666666666667,,,-49.1058300761192
16198,539.9,,,-43.12587624517449
16199,539.9333333333333,,,-31.85855524466961
16200,539.9666666666667,,,-19.535028188159348
16201,540,,,13.397733957172054
16202,540.0333333333333,,,7.406233920355793
16203,540.0666666666666,,,16.278446011632862
16204,540.1,,,15.086571772963318
16205,540.1333333333333,,,14.08431856926872
16206,540.1666666666666,,,13.40093301626759
16207,540.2,,,11.282035043585942
16208,540.2333333333333,,,5.911350820594852
16209,540.2666666666667,,,-3.0515180461425984
16210,540.3,,,-3.0142421626491
16211,540.3333333333334,,,-14.263620482698133
16212,540.3666666666667,,,-16.47039486343812
16213,540.4,,,-16.30561680635973
16214,540.4333333333333,,,-22.58667139165692
16215,540.4666666666667,,,-19.41175996682764
16216,540.5,,,-14.785448710141415
16217,540.5333333333333,,,-13.340690673804621
16218,540.5666666666666,,,-13.291950888908014
16219,540.6,,,-5.628620836561286
16220,540.6333333333333,,,-7.14815359979252
16221,540.6666666666666,,,-5.365911598612417
16222,540.7,,,-14.167463812371468
16223,540.7333333333333,,,-18.884239062463276
16224,540.7666666666667,,,-26.82951192032305
16225,540.8,,,-28.930002672581434
16226,540.8333333333334,,,-28.647469989615285
16227,540.8666666666667,,,-29.63406095311409
16228,540.9,,,-15.836122721433432
16229,540.9333333333333,,,-13.289896003548707
16230,540.9666666666667,,,-6.9206626692697135
16231,541,,,7.423110603369745
16232,541.0333333333333,,,7.214415343602097
16233,541.0666666666666,,,26.703083948389065
16234,541.1,,,32.97577133565139
16235,541.1333333333333,,,44.39343011440985
16236,541.1666666666666,,,39.2146442642407
16237,541.2,,,33.66612775315702
16238,541.2333333333333,,,18.81597644804214
16239,541.2666666666667,,,3.087633688647001
16240,541.3,,,-0.34379561533317193
16241,541.3333333333334,,,-11.364195025045458
16242,541.3666666666667,,,-38.28000955316395
16243,541.4,,,-46.335008161234796
16244,541.4333333333333,,,-56.375231867431424
16245,541.4666666666667,,,-59.684543918200205
16246,541.5,,,-60.43269540788812
16247,541.5333333333333,,,-61.21754260859076
16248,541.5666666666666,,,-39.88228861675181
16249,541.6,,,-48.0307636879217
16250,541.6333333333333,,,-21.84431602139751
16251,541.6666666666666,,,-2.412411633009625
16252,541.7,,,11.925200607079734
16253,541.7333333333333,,,31.518417501980995
16254,541.7666666666667,,,22.037520693046087
16255,541.8,,,37.923101451620774
16256,541.8333333333334,,,37.22425561513767
16257,541.8666666666667,,,37.96030041431239
16258,541.9,,,29.69565898467849
16259,541.9333333333333,,,10.180897806191934
16260,541.9666666666667,,,-11.806474973058865
16261,542,,,-13.948979521399316
16262,542.0333333333333,,,-30.56586015567427
16263,542.0666666666666,,,-38.12617328018674
16264,542.1,,,-56.55200989239111
16265,542.1333333333333,,,-63.63649085525058
16266,542.1666666666666,,,-56.04336408686298
16267,542.2,,,-51.12640103885432
16268,542.2333333333333,,,-44.366949580867285
16269,542.2666666666667,,,-31.71040403354604
16270,542.3,,,-27.469902045419623
16271,542.3333333333334,,,1.1134516657881732
16272,542.3666666666667,,,5.931739905390499
16273,542.4,,,36.388321578251364
16274,542.4333333333333,,,25.91845263656805
16275,542.4666666666667,,,49.486974011725096
16276,542.5,,,62.489781619822416
16277,542.5333333333333,,,74.3600671645293
16278,542.5666666666666,,,65.4209194854623
16279,542.6,,,60.72537035451955
16280,542.6333333333333,,,38.43792930584207
16281,542.6666666666666,,,17.459014350437315
16282,542.7,,,1.8671551867898772
16283,542.7333333333333,,,-21.997473962046175
16284,542.7666666666667,,,-43.63951525185319
16285,542.8,,,-45.026579683378344
16286,542.8333333333334,,,-45.59466740078508
16287,542.8666666666667,,,-24.085321771041794
16288,542.9,,,-27.564429639495007
16289,542.9333333333333,,,-14.769554836899886
16290,542.9666666666667,,,1.2134711444859958
16291,543,,,18.397448284324824
16292,543.0333333333333,,,46.307449699330256
16293,543.0666666666666,,,52.34365064248983
16294,543.1,,,55.290762881468225
16295,543.1333333333333,,,63.994486941848855
16296,543.1666666666666,,,52.14754712945623
16297,543.2,,,46.4803861268556
16298,543.2333333333333,,,41.64234879916021
