"Worm Data","Bending Angle - Mid-Point"
"Sequence","Test_Test80001.avi"

,,"Track"
"Frame","Time","1 ","2 "
1144,38.1,-7.312246320705616
1145,38.13333333333333,-14.596522850414145
1146,38.166666666666664,-16.608530053504783
1147,38.2,-14.631671441309633
1148,38.233333333333334,-16.118751879206123
1149,38.266666666666666,-17.773115166015668
1150,38.3,-18.79179937790194
1151,38.333333333333336,-21.079852787245017
1152,38.36666666666667,-23.801200348727512
1153,38.4,-33.913012006726234
1154,38.43333333333333,-39.66225216351633
1155,38.46666666666667,-47.39788079501538
1156,38.5,-64.8549555280878
1157,38.53333333333333,-73.77619549256913
1158,38.56666666666666,-79.65755301771145
1159,38.6,-85.2956341694124
1160,38.63333333333333,-89.42353662549714
1161,38.666666666666664,-95.41410059124148
1162,38.7,-99.18287395558526
1163,38.733333333333334,-98.67081697531471
1164,38.766666666666666,-94.33124638205315
1165,38.8,-93.65137115296427
1166,38.833333333333336,-75.32481869430958
1167,38.86666666666667,-63.974860788874054
1168,38.9,-58.2666560668788
1169,38.93333333333333,-51.00559651798156
1170,38.96666666666667,-48.12211051113369
1171,39,-47.30771894893502
1172,39.03333333333333,-41.04702220519653
1173,39.06666666666666,-28.00590103226139
1174,39.1,-14.812974731709769
1175,39.13333333333333,-5.016203363592289
1176,39.166666666666664,1.9245419326009074
1177,39.2,2.829110783161023
1178,39.233333333333334,4.666770184951161
1179,39.266666666666666,3.444024700049601
1180,39.3,-8.610815863670766
1181,39.333333333333336,-16.483250269641164
1182,39.36666666666667,-19.298676276328724
1183,39.4,-24.47108260685809
1184,39.43333333333333,-32.147353113671365
1185,39.46666666666667,-36.51232627497288
1186,39.5,-47.25839784631616
1187,39.53333333333333,-54.94982308340417
1188,39.56666666666666,-62.69131691651195
1189,39.6,-73.75608890186375
1190,39.63333333333333,-71.97668117674338
1191,39.666666666666664,-75.56028518090258
1192,39.7,-88.56385721754893
1193,39.733333333333334,-94.02263450056036
1194,39.766666666666666,-99.71570316577579
1195,39.8,-105.71668935894736
1196,39.833333333333336,-111.79959317013521
1197,39.86666666666667,-110.02290119900545
1198,39.9,-120.22184854459424
1199,39.93333333333333,-121.37523460268513
1200,39.96666666666667,-118.30625904326321
1201,40,-126.98611258363714
1202,40.03333333333333,-147.30845290696539
1203,40.06666666666666,-135.36049829036153
1204,40.1,-141.2855107893988
1205,40.13333333333333,-123.91774503695866
1206,40.166666666666664,-110.92413930798209
1207,40.2,-93.73041996827855
1208,40.233333333333334,-86.8285581949245
1209,40.266666666666666,-62.368497605018355
1210,40.3,-61.60424511306835
1211,40.333333333333336,-58.615234432267506
1212,40.36666666666667,-47.38337248829812
1213,40.4,-44.560133772575824
1214,40.43333333333333,-45.932513141338774
1215,40.46666666666667,-46.278727351683585
1216,40.5,-52.872766247438165
1217,40.53333333333333,-64.44864265996478
1218,40.56666666666666,-78.71531091062919
1219,40.6,-93.3948941408303
1220,40.63333333333333,-109.27529309089101
1221,40.666666666666664,-119.18637535979698
1222,40.7,-128.57690819148831
1223,40.733333333333334,-131.61077225115875
1224,40.766666666666666,-140.7837231085542
1225,40.8,-123.50544014063433
1226,40.833333333333336,-116.13167309772902
1227,40.86666666666667,-113.51163796413775
1228,40.9,-100.82782692332412
1229,40.93333333333333,-86.38931926453634
1230,40.96666666666667,-64.82827605425295
1231,41,-44.85391563543957
1232,41.03333333333333,-21.14071194566249
1233,41.06666666666666,-2.7613498754179058
1234,41.1,6.3992953234851155
1235,41.13333333333333,11.325823631120103
1236,41.166666666666664,2.3102677897001302
1237,41.2,-20.677145707613352
1238,41.233333333333334,-45.0403057248422
1239,41.266666666666666,-65.43613032518114
1240,41.3,-70.80214873789498
1241,41.333333333333336,-100.68383184884051
1242,41.36666666666667,-115.58159207689884
1243,41.4,-125.41383481461453
1244,41.43333333333333,-138.49080951181767
1245,41.46666666666667,-132.38862811411954
1246,41.5,-150.48759105808253
1247,41.53333333333333,-158.57449697928982
1248,41.56666666666666,-151.49696107836834
1249,41.6,-142.09121408461442
1250,41.63333333333333,-109.97623360061594
1251,41.666666666666664,-94.72213254672326
1252,41.7,-60.79545295924443
1253,41.733333333333334,-26.317887464313603
1254,41.766666666666666,-0.12249947509566214
1255,41.8,8.370681786433625
1256,41.833333333333336,21.038939875480715
1257,41.86666666666667,19.006644252819232
1258,41.9,4.215582387809709
1259,41.93333333333333,-14.074474010312603
1260,41.96666666666667,-40.324422756609245
1261,42,-66.75055643957639
1262,42.03333333333333,-87.43521927820433
1263,42.06666666666666,-97.6664937361961
1264,42.1,-115.09580363913216
1265,42.13333333333333,-121.29359834037521
1266,42.166666666666664,-130.95364677854315
1267,42.2,-134.69408285092408
1268,42.233333333333334,-122.77375019464134
1269,42.266666666666666,-107.63270867501377
1270,42.3,-69.49911319043852
1271,42.333333333333336,-37.525147715352105
1272,42.36666666666667,-17.370765076020515
1273,42.4,2.0776636260410286
1274,42.43333333333333,21.04502067355068
1275,42.46666666666667,30.777548789683255
1276,42.5,26.048875711548934
1277,42.53333333333333,15.055264474318825
1278,42.56666666666666,-5.626306408709773
1279,42.6,-32.2341544573016
1280,42.63333333333333,-50.26633260855117
1281,42.666666666666664,-74.1180640453034
1282,42.7,-97.24604543807042
1283,42.733333333333334,-107.69551438555722
1284,42.766666666666666,-119.01130881715281
1285,42.8,-129.45408767088648
1286,42.833333333333336,-125.01751038110328
1287,42.86666666666667,-117.76155187411752
1288,42.9,-88.99876092144066
1289,42.93333333333333,-55.245095809970074
1290,42.96666666666667,-23.826176562777587
