"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","06-Oct-25.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 "
29666,988.8333333333334,-84.15029107415374
29667,988.8666666666667,-69.48138363926464
29668,988.9,-62.58792042452391
29669,988.9333333333333,-43.79411947762165
29670,988.9666666666667,-30.001040181788838
29671,989,-5.379569997859162
29672,989.0333333333333,-2.882397613875362
29673,989.0666666666666,13.705445737103679
29674,989.1,15.043920664617433
29675,989.1333333333333,22.12211078793435
29676,989.1666666666666,37.57768237687806
29677,989.1999999999999,70.75696392476598
29678,989.2333333333333,68.63473218865732
29679,989.2666666666667,,82.69188107868725
29680,989.3,,59.85221023720261
29681,989.3333333333334,,31.88706068667673
29682,989.3666666666667,,14.450926694038891
29683,989.4,,-13.519306000453678
29684,989.4333333333333,,-41.17681769931954
29685,989.4666666666667,,-61.38423178426894
29686,989.5,,-78.1579407956202
29687,989.5333333333333,,-89.26684735860027
29688,989.5666666666666,,-85.74933352143566
29689,989.6,,-79.61340261540795
29690,989.6333333333333,,-74.37302124067236
29691,989.6666666666666,,-55.842393604266235
29692,989.6999999999999,,-33.3596541075444
29693,989.7333333333333,,-8.287833638731213
29694,989.7666666666667,,25.69632309574006
29695,989.8,,61.5915738535676
29696,989.8333333333334,,58.69480986716423
29697,989.8666666666667,,64.09656578764209
29698,989.9,,71.50995292737579
29699,989.9333333333333,,101.63409434862066
29700,989.9666666666667,,109.17216168989857
29701,990,,118.56378331935134
29702,990.0333333333333,,120.61343170972073
29703,990.0666666666666,,115.03291522715637
29704,990.1,,107.18441758485291
29705,990.1333333333333,,96.09406405708506
29706,990.1666666666666,,86.2372234444317
29707,990.1999999999999,,76.33508770815297
29708,990.2333333333333,,58.98227298446162
29709,990.2666666666667,,-1.9747774025758742
29710,990.3,,-53.29853941636807
29711,990.3333333333334,,-56.256014607050275
29712,990.3666666666667,,-64.89422611431226
29713,990.4,,-63.10155761479934
29714,990.4333333333333,,-77.51779663791444
29715,990.4666666666667,,-76.70981956614361
29716,990.5,,-46.09071561616655
29717,990.5333333333333,,-29.262425562076935
29718,990.5666666666666,,-2.6984948049022472
29719,990.6,,16.20093622292613
29720,990.6333333333333,,42.90171691536465
29721,990.6666666666666,,63.09756025348506
29722,990.6999999999999,,76.68374381813871
29723,990.7333333333333,,97.94862665525567
29724,990.7666666666667,,108.83906960886935
29725,990.8,,124.46953018340066
29726,990.8333333333334,,129.8770558627493
29727,990.8666666666667,,144.90836744596052
29728,990.9,,149.88851042124992
29729,990.9333333333333,,160.47758880380795
29730,990.9666666666667,,176.06570293118853
29731,991,,168.16696112951917
29732,991.0333333333333,,-163.30836436364254
29733,991.0666666666666,,-148.55430664133294
29734,991.1,,-145.5038369976859
29735,991.1333333333333,,-144.34456457499164
29736,991.1666666666666,,-143.55337927802415
29737,991.1999999999999,,-155.48074037560016
29738,991.2333333333333,,-162.24907698316443
29739,991.2666666666667,,168.51668956145383
29740,991.3,,112.61883081646336
29741,991.3333333333334,,18.274285540176475
29742,991.3666666666667,,2.5867440299751707
29743,991.4,,5.781069792107582
29744,991.4333333333333,,6.446756161612338
29745,991.4666666666667,,-8.455484290439802
29746,991.5,,31.748211554931643
29747,991.5333333333333,,30.979291369349173
29748,991.5666666666666,,-0.415353783936575
29749,991.6,,17.166718626321867
29750,991.6333333333333,,3.7063824368199714
29751,991.6666666666666,,4.627898815535013
29752,991.6999999999999,,-1.6575544593111253
29753,991.7333333333333,,-16.31057847062613
29754,991.7666666666667,,-54.16208091039299
29755,991.8,,-62.71049485213914
29756,991.8333333333334,,-89.89517103508841
29757,991.8666666666667,,-88.98676701252089
29758,991.9,,-94.76469408840853
29759,991.9333333333333,,-100.86585802606744
29760,991.9666666666667,,-87.50035322988708
29761,992,,-45.55609557189427
29762,992.0333333333333,,-39.88794077412754
29763,992.0666666666666,,-19.01580601833446
29764,992.1,,-3.999709336203208
29765,992.1333333333333,,5.58277144355268
29766,992.1666666666666,,17.522598289467766
29767,992.1999999999999,,31.90253925404207
29768,992.2333333333333,,32.68437755887024
29769,992.2666666666667,,32.11291963463275
29770,992.3,,31.36469658246949
29771,992.3333333333334,,14.726712325176848
29772,992.3666666666667,,-1.1131413278098332
29773,992.4,,-21.80371492456248
29774,992.4333333333333,,-34.085398007930365
29775,992.4666666666667,,-60.89891942038339
29776,992.5,,-81.05045646070063
29777,992.5333333333333,,-96.83845030670761
29778,992.5666666666666,,-101.20475155001367
29779,992.6,,-115.49061272678074
29780,992.6333333333333,,-90.90317624743965
29781,992.6666666666666,,-67.07711695602188
29782,992.6999999999999,,-36.89168373414588
29783,992.7333333333333,,-12.087790016249796
29784,992.7666666666667,,15.247198591418059
29785,992.8,,40.33467996383173
29786,992.8333333333334,,47.217860820251815
29787,992.8666666666667,,59.02065973745423
29788,992.9,,52.87171399838349
29789,992.9333333333333,,37.495328841673
29790,992.9666666666667,,17.068673371351277
29791,993,,4.081384475945308
29792,993.0333333333333,,-9.877366484052152
29793,993.0666666666666,,-22.436328652507697
29794,993.1,,-38.95922494867551
29795,993.1333333333333,,-70.5983308841433
29796,993.1666666666666,,-78.54696150473416
29797,993.1999999999999,,-85.50418465131413
29798,993.2333333333333,,-92.88399603260589
29799,993.2666666666667,,-67.8677745678434
29800,993.3,,-50.70637785642636
29801,993.3333333333334,,-20.209227777817325
29802,993.3666666666667,,14.018624705926896
29803,993.4,,34.33395335109089
29804,993.4333333333333,,51.460124329370466
