"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","24-Sept-24.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 "
37226,1240.8333333333333,0.2024543646396115
37227,1240.8666666666666,-46.099816778076764
37228,1240.9,-31.38468412364953
37229,1240.9333333333334,-30.187223370675586
37230,1240.9666666666667,-83.05683972080594
37231,1241,-72.03497639702825
37232,1241.0333333333333,-76.14715186708091
37233,1241.0666666666666,-80.92741506672935
37234,1241.1,-65.29340171869801
37235,1241.1333333333332,-47.75212469836289
37236,1241.1666666666667,-55.40503457022172
37237,1241.2,-48.245247618326964
37238,1241.2333333333333,-40.974232292134
37239,1241.2666666666667,12.460957569994601
37240,1241.3,27.88341899736812
37241,1241.3333333333333,73.79123486299054
37242,1241.3666666666666,101.78786557627211
37243,1241.4,131.5731252586896
37244,1241.4333333333334,149.38116367796272
37245,1241.4666666666667,55.077976869037855
37246,1241.5,,-22.330817046829285
37247,1241.5333333333333,,-55.4938065945776
37248,1241.5666666666666,,-59.97405600582791
37249,1241.6,,-70.05623622449541
37250,1241.6333333333332,,-60.96437827180629
37251,1241.6666666666667,,-54.13029341747771
37252,1241.7,,-51.43756089234826
37253,1241.7333333333333,,,,,,,,,,,,,,,,
37254,1241.7666666666667,,,,,,,,,,,,,,,,
37255,1241.8,,,,,,,,,,,,,,,,
37256,1241.8333333333333,,,,,,,,,,,,,,,,
37257,1241.8666666666666,,,,,,,,,,,,,,,,
37258,1241.9,,,,,,,,,,,,,,,,
37259,1241.9333333333334,,,,,,,,,,,,,,,,
37260,1241.9666666666667,,,,,,,,,,,,,,,,
37261,1242,,,,,,,,,,,,,,,,
37262,1242.0333333333333,,,,,,,,,,,,,,,,
37263,1242.0666666666666,,,,,,,,,,,,,,,,
37264,1242.1,,,,,,,,,,,,,,,,
37265,1242.1333333333332,,,,,,,,,,,,,,,,
37266,1242.1666666666667,,,,,,,,,,,,,,,,
37267,1242.2,,,,,,,,,,,,,,,,
37268,1242.2333333333333,,,,,,,,,,,,,,,,
37269,1242.2666666666667,,,,,,,,,,,,,,,,
37270,1242.3,,,,,,,,,,,,,,,,
37271,1242.3333333333333,,,,,,,,,,,,,,,,
37272,1242.3666666666666,,,,,,,,,,,,,,,,
37273,1242.4,,,,,,,,,,,,,,,,
37274,1242.4333333333334,,,,,,,,,,,,,,,,
37275,1242.4666666666667,,,,,,,,,,,,,,,,
37276,1242.5,,,,,,,,,,,,,,,,
37277,1242.5333333333333,,,,,,,,,,,,,,,,
37278,1242.5666666666666,,,,,,,,,,,,,,,,
37279,1242.6,,,,,,,,,,,,,,,,
37280,1242.6333333333332,,,,,,,,,,,,,,,,
37281,1242.6666666666667,,,,,,,,,,,,,,,,
37282,1242.7,,,,,,,,,,,,,,,,
37283,1242.7333333333333,,,,,,,,,,,,,,,,
37284,1242.7666666666667,,,,,,,,,,,,,,,,
37285,1242.8,,,,,,,,,,,,,,,,
37286,1242.8333333333333,,,,,,,,,,,,,,,,
37287,1242.8666666666666,,,,,,,,,,,,,,,,
37288,1242.9,,,,,,,,,,,,,,,,
37289,1242.9333333333334,,,,,,,,,,,,,,,,
37290,1242.9666666666667,,,,,,,,,,,,,,,,
37291,1243,,,,,,,,,,,,,,,,
37292,1243.0333333333333,,,,,,,,,,,,,,,,
37293,1243.0666666666666,,,,,,,,,,,,,,,,
37294,1243.1,,,,,,,,,,,,,,,,
37295,1243.1333333333332,,,,,,,,,,,,,,,,
37296,1243.1666666666667,,,,,,,,,,,,,,,,
37297,1243.2,,,,,,,,,,,,,,,,
37298,1243.2333333333333,,,,,,,,,,,,,,,,
37299,1243.2666666666667,,,,,,,,,,,,,,,,
37300,1243.3,,,,,,,,,,,,,,,,
37301,1243.3333333333333,,,,,,,,,,,,,,,,
37302,1243.3666666666666,,,,,,,,,,,,,,,,
37303,1243.4,,,,,,,,,,,,,,,,
37304,1243.4333333333334,,,,,,,,,,,,,,,,
37305,1243.4666666666667,,,,,,,,,,,,,,,,
37306,1243.5,,,,,,,,,,,,,,,,
37307,1243.5333333333333,,,,,,,,,,,,,,,,
37308,1243.5666666666666,,,,,,,,,,,,,,,,
37309,1243.6,,,,,,,,,,,,,,,,
37310,1243.6333333333332,,,,,,,,,,,,,,,,
37311,1243.6666666666667,,,,,,,,,,,,,,,,
37312,1243.7,,,,,,,,,,,,,,,,
37313,1243.7333333333333,,,,,,,,,,,,,,,,
37314,1243.7666666666667,,,,,,,,,,,,,,,,
37315,1243.8,,,,,,,,,,,,,,,,
37316,1243.8333333333333,,,,,,,,,,,,,,,,
37317,1243.8666666666666,,,,,,,,,,,,,,,,
37318,1243.9,,,,,,,,,,,,,,,,
37319,1243.9333333333334,,,,,,,,,,,,,,,,
37320,1243.9666666666667,,,,,,,,,,,,,,,,
37321,1244,,,,,,,,,,,,,,,,
37322,1244.0333333333333,,,,,,,,,,,,,,,,
37323,1244.0666666666666,,,,,,,,,,,,,,,,
37324,1244.1,,,,,,,,,,,,,,,,
37325,1244.1333333333332,,,,,,,,,,,,,,,,
37326,1244.1666666666667,,,,,,,,,,,,,,,,
37327,1244.2,,,,,,,,,,,,,,,,
37328,1244.2333333333333,,,,,,,,,,,,,,,,
37329,1244.2666666666667,,,,,,,,,,,,,,,,
37330,1244.3,,,,,,,,,,,,,,,,
37331,1244.3333333333333,,,,,,,,,,,,,,,,
37332,1244.3666666666666,,,,,,,,,,,,,,,,
37333,1244.4,,,,,,,,,,,,,,,,
37334,1244.4333333333334,,,,,,,,,,,,,,,,
37335,1244.4666666666667,,,,,,,,,,,,,,,,
37336,1244.5,,,,,,,,,,,,,,,,
37337,1244.5333333333333,,,,,,,,,,,,,,,,
37338,1244.5666666666666,,,,,,,,,,,,,,,,
37339,1244.6,,,,,,,,,,,,,,,,
37340,1244.6333333333332,,,,,,,,,,,,,,,,
37341,1244.6666666666667,,,,,,,,,,,,,,,,
37342,1244.7,,,,,,,,,,,,,,,,
