"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 "
24341,811.3333333333334,-53.25796710782454
24342,811.3666666666667,-81.18008513146621
24343,811.4,,29.200824533498807
24344,811.4333333333333,,37.81394292511974
24345,811.4666666666667,,24.08112841724077
24346,811.5,,19.96434551146793
24347,811.5333333333333,,26.05841199043685
24348,811.5666666666666,,36.0526236968992
24349,811.6,,-17.390672539940113
24350,811.6333333333333,,-25.65723731508671
24351,811.6666666666666,,-7.494513743464537
24352,811.7,,,14.250065957178615
24353,811.7333333333333,,,16.609444809921854
24354,811.7666666666667,,,85.25747874348023
24355,811.8,,,91.3126724750766
24356,811.8333333333334,,,100.26794378027398
24357,811.8666666666667,,,100.72049810914929
24358,811.9,,,110.74397752463551
24359,811.9333333333333,,,123.6867940077459
24360,811.9666666666667,,,135.30092102039546
24361,812,,,-176.61452949542578
24362,812.0333333333333,,,-173.88163756337892
24363,812.0666666666666,,,-171.61413319238275
24364,812.1,,,-171.7187851289978
24365,812.1333333333333,,,-170.27411596208958
24366,812.1666666666666,,,-166.42581036574202
24367,812.2,,,-164.2994130968052
24368,812.2333333333333,,,-170.16355130715655
24369,812.2666666666667,,,177.4669256667281
24370,812.3,,,165.70749326655354
24371,812.3333333333334,,,151.53402548641043
24372,812.3666666666667,,,145.1640106838056
24373,812.4,,,133.99433383129116
24374,812.4333333333333,,,128.15904930286763
24375,812.4666666666667,,,127.37887306876806
24376,812.5,,,119.51963228796183
24377,812.5333333333333,,,112.69292307721572
24378,812.5666666666666,,,103.78047692684827
24379,812.6,,,102.3121689020801
24380,812.6333333333333,,,88.51731412805552
24381,812.6666666666666,,,78.61732690592383
24382,812.7,,,75.441501920471
24383,812.7333333333333,,,64.51635650198011
24384,812.7666666666667,,,52.4786296490187
24385,812.8,,,42.92162368745559
24386,812.8333333333334,,,26.991963302591163
24387,812.8666666666667,,,5.777837688396061
24388,812.9,,,3.6653771634296923
24389,812.9333333333333,,,2.8523430388356856
24390,812.9666666666667,,,-5.124319533542383
24391,813,,,3.2558435767150105
24392,813.0333333333333,,,3.5239609905297984
24393,813.0666666666666,,,16.4360211197294
24394,813.1,,,30.349123393237146
24395,813.1333333333333,,,22.736557931829644
24396,813.1666666666666,,,35.70570647159056
24397,813.2,,,81.32262797747089
24398,813.2333333333333,,,96.76346114811858
24399,813.2666666666667,,,103.34480230965617
24400,813.3,,,119.30615705076524
24401,813.3333333333334,,,143.7017629001614
24402,813.3666666666667,,,143.27326163636474
24403,813.4,,,156.36999111679498
24404,813.4333333333333,,,159.81073527865317
24405,813.4666666666667,,,160.8591082352759
24406,813.5,,,129.48035544558377
24407,813.5333333333333,,,104.20073268254038
24408,813.5666666666666,,,57.09563019583548
24409,813.6,,,27.223507380644648
24410,813.6333333333333,,,-16.925461665745384
24411,813.6666666666666,,,-31.25403399121749
24412,813.7,,,-50.92880143865593
24413,813.7333333333333,,,-30.355074076798207
24414,813.7666666666667,,,-10.239946154225846
24415,813.8,,,29.342615509524027
24416,813.8333333333334,,,61.75097466964912
24417,813.8666666666667,,,91.46549126237198
24418,813.9,,,118.5697534778001
24419,813.9333333333333,,,145.65716278357053
24420,813.9666666666667,,,144.34338925730606
24421,814,,,152.14126290984512
24422,814.0333333333333,,,170.05331646454425
24423,814.0666666666666,,,171.44379837499787
24424,814.1,,,178.63137763661106
24425,814.1333333333333,,,-172.77659046293692
24426,814.1666666666666,,,-177.2136026642405
24427,814.2,,,151.97541525616595
24428,814.2333333333333,,,113.67958602488564
24429,814.2666666666667,,,93.71849373411403
24430,814.3,,,52.834367520277425
24431,814.3333333333334,,,31.7577607977574
24432,814.3666666666667,,,16.10328642720401
24433,814.4,,,-10.981546300181078
24434,814.4333333333333,,,-10.965648343519836
24435,814.4666666666667,,,-7.278800834399972
24436,814.5,,,14.947635289803886
24437,814.5333333333333,,,40.68256357030617
24438,814.5666666666666,,,73.61468285283374
24439,814.6,,,91.56455315335455
24440,814.6333333333333,,,113.9815421161515
24441,814.6666666666666,,,130.2524047098141
24442,814.7,,,155.2722293996852
24443,814.7333333333333,,,160.9338505286791
24444,814.7666666666667,,,161.34561195167925
24445,814.8,,,146.8415457256028
24446,814.8333333333334,,,125.2970933725001
24447,814.8666666666667,,,99.05939419415763
24448,814.9,,,72.25502725308107
24449,814.9333333333333,,,42.581133962483925
24450,814.9666666666667,,,-8.779575812395949
24451,815,,,-15.756761972231772
24452,815.0333333333333,,,-34.89805711571613
24453,815.0666666666666,,,-36.95319635721429
24454,815.1,,,-27.739376798626527
24455,815.1333333333333,,,-7.1062536684466595
24456,815.1666666666666,,,23.291052091384575
24457,815.2,,,61.27244769406481
24458,815.2333333333333,,,90.85969028301118
24459,815.2666666666667,,,107.94662408937225
24460,815.3,,,113.40185470502824
24461,815.3333333333334,,,96.19337013216197
24462,815.3666666666667,,,67.69077495410237
24463,815.4,,,34.33577527501019
24464,815.4333333333333,,,0.03328223433886558
24465,815.4666666666667,,,-30.258370625860337
24466,815.5,,,-49.19726249741537
24467,815.5333333333333,,,-54.892456953651426
24468,815.5666666666666,,,-35.37798614916315
24469,815.6,,,-2.4971354965395656
24470,815.6333333333333,,,41.423523970679206
24471,815.6666666666666,,,68.30968040960327
24472,815.7,,,86.50974449633004
24473,815.7333333333333,,,99.37371855477217
24474,815.7666666666667,,,98.1828964905202
24475,815.8,,,78.44962772802877
24476,815.8333333333334,,,36.729331136154066
