"Worm Data","Bending Angle - Mid-Point (degrees)"
"Sequence","9-Oct-25.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 ","4 ","5 ","6 ","7 ","8 ","9 ","10 ","11 ","12 ","13 ","14 ","15 ","16 ","17 ","18 ","19 ","20 ","21 ","22 ","23 ","24 ","25 ","26 ","27 ","28 ","29 ","30 ","31 ","32 ","33 ","34 ","35 ","36 ","37 ","38 ","39 ","40 ","41 ","42 ","43 ","44 ","45 ","46 ","47 ","48 ","49 ","50 ","51 ","52 ","53 ","54 ","55 ","56 ","57 ","58 ","59 ","60 ","61 "
19350,644.9666666666667,124.51912140259257,-5.67106447119976,-1.7014579326977959
19351,645,125.48706246789838,,,1.0964521014486261
19352,645.0333333333333,108.15879110602847,,,1.5812646441770932
19353,645.0666666666666,101.21400700612843,,,2.1404082469723167
19354,645.1,86.89248788274567,,,2.3829498283475172
19355,645.1333333333333,74.12655275257251,,,2.8326623328044853
19356,645.1666666666666,65.8548078865165,,,2.6472572110975454
19357,645.2,48.92425602675673,,,1.717944457481402
19358,645.2333333333333,32.813412527366026,,,0.2620981181996253
19359,645.2666666666667,18.398041671427418,,,-0.071482658193429
19360,645.3,5.561745263952905,,,4.223173437378301
19361,645.3333333333334,4.678413211199127,,,1.3818714170500146
19362,645.3666666666667,2.706259908582724,,,3.275841956781121
19363,645.4,-0.9749379285125177,,,3.0201911223954645
19364,645.4333333333333,-21.855130012953396,,,2.7125941893361194
19365,645.4666666666667,-24.430617389343126,,,0.718714032246637
19366,645.5,-32.34724656803869,,,1.048731092088566
19367,645.5333333333333,-32.520996123987636,,,0.657964579049903
19368,645.5666666666666,-34.83389869560317,,,-0.46095689549670843
19369,645.6,-32.26073893613285,,,-0.071482658193429
19370,645.6333333333333,-33.59535782123742,,,4.223173437378301
19371,645.6666666666666,-33.445702546314834,,,,3.9823020014001096
19372,645.7,-30.055803430853242,,,,4.1037864818816026
19373,645.7333333333333,-28.40583314016519,,,,3.6733756957613397
19374,645.7666666666667,-13.613376725335288,,,,2.6584046125447203
19375,645.8,7.324195450606262,,,,2.286931147887716
19376,645.8333333333334,14.98771675383974,,,,1.5760338375339817
19377,645.8666666666667,20.622310525991885,,,,1.9773889681141632
19378,645.9,25.473985893944775,,,,3.0496399462738086
19379,645.9333333333333,53.659506770822084,,,,2.265090995797996
19380,645.9666666666667,62.674842154730975,,,,6.823595778136729
19381,646,70.88804064560101,,,,1.4669388351331185
19382,646.0333333333333,72.90410534668028,,,,1.6513387205529826
19383,646.0666666666666,86.68955913130517,,,,1.6685961963414369
19384,646.1,91.3651001424554,,,,1.5585731300873706
19385,646.1333333333333,98.0149419970842,,,,1.911309000343699
19386,646.1666666666666,101.64497108888152,,,,2.3920677751378276
19387,646.2,98.08318367483663,,,,3.184411984343935
19388,646.2333333333333,90.56120141385065,,,,2.367409917257891
19389,646.2666666666667,76.32894125428804,,,,2.171527699859203
19390,646.3,57.36307829197228,,,,6.258416545512525
19391,646.3333333333334,43.611772347697894,,,,1.4669388351331185
19392,646.3666666666667,38.85058712905586,,,,1.6513387205529826
19393,646.4,19.070336248183157,,,,1.6685961963414369
19394,646.4333333333333,10.143672625920686,,,,1.5585731300873706
19395,646.4666666666667,-4.741239848551777,,,,1.911309000343699
19396,646.5,-7.08226706603009,,,,2.3920677751378276
19397,646.5333333333333,-7.650694688152735,,,,3.184411984343935
19398,646.5666666666666,-13.89358357358563,,,,2.367409917257891
19399,646.6,-15.82338491184127,,,,2.171527699859203
19400,646.6333333333333,-17.35387529789911,,,,6.258416545512525
19401,646.6666666666666,-11.721505491261407,,,,1.4669388351331185
19402,646.7,-13.829246216248254,,,,1.6513387205529826
19403,646.7333333333333,0.36264442615454506,,,,1.6685961963414369
19404,646.7666666666667,16.054033158924064,,,,1.5585731300873706
19405,646.8,26.384018234005556,,,,1.911309000343699
19406,646.8333333333334,42.12202675751906,,,,2.3920677751378276
19407,646.8666666666667,65.89249283036239,,,,3.184411984343935
19408,646.9,87.38371405743105,,,,2.367409917257891
19409,646.9333333333333,93.52743821018755,,,,2.171527699859203
19410,646.9666666666667,94.08533901995894,,,,6.258416545512525
19411,647,95.58362616394123,,,,1.4669388351331185
19412,647.0333333333333,96.03042814554006,,,,1.6513387205529826
19413,647.0666666666666,83.34990498735264,,,,1.6685961963414369
19414,647.1,71.29520506341167,,,,1.5585731300873706
19415,647.1333333333333,62.675922180924914,,,,1.911309000343699
19416,647.1666666666666,31.388925195007744,,,,2.3920677751378276
19417,647.2,27.554550254872357,,,,3.184411984343935
19418,647.2333333333333,4.291152151025896,,,,2.367409917257891
19419,647.2666666666667,1.2394528275479593,,,,2.171527699859203
19420,647.3,-3.7955814924763147,,,,6.258416545512525
19421,647.3333333333334,-7.069302381637352,,,,,2.7932505473856315
19422,647.3666666666667,-8.253546884227005,,,,,1.8116667008993068
19423,647.4,-4.1297483680188245,,,,,1.9088131075573507
19424,647.4333333333333,4.964918924679249,,,,,4.308550038498485
19425,647.4666666666667,15.290665409237494,,,,,3.085248443607562
19426,647.5,22.694382306909453,,,,,2.6825489672778087
19427,647.5333333333333,42.3310130417429,,,,,2.6648419922059117
19428,647.5666666666666,52.142577889400755,,,,,2.6052096419195507
19429,647.6,73.73183208889101,,,,,3.6973961076713797
19430,647.6333333333333,80.09134472404195,,,,,4.481139772089756
19431,647.6666666666666,84.67142149407489,,,,,5.084493020622945
19432,647.7,93.06122023228353,,,,,5.149193426142273
19433,647.7333333333333,87.38964667924681,,,,,3.513391228955397
19434,647.7666666666667,77.99139179719867,,,,,5.0532472630754945
19435,647.8,63.7409283594706,,,,,5.669722261940005
19436,647.8333333333334,52.89021892234143,,,,,5.886206277560475
19437,647.8666666666667,27.677708269283347,,,,,2.9214452846724304
19438,647.9,28.011474024826665,,,,,3.429958762562468
19439,647.9333333333333,19.365082370469626,,,,,5.78859508535257
19440,647.9666666666667,8.759843496501851,,,,,4.45506226351796
19441,648,-6.868311800591286,,,,,5.035086209532811
19442,648.0333333333333,2.9799246048002335,,,,,5.296448523659354
19443,648.0666666666666,8.040116175092097,,,,,4.952860327339673
19444,648.1,13.105984140617421,,,,,4.1262113751500955
19445,648.1333333333333,19.4406312366319,,,,,4.57236738166727
19446,648.1666666666666,27.871093004478368,,,,,4.9386795645228805
19447,648.2,45.44367284881863,,,,,4.480441474007243
19448,648.2333333333333,66.91302568550017,,,,,3.459164790304959
19449,648.2666666666667,73.11266860869381,,,,,3.7443576093768747
19450,648.3,82.67132951973394,,,,,8.778334640955277
19451,648.3333333333334,87.15037736972417,,,,,3.78282079290539
19452,648.3666666666667,80.4649824357531,,,,,3.6621106070031635
19453,648.4,71.7829116413662,,,,,3.7395374299141526
19454,648.4333333333333,58.12176161824419,,,,,3.4973129326071004
19455,648.4666666666667,53.00549223711961,,,,,3.3367077244188144
19456,648.5,39.22339382077821,,,,,3.3926274060315715
