"Worm Data","Position (um) of Centroid"
"Sequence","test_test70001.avi"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y","3 x","3 y","4 x","4 y"
127258,4241.9,1016.8047425382842,1257.3606234392541
127259,4241.933333333333,1017.5898808255032,1256.7855289628658
127260,4241.966666666666,1018.052409441424,1257.3907040762042
127261,4242,1019.2932309753907,1255.4896906513732
127262,4242.033333333333,1020.2958983676647,1255.2513453971596
127263,4242.066666666667,1020.0312883744798,1255.2953396414305
127264,4242.1,1020.0400742330801,1255.9296393805157
127265,4242.133333333333,1019.1429049511044,1256.5169297458224
127266,4242.166666666667,1017.4447999202837,1255.7955242653798
127267,4242.2,1015.0675653291514,1255.010028440269
127268,4242.233333333334,1013.302754904267,1255.4117320858722
127269,4242.266666666666,1010.034761780906,1255.084154570796
127270,4242.3,1009.9289787097543,1256.0798428583162
127271,4242.333333333333,1008.8990353580078,1255.876991309147
127272,4242.366666666667,1008.4221703497561,1255.9512189249504
127273,4242.4,1007.2792254344234,1255.3336233454484
127274,4242.433333333333,1006.8503762625035,1255.6991456359942
127275,4242.466666666666,1008.9596997109584,1251.6583721814827
127276,4242.5,1010.9758682501097,1253.0359260274595
127277,4242.533333333333,1011.8650586445846,1252.9877237288279
127278,4242.566666666667,1014.3501920775469,1252.4961094261798
127279,4242.6,1015.2083184175069,1253.688270892631
127280,4242.633333333333,1015.8377109478547,1254.7283354191954
127281,4242.666666666667,1017.3739959573956,1254.1448963558041
127282,4242.7,1018.5015797036922,1253.8297659133877
127283,4242.733333333334,1019.7909884569137,1253.4551694950019
127284,4242.766666666666,1019.2528109504858,1253.8368566986405
127285,4242.8,1016.5584723958501,1253.7072281409282
127286,4242.833333333333,1014.2983308854667,1252.5494861761854
127287,4242.866666666667,1012.7989413829686,1251.783994183512
127288,4242.9,1010.6711459517645,1250.9202768739992
127289,4242.933333333333,1010.5444480657906,1252.4153707211663
127290,4242.966666666666,1009.3500012262333,1250.4386478720767
127291,4243,1009.4400770496941,1251.3336868831357
127292,4243.033333333333,,,1010.9995773314381,1251.9700651099936
127293,4243.066666666667,,,1012.1424231871683,1251.725356681931
127294,4243.1,,,1013.655226841992,1252.2342413822666
127295,4243.133333333333,,,1015.1068198617,1251.546399955424
127296,4243.166666666667,,,1017.2015891777971,1250.8141480100696
127297,4243.2,,,1018.713628479053,1252.2391138592268
127298,4243.233333333334,,,1019.3879311268247,1252.4825244778642
127299,4243.266666666666,,,1019.2892639643609,1252.5461999037716
127300,4243.3,,,1018.013666203345,1252.1145087590921
127301,4243.333333333333,,,1016.6010183530755,1251.7680385580425
127302,4243.366666666667,,,1015.5813620479735,1252.7315848198473
127303,4243.4,,,1013.3805526282505,1250.1932927920252
127304,4243.433333333333,,,1011.9490115302783,1248.6551967767286
127305,4243.466666666666,,,1010.8086312706349,1247.5125906437456
127306,4243.5,,,1010.6402770870374,1246.8165098913341
127307,4243.533333333333,,,1010.2147461503257,1248.802619427462
127308,4243.566666666667,,,1011.3847681791816,1249.2827370446225
127309,4243.6,,,1012.5158401887136,1250.4347637437136
127310,4243.633333333333,,,1013.7074931180568,1250.7258950365508
127311,4243.666666666667,,,1015.9259804592409,1250.5684090550076
127312,4243.7,,,,,,,,
127313,4243.733333333334,,,,,,,,
