"Worm Data","Bending Angle - Mid-Point"
"Sequence","3-Oct-25.avi"

,,"Track"
"Frame","Time","1 ","2 ","3 "
15035,501.1333333333333,101.01446383563129
15036,501.1666666666667,107.30250153229971
15037,501.2,121.17744193111623
15038,501.23333333333335,121.3022572775825
15039,501.26666666666665,122.98670280600022
15040,501.3,122.80856347186389
15041,501.3333333333333,144.95559205536986
15042,501.3666666666667,147.4821140117485
15043,501.4,159.8147414498949
15044,501.43333333333334,156.6064947027261
15045,501.46666666666664,159.74698675297995
15046,501.5,161.1505847513975
15047,501.5333333333333,165.13803652512243
15048,501.56666666666666,166.10939194329796
15049,501.59999999999997,169.15847165172787
15050,501.6333333333333,168.4557955393249
15051,501.6666666666667,163.09310201136782
15052,501.7,157.78061860238205
15053,501.73333333333335,154.1914794729219
15054,501.76666666666665,154.1914794729219
15055,501.8,154.6495887824852
15056,501.8333333333333,151.40163449737582
15057,501.8666666666667,144.34615646338878
15058,501.9,138.09757989029535
15059,501.93333333333334,123.17088807618123
15060,501.96666666666664,115.08987378503338
15061,502,116.67531486767217
15062,502.0333333333333,114.60201728730917
15063,502.06666666666666,104.12285623615651
15064,502.09999999999997,106.83115737224215
15065,502.1333333333333,109.08550558295613
15066,502.1666666666667,109.08550558295613
15067,502.2,109.8258640633678
15068,502.23333333333335,115.05199798503979
15069,502.26666666666665,123.24497407122485
15070,502.3,124.73079519830897
15071,502.3333333333333,136.77083417155882
15072,502.3666666666667,145.23004587959522
15073,502.4,156.08419478723906
15074,502.43333333333334,160.61420729354256
15075,502.46666666666664,161.13066346366136
15076,502.5,167.84885608003745
15077,502.5333333333333,179.05714987891045
15078,502.56666666666666,-177.9284367061272
15079,502.59999999999997,-176.2464281013553
15080,502.6333333333333,-174.06773677155468
15081,502.6666666666667,-177.20739624793077
15082,502.7,-174.53384854204933
15083,502.73333333333335,-176.0801571323915
15084,502.76666666666665,-173.4058318636658
15085,502.8,-172.7091872544027
15086,502.8333333333333,-175.012735803434
15087,502.8666666666667,-171.45323544124682
15088,502.9,-175.5006706067533
15089,502.93333333333334,-177.439763862016
15090,502.96666666666664,-149.44897760370074
15091,503,-161.89819400762815
15092,503.0333333333333,-161.2312059903195
15093,503.06666666666666,-171.09577501139424
15094,503.09999999999997,-173.21564729638567
15095,503.1333333333333,179.18764146407125
15096,503.1666666666667,160.72945684213022
15097,503.2,153.4078743925766
15098,503.23333333333335,156.0849970527121
15099,503.26666666666665,145.64660708741857
15100,503.3,142.27294273736996
15101,503.3333333333333,123.06109194739051
15102,503.3666666666667,93.34259491541353
15103,503.4,76.65395373558206
15104,503.43333333333334,56.44988078310838
15105,503.46666666666664,22.10122346243153
15106,503.5,19.779344441794578
15107,503.5333333333333,18.652675968482967
15108,503.56666666666666,25.10954989922712
15109,503.59999999999997,29.387499504149204
15110,503.6333333333333,40.900015373386765
15111,503.6666666666667,54.47948853131322
15112,503.7,58.479483541328825
15113,503.73333333333335,87.56325004332813
15114,503.76666666666665,107.92082264106497
15115,503.8,122.45805625756155
15116,503.8333333333333,134.37549334853804
15117,503.8666666666667,143.81241316883663
15118,503.9,139.73923728931155
15119,503.93333333333334,144.7396050404128
15120,503.96666666666664,136.40699910048562
15121,504,135.41628010735494
15122,504.0333333333333,128.48987590317753
15123,504.06666666666666,94.15762822448006
15124,504.09999999999997,85.6623343072185
15125,504.1333333333333,53.8535877231002
15126,504.1666666666667,25.549118279941673
15127,504.2,7.318370928669147
15128,504.23333333333335,-21.883582171152977
15129,504.26666666666665,-39.01053352794617
15130,504.3,-47.030924100293234
15131,504.3333333333333,-52.78327053924348
15132,504.3666666666667,-51.85084735133272
15133,504.4,-40.93452866700708
15134,504.43333333333334,-25.55862278918575
15135,504.46666666666664,8.184593755579824
15136,504.5,42.31553736413891
15137,504.5333333333333,50.64620248854456
15138,504.56666666666666,75.08682713465811
15139,504.59999999999997,93.57151502741485
15140,504.6333333333333,93.35177271148241
15141,504.6666666666667,128.67943322873245
15142,504.7,114.76956664162867
15143,504.73333333333335,113.18057294274645
15144,504.76666666666665,107.2290510055166
15145,504.8,90.47950727183164
15146,504.8333333333333,70.1450932480275
15147,504.8666666666667,41.21592264238004
15148,504.9,8.310544056653503
15149,504.93333333333334,-9.296117171762324
15150,504.96666666666664,-46.89427938438354
15151,505,-67.92446210393067
15152,505.0333333333333,-64.3142205479408
15153,505.06666666666666,-73.06201164190959
15154,505.09999999999997,-65.8735586444683
15155,505.1333333333333,-45.124999986779656
15156,505.1666666666667,-18.59506988151101
15157,505.2,18.824209103603028
15158,505.23333333333335,41.27564959822385
15159,505.26666666666665,62.04116161700901
15160,505.3,71.56785560924806
15161,505.3333333333333,103.14178099316892
15162,505.3666666666667,111.5593526195802
15163,505.4,138.0930409176657
15164,505.43333333333334,140.44250132348824
15165,505.46666666666664,129.32064765096467
15166,505.5,113.229391855264
15167,505.5333333333333,92.76106897169983
15168,505.56666666666666,65.955489559773
15169,505.59999999999997,27.323879890255565
15170,505.6333333333333,2.764194134825153
15171,505.6666666666667,-22.682235336342302
15172,505.7,-48.54322693574744
15173,505.73333333333335,-69.53781708436098
15174,505.76666666666665,-70.87645573315815
15175,505.8,-77.8932403172257
15176,505.8333333333333,-61.70013964227094
15177,505.8666666666667,-48.813113404697575
15178,505.9,-23.420809149222055
15179,505.93333333333334,1.2077015666321729
15180,505.96666666666664,43.65263646992028
15181,506,53.25037774771725
15182,506.0333333333333,74.7113100812962
15183,506.06666666666666,86.12183738296935
15184,506.09999999999997,102.18991100301582
